cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003241,C3539125,NEG_COEXISTS_WITH,Antibodies,other medicated shampoos in ATC,aapp,phsu,2,NEG_COEXISTS_WITH_AAPPncxwtPHSU
C0017890,C3539125,NEG_COEXISTS_WITH,Glycine,other medicated shampoos in ATC,aapp,phsu,1,NEG_COEXISTS_WITH_AAPPncxwtPHSU
C0018284,C3539125,NEG_COEXISTS_WITH,Growth Factor,other medicated shampoos in ATC,aapp,phsu,1,NEG_COEXISTS_WITH_AAPPncxwtPHSU
C0030940,C3539125,NEG_COEXISTS_WITH,Peptide Hydrolases,other medicated shampoos in ATC,aapp,phsu,1,NEG_COEXISTS_WITH_AAPPncxwtPHSU
C0054015,C3539125,NEG_COEXISTS_WITH,Nesiritide,other medicated shampoos in ATC,aapp,phsu,2,NEG_COEXISTS_WITH_AAPPncxwtPHSU
C0059249,C3539125,NEG_COEXISTS_WITH,annexin A5,other medicated shampoos in ATC,aapp,phsu,1,NEG_COEXISTS_WITH_AAPPncxwtPHSU
C0079941,C1520007,NEG_COEXISTS_WITH,Open Reading Frames,viral vector,aapp,phsu,1,NEG_COEXISTS_WITH_AAPPncxwtPHSU
C0205753,C3539125,NEG_COEXISTS_WITH,Opioid Peptide,other medicated shampoos in ATC,aapp,phsu,1,NEG_COEXISTS_WITH_AAPPncxwtPHSU
C0252024,C3539125,NEG_COEXISTS_WITH,"RRAS protein, human",other medicated shampoos in ATC,aapp,phsu,1,NEG_COEXISTS_WITH_AAPPncxwtPHSU
C0582263,C3539125,NEG_COEXISTS_WITH,Structural protein,other medicated shampoos in ATC,aapp,phsu,1,NEG_COEXISTS_WITH_AAPPncxwtPHSU
C0599561,C3539125,NEG_COEXISTS_WITH,e protein,other medicated shampoos in ATC,aapp,phsu,1,NEG_COEXISTS_WITH_AAPPncxwtPHSU
C0633261,C2954564,NEG_COEXISTS_WITH,AGGA,Suppressor,aapp,phsu,1,NEG_COEXISTS_WITH_AAPPncxwtPHSU
C0753687,C3539125,NEG_COEXISTS_WITH,"UBE2L3 protein, human",other medicated shampoos in ATC,aapp,phsu,1,NEG_COEXISTS_WITH_AAPPncxwtPHSU
C1823381,C0309989,NEG_COEXISTS_WITH,TMEM121 gene,quantum,aapp,phsu,1,NEG_COEXISTS_WITH_AAPPncxwtPHSU
