cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006675,C0032081,NEG_COEXISTS_WITH,Calcium,Plant Extracts,bacs,bacs,1,NEG_COEXISTS_WITH_BACSncxwtBACS
C0012854,C0028606,NEG_COEXISTS_WITH,DNA,Nucleic Acids,bacs,bacs,1,NEG_COEXISTS_WITH_BACSncxwtBACS
C0012854,C0032136,NEG_COEXISTS_WITH,DNA,Plasmids,bacs,bacs,1,NEG_COEXISTS_WITH_BACSncxwtBACS
C0016945,C0017725,NEG_COEXISTS_WITH,Galactose,Glucose,bacs,bacs,1,NEG_COEXISTS_WITH_BACSncxwtBACS
C0019134,C0012854,NEG_COEXISTS_WITH,heparin,DNA,bacs,bacs,1,NEG_COEXISTS_WITH_BACSncxwtBACS
C0034085,C0008377,NEG_COEXISTS_WITH,Pulmonary Surfactants,Cholesterol,bacs,bacs,1,NEG_COEXISTS_WITH_BACSncxwtBACS
C0034987,C2350877,NEG_COEXISTS_WITH,"Regulatory Sequences, Nucleic Acid","Promoter, Genetic",bacs,bacs,1,NEG_COEXISTS_WITH_BACSncxwtBACS
C0035696,C0026163,NEG_COEXISTS_WITH,"RNA, Messenger",Mini-Exon,bacs,bacs,1,NEG_COEXISTS_WITH_BACSncxwtBACS
C0600508,C0086860,NEG_COEXISTS_WITH,Response Elements,promoter,bacs,bacs,1,NEG_COEXISTS_WITH_BACSncxwtBACS
C1257903,C0005404,NEG_COEXISTS_WITH,Mobile Genetic Elements,Bile Salts,bacs,bacs,1,NEG_COEXISTS_WITH_BACSncxwtBACS
C1513315,C0012854,NEG_COEXISTS_WITH,Minor Groove,DNA,bacs,bacs,1,NEG_COEXISTS_WITH_BACSncxwtBACS
