cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001060,C1367477,NEG_INTERACTS_WITH,Acetylmuramyl-Alanyl-Isoglutamine,CD14 gene,aapp,aapp,3,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0001655,C1412268,NEG_INTERACTS_WITH,Corticotropin,AES gene,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0001898,C0060320,NEG_INTERACTS_WITH,Alanine,fibrillarin,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0001898,C0085828,NEG_INTERACTS_WITH,Alanine,Transcription Factor AP-1,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0002520,C0024337,NEG_INTERACTS_WITH,Amino Acids,Lysine,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0002520,C0040005,NEG_INTERACTS_WITH,Amino Acids,Threonine,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0002520,C0120285,NEG_INTERACTS_WITH,Amino Acids,Green Fluorescent Proteins,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0002520,C0671412,NEG_INTERACTS_WITH,Amino Acids,Ephrin-B3,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0002520,C1334078,NEG_INTERACTS_WITH,Amino Acids,IFITM1 gene,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0002520,C1419147,NEG_INTERACTS_WITH,Amino Acids,PEX19 gene,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0002570,C0053355,NEG_INTERACTS_WITH,Aminopeptidase,ubenimex,aapp,aapp,2,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003006,C1422064,NEG_INTERACTS_WITH,Angiotensin I,ACE2 gene,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003009,C0597357,NEG_INTERACTS_WITH,angiotensin II,receptor,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003009,C1412289,NEG_INTERACTS_WITH,angiotensin II,APLNR gene,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003017,C0003018,NEG_INTERACTS_WITH,Angiotensinogen,Angiotensins,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0003250,NEG_INTERACTS_WITH,Antibodies,Monoclonal Antibodies,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0009325,NEG_INTERACTS_WITH,Antibodies,Collagen,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0009498,NEG_INTERACTS_WITH,Antibodies,Complement System Proteins,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0010590,NEG_INTERACTS_WITH,Antibodies,Cycloserine,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0021017,NEG_INTERACTS_WITH,Antibodies,Immunoglobulin Isotypes,aapp,aapp,2,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0026682,NEG_INTERACTS_WITH,Antibodies,Mucins,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0034805,NEG_INTERACTS_WITH,Antibodies,Fc Receptor,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0034861,NEG_INTERACTS_WITH,Antibodies,Recombinant Proteins,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0036774,NEG_INTERACTS_WITH,Antibodies,"Serum Albumin, Bovine",aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0061830,NEG_INTERACTS_WITH,Antibodies,GP 140,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0079189,NEG_INTERACTS_WITH,Antibodies,cytokine,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0079460,NEG_INTERACTS_WITH,Antibodies,Granulocyte-Macrophage Colony-Stimulating Factor,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0086376,NEG_INTERACTS_WITH,Antibodies,GTP-Binding Proteins,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0282641,NEG_INTERACTS_WITH,Antibodies,Transgenes,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0282682,NEG_INTERACTS_WITH,Antibodies,"Antibodies, Blocking",aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0312586,NEG_INTERACTS_WITH,Antibodies,Polyclonal antibody,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0312607,NEG_INTERACTS_WITH,Antibodies,Antibody variation,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0596709,NEG_INTERACTS_WITH,Antibodies,HIV envelope protein,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C0599561,NEG_INTERACTS_WITH,Antibodies,e protein,aapp,aapp,2,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C1413966,NEG_INTERACTS_WITH,Antibodies,DHX9 gene,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C1428889,NEG_INTERACTS_WITH,Antibodies,MTUS1 gene,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C1522002,NEG_INTERACTS_WITH,Antibodies,RNA Recognition Motif,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003241,C1825598,NEG_INTERACTS_WITH,Antibodies,IMPACT gene,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003242,C0003241,NEG_INTERACTS_WITH,"Antibodies, Anti-Idiotypic",Antibodies,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003242,C1412831,NEG_INTERACTS_WITH,"Antibodies, Anti-Idiotypic",BST2 gene,aapp,aapp,2,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003242,C2945730,NEG_INTERACTS_WITH,"Antibodies, Anti-Idiotypic",helix-loop-helix protein inhibitor of differentiation,aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
C0003242,C4281807,NEG_INTERACTS_WITH,"Antibodies, Anti-Idiotypic","Vitronectin, human",aapp,aapp,1,NEG_INTERACTS_WITH_AAPPnitawAAPP
