cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004587,C0026926,NEG_INTERACTS_WITH,Bacillus <bacterium>,Mycobacterium tuberculosis,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0004590,C0004611,NEG_INTERACTS_WITH,Bacillus cereus,Bacteria,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0004611,C0005380,NEG_INTERACTS_WITH,Bacteria,Bifidobacterium,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0004611,C0022938,NEG_INTERACTS_WITH,Bacteria,Lactobacillus,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0014834,C0036111,NEG_INTERACTS_WITH,Escherichia coli,Salmonella,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0014834,C1210581,NEG_INTERACTS_WITH,Escherichia coli,Lactobacillales,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0079488,C0004611,NEG_INTERACTS_WITH,Helicobacter pylori,Bacteria,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0314760,C0022938,NEG_INTERACTS_WITH,Coliform bacteria,Lactobacillus,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C0317761,C0026926,NEG_INTERACTS_WITH,Mycobacterium smegmatis,Mycobacterium tuberculosis,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
C1001866,C0525033,NEG_INTERACTS_WITH,Bifidobacterium animalis,Probiotics,bact,bact,1,NEG_INTERACTS_WITH_BACTnitawBACT
