cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001280,C0674917,NEG_INTERACTS_WITH,Armed macrophage,"NCR1 protein, human",cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0001280,C1425775,NEG_INTERACTS_WITH,Armed macrophage,KLRK1 gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0004112,C1335873,NEG_INTERACTS_WITH,Astrocytes,STAT2 gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0004561,C0003241,NEG_INTERACTS_WITH,B-Lymphocytes,Antibodies,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0004561,C0015980,NEG_INTERACTS_WITH,B-Lymphocytes,Interferon-beta,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0007600,C1415351,NEG_INTERACTS_WITH,Cultured Cell Line,GTPBP1 gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0009013,C0032200,NEG_INTERACTS_WITH,Clone Cells,Platelet-Derived Growth Factor,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0009013,C0380603,NEG_INTERACTS_WITH,Clone Cells,Fibroblast Growth Factor 2,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0009013,C1416699,NEG_INTERACTS_WITH,Clone Cells,KPNA1 gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0011306,C1427675,NEG_INTERACTS_WITH,Dendritic Cells,TOPORS gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0018873,C1421283,NEG_INTERACTS_WITH,HeLa Cells,UBE2I gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0022688,C0061878,NEG_INTERACTS_WITH,Natural Killer Cells,granzyme B,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0022688,C1418597,NEG_INTERACTS_WITH,Natural Killer Cells,PITX3 gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0022688,C4048280,NEG_INTERACTS_WITH,Natural Killer Cells,"T-Cell Surface Glycoprotein CD4, human",cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0022688,C4049595,NEG_INTERACTS_WITH,Natural Killer Cells,HLA Complex,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0024264,C0378910,NEG_INTERACTS_WITH,Lymphocyte,Lymphocyte antigen CD66A,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0024264,C1416467,NEG_INTERACTS_WITH,Lymphocyte,FOXP3 gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0024432,C0079189,NEG_INTERACTS_WITH,macrophage,cytokine,cell,aapp,2,NEG_INTERACTS_WITH_CELLnitawAAPP
C0024432,C0085295,NEG_INTERACTS_WITH,macrophage,Interleukin-10,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0024432,C0524914,NEG_INTERACTS_WITH,macrophage,chemokine receptor,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0024432,C1120843,NEG_INTERACTS_WITH,macrophage,mitogen-activated protein kinase p38,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0024432,C1332685,NEG_INTERACTS_WITH,macrophage,CCL22 gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0024432,C1417032,NEG_INTERACTS_WITH,macrophage,MARCO gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0024432,C1417249,NEG_INTERACTS_WITH,macrophage,MRC1 gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0024432,C1540289,NEG_INTERACTS_WITH,macrophage,CD200 gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0024432,C4048280,NEG_INTERACTS_WITH,macrophage,"T-Cell Surface Glycoprotein CD4, human",cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0026473,C0003241,NEG_INTERACTS_WITH,Monocytes,Antibodies,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0027836,C0282554,NEG_INTERACTS_WITH,Neuroglia,chemokine,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0027882,C0041484,NEG_INTERACTS_WITH,Neurons,MONOPHENOL MONOOXYGENASE,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0027882,C0242565,NEG_INTERACTS_WITH,Neurons,Intercellular Adhesion Molecules,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0027950,C0009498,NEG_INTERACTS_WITH,neutrophil,Complement System Proteins,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0027950,C0021701,NEG_INTERACTS_WITH,neutrophil,Integrins,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0027950,C0024075,NEG_INTERACTS_WITH,neutrophil,Luciferases,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0027950,C0085297,NEG_INTERACTS_WITH,neutrophil,"Immunoglobulins, Intravenous",cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0027950,C0599099,NEG_INTERACTS_WITH,neutrophil,formyl peptide,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0027950,C1334126,NEG_INTERACTS_WITH,neutrophil,CXCR2 gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0029974,C1540056,NEG_INTERACTS_WITH,Ovum,TRIM21 gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0032112,C1332822,NEG_INTERACTS_WITH,Plasma Cells,CXCR3 gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0039194,C0021756,NEG_INTERACTS_WITH,T-Lymphocyte,Interleukin-2,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0039194,C0034790,NEG_INTERACTS_WITH,T-Lymphocyte,T-Cell Receptor,cell,aapp,3,NEG_INTERACTS_WITH_CELLnitawAAPP
C0039194,C0108187,NEG_INTERACTS_WITH,T-Lymphocyte,Calnexin,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0039194,C0301512,NEG_INTERACTS_WITH,T-Lymphocyte,Vaccinia virus vaccine,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0039194,C0623362,NEG_INTERACTS_WITH,T-Lymphocyte,Matrix Metalloproteinases,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0039194,C1332700,NEG_INTERACTS_WITH,T-Lymphocyte,CCR5 gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0039194,C1332823,NEG_INTERACTS_WITH,T-Lymphocyte,CXCR4 gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0039194,C1334043,NEG_INTERACTS_WITH,T-Lymphocyte,Homologous Gene,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0039194,C4048280,NEG_INTERACTS_WITH,T-Lymphocyte,"T-Cell Surface Glycoprotein CD4, human",cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0039195,C0010590,NEG_INTERACTS_WITH,Cytotoxic T-Lymphocytes,Cycloserine,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0039198,C0040691,NEG_INTERACTS_WITH,Regulatory T-Lymphocytes,Transforming Growth Factors,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
C0039198,C0085295,NEG_INTERACTS_WITH,Regulatory T-Lymphocytes,Interleukin-10,cell,aapp,1,NEG_INTERACTS_WITH_CELLnitawAAPP
