cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0042211,NEG_INTERACTS_WITH,Immunologic Adjuvants,"Vaccines, Attenuated",imft,imft,1,NEG_INTERACTS_WITH_IMFTnitawIMFT
C0001551,C0456981,NEG_INTERACTS_WITH,Immunologic Adjuvants,Specific antigen,imft,imft,1,NEG_INTERACTS_WITH_IMFTnitawIMFT
C0003316,C0042210,NEG_INTERACTS_WITH,Epitopes,Vaccines,imft,imft,2,NEG_INTERACTS_WITH_IMFTnitawIMFT
C0003316,C2987378,NEG_INTERACTS_WITH,Epitopes,"Anti-CEA BiTE Monoclonal Antibody MEDI-565, Human",imft,imft,1,NEG_INTERACTS_WITH_IMFTnitawIMFT
C0003320,C0003342,NEG_INTERACTS_WITH,Antigens,"Antigens, Viral",imft,imft,1,NEG_INTERACTS_WITH_IMFTnitawIMFT
C0003320,C2986386,NEG_INTERACTS_WITH,Antigens,Virus-neutralizing Antibody,imft,imft,1,NEG_INTERACTS_WITH_IMFTnitawIMFT
C0021054,C0521390,NEG_INTERACTS_WITH,Immunologic Factors,neuronal,imft,imft,1,NEG_INTERACTS_WITH_IMFTnitawIMFT
C0021403,C0001551,NEG_INTERACTS_WITH,Influenza virus vaccine,Immunologic Adjuvants,imft,imft,1,NEG_INTERACTS_WITH_IMFTnitawIMFT
C0042210,C0003342,NEG_INTERACTS_WITH,Vaccines,"Antigens, Viral",imft,imft,1,NEG_INTERACTS_WITH_IMFTnitawIMFT
C0042210,C0456981,NEG_INTERACTS_WITH,Vaccines,Specific antigen,imft,imft,1,NEG_INTERACTS_WITH_IMFTnitawIMFT
C0376613,C0003320,NEG_INTERACTS_WITH,"Vaccines, DNA",Antigens,imft,imft,1,NEG_INTERACTS_WITH_IMFTnitawIMFT
C1320239,C0002092,NEG_INTERACTS_WITH,Food allergen,Allergens,imft,imft,1,NEG_INTERACTS_WITH_IMFTnitawIMFT
C1883036,C0003316,NEG_INTERACTS_WITH,Single-Chain Antibodies,Epitopes,imft,imft,1,NEG_INTERACTS_WITH_IMFTnitawIMFT
C2987378,C0003316,NEG_INTERACTS_WITH,"Anti-CEA BiTE Monoclonal Antibody MEDI-565, Human",Epitopes,imft,imft,1,NEG_INTERACTS_WITH_IMFTnitawIMFT
