cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0020885,C0004611,NEG_LOCATION_OF,ileum,Bacteria,bpoc,bact,2,NEG_LOCATION_OF_BPOCnlocfBACT
C0021853,C0004611,NEG_LOCATION_OF,Intestines,Bacteria,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C0021853,C0022938,NEG_LOCATION_OF,Intestines,Lactobacillus,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C0022646,C0014834,NEG_LOCATION_OF,Kidney,Escherichia coli,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C0022646,C0023358,NEG_LOCATION_OF,Kidney,Leptospira,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C0024109,C0004611,NEG_LOCATION_OF,Lung,Bacteria,bpoc,bact,3,NEG_LOCATION_OF_BPOCnlocfBACT
C0024109,C0023237,NEG_LOCATION_OF,Lung,Legionella,bpoc,bact,2,NEG_LOCATION_OF_BPOCnlocfBACT
C0024204,C0004611,NEG_LOCATION_OF,lymph nodes,Bacteria,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C0027442,C0004611,NEG_LOCATION_OF,Nasopharynx,Bacteria,bpoc,bact,4,NEG_LOCATION_OF_BPOCnlocfBACT
C0027442,C0026913,NEG_LOCATION_OF,Nasopharynx,Mycobacterium avium,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C0027442,C0038410,NEG_LOCATION_OF,Nasopharynx,Streptococcus pneumoniae,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C0028429,C0038410,NEG_LOCATION_OF,Nose,Streptococcus pneumoniae,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C0028429,C1541907,NEG_LOCATION_OF,Nose,"Beta-hemolytic Streptococcus, group A",bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C0042149,C0008151,NEG_LOCATION_OF,Uterus,Chlamydia trachomatis,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C0042149,C0027573,NEG_LOCATION_OF,Uterus,Neisseria gonorrhoeae,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C0178784,C0004611,NEG_LOCATION_OF,Organ,Bacteria,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C0227374,C0004611,NEG_LOCATION_OF,Ansa spiralis of colon,Bacteria,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C0458827,C0004611,NEG_LOCATION_OF,Airway structure,Bacteria,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C0927222,C0004611,NEG_LOCATION_OF,Parenchymatous organ,Bacteria,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C1285092,C0004611,NEG_LOCATION_OF,Gland,Bacteria,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C1515933,C0004611,NEG_LOCATION_OF,Alveolus,Bacteria,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
C1552118,C0004611,NEG_LOCATION_OF,Supernumerary maxillary right second premolar,Bacteria,bpoc,bact,1,NEG_LOCATION_OF_BPOCnlocfBACT
