cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001428,C0206750,NEG_LOCATION_OF,Adenoidal structure,Coronavirus Infections,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0005847,C0020452,NEG_LOCATION_OF,Blood Vessel,Hyperemia,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0005847,C1318520,NEG_LOCATION_OF,Blood Vessel,Necrotizing vasculitis,bpoc,dsyn,2,NEG_LOCATION_OF_BPOCnlocfDSYN
C0006104,C0014038,NEG_LOCATION_OF,Brain,Encephalitis,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0006104,C0042769,NEG_LOCATION_OF,Brain,Virus Diseases,bpoc,dsyn,6,NEG_LOCATION_OF_BPOCnlocfDSYN
C0006104,C0243026,NEG_LOCATION_OF,Brain,Sepsis,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0006104,C1096155,NEG_LOCATION_OF,Brain,Macrophage Activation Syndrome,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0007765,C0025289,NEG_LOCATION_OF,Cerebellum,Meningitis,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0014876,C0032002,NEG_LOCATION_OF,Esophagus,Pituitary Diseases,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0015392,C0003873,NEG_LOCATION_OF,Eye,Rheumatoid Arthritis,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0015392,C0042769,NEG_LOCATION_OF,Eye,Virus Diseases,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0018787,C0042769,NEG_LOCATION_OF,Heart,Virus Diseases,bpoc,dsyn,3,NEG_LOCATION_OF_BPOCnlocfDSYN
C0018787,C1402315,NEG_LOCATION_OF,Heart,Vascular lesions,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0021853,C0035869,NEG_LOCATION_OF,Intestines,Rotavirus Infections,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0022646,C0042769,NEG_LOCATION_OF,Kidney,Virus Diseases,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0022646,C0243026,NEG_LOCATION_OF,Kidney,Sepsis,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0022646,C0276289,NEG_LOCATION_OF,Kidney,Zika Virus Infection,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0022646,C3495801,NEG_LOCATION_OF,Kidney,Granulomatosis with polyangiitis,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0022646,C3694279,NEG_LOCATION_OF,Kidney,Middle East Respiratory Syndrome,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0022663,C0035436,NEG_LOCATION_OF,Kidney Glomerulus,Rheumatic Fever,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0023216,C0852949,NEG_LOCATION_OF,Lower Extremity,Arteriopathic disease,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0023317,C1845292,NEG_LOCATION_OF,"Lens, Crystalline","FANCONI ANEMIA, COMPLEMENTATION GROUP B",bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0023884,C0041296,NEG_LOCATION_OF,Liver,Tuberculosis,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0023884,C0042769,NEG_LOCATION_OF,Liver,Virus Diseases,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0023884,C0243026,NEG_LOCATION_OF,Liver,Sepsis,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0023884,C0275518,NEG_LOCATION_OF,Liver,Acute infectious disease,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0023884,C0678236,NEG_LOCATION_OF,Liver,Rare Diseases,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0023884,C1854469,NEG_LOCATION_OF,Liver,Noonan Syndrome 2,bpoc,dsyn,3,NEG_LOCATION_OF_BPOCnlocfDSYN
C0023884,C1855038,NEG_LOCATION_OF,Liver,Hepatocellular necrosis,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024109,C0006902,NEG_LOCATION_OF,Lung,Capillaritis,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024109,C0016627,NEG_LOCATION_OF,Lung,Influenza in Birds,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024109,C0020452,NEG_LOCATION_OF,Lung,Hyperemia,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024109,C0032227,NEG_LOCATION_OF,Lung,Pleural effusion disorder,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024109,C0035222,NEG_LOCATION_OF,Lung,"Respiratory Distress Syndrome, Adult",bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024109,C0035243,NEG_LOCATION_OF,Lung,Respiratory Tract Infections,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024109,C0036690,NEG_LOCATION_OF,Lung,Septicemia,bpoc,dsyn,15,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024109,C0042769,NEG_LOCATION_OF,Lung,Virus Diseases,bpoc,dsyn,9,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024109,C0149725,NEG_LOCATION_OF,Lung,Lower respiratory tract infection,bpoc,dsyn,17,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024109,C0275522,NEG_LOCATION_OF,Lung,Asymptomatic Infections,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024109,C0340427,NEG_LOCATION_OF,Lung,Familial dilated cardiomyopathy,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024109,C0746102,NEG_LOCATION_OF,Lung,Chronic lung disease,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024109,C1175175,NEG_LOCATION_OF,Lung,Severe Acute Respiratory Syndrome,bpoc,dsyn,4,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024109,C1262091,NEG_LOCATION_OF,Lung,Lymphocytic infiltration,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024204,C0036117,NEG_LOCATION_OF,lymph nodes,Salmonella infections,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024204,C0042749,NEG_LOCATION_OF,lymph nodes,Viremia,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024204,C0333997,NEG_LOCATION_OF,lymph nodes,Lymphoid hyperplasia,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024204,C0340427,NEG_LOCATION_OF,lymph nodes,Familial dilated cardiomyopathy,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0024204,C2959480,NEG_LOCATION_OF,lymph nodes,Necrotizing lymphadenitis,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0025148,C0206750,NEG_LOCATION_OF,Medulla Oblongata,Coronavirus Infections,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0028429,C0018482,NEG_LOCATION_OF,Nose,Haemophilus Infections,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0028429,C0042769,NEG_LOCATION_OF,Nose,Virus Diseases,bpoc,dsyn,3,NEG_LOCATION_OF_BPOCnlocfDSYN
C0033572,C0009450,NEG_LOCATION_OF,Prostate,Communicable Diseases,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0035298,C0042769,NEG_LOCATION_OF,Retina,Virus Diseases,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0035298,C0206750,NEG_LOCATION_OF,Retina,Coronavirus Infections,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0037925,C0277553,NEG_LOCATION_OF,Spinal Cord,Idiopathic disease,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0037993,C0042769,NEG_LOCATION_OF,Spleen,Virus Diseases,bpoc,dsyn,2,NEG_LOCATION_OF_BPOCnlocfDSYN
C0037993,C0340427,NEG_LOCATION_OF,Spleen,Familial dilated cardiomyopathy,bpoc,dsyn,2,NEG_LOCATION_OF_BPOCnlocfDSYN
C0038351,C0030436,NEG_LOCATION_OF,Stomach,Parakeratosis,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0038351,C0870082,NEG_LOCATION_OF,Stomach,Hyperkeratosis,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0039099,C0266427,NEG_LOCATION_OF,Synovial Membrane,Testicular regression syndrome,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
C0039597,C0042769,NEG_LOCATION_OF,Testis,Virus Diseases,bpoc,dsyn,1,NEG_LOCATION_OF_BPOCnlocfDSYN
