cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006104,C0006118,NEG_LOCATION_OF,Brain,Brain Neoplasms,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0015392,C0024299,NEG_LOCATION_OF,Eye,Lymphoma,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0021851,C0027651,NEG_LOCATION_OF,Large Intestine,Neoplasms,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0022646,C0007097,NEG_LOCATION_OF,Kidney,Carcinoma,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0023078,C0027651,NEG_LOCATION_OF,Larynx,Neoplasms,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0023884,C0027651,NEG_LOCATION_OF,Liver,Neoplasms,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0024109,C0006826,NEG_LOCATION_OF,Lung,Malignant Neoplasms,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0024109,C0007097,NEG_LOCATION_OF,Lung,Carcinoma,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0024109,C0027627,NEG_LOCATION_OF,Lung,Neoplasm Metastasis,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0024109,C0278996,NEG_LOCATION_OF,Lung,Malignant Head and Neck Neoplasm,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0024204,C0027651,NEG_LOCATION_OF,lymph nodes,Neoplasms,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0024204,C0543478,NEG_LOCATION_OF,lymph nodes,Residual Tumor,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0031354,C0272203,NEG_LOCATION_OF,Pharyngeal structure,Indolent Systemic Mastocytosis,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0037993,C0746408,NEG_LOCATION_OF,Spleen,mass lesion,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0040578,C0027651,NEG_LOCATION_OF,Trachea,Neoplasms,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0042449,C0018920,NEG_LOCATION_OF,Veins,"Hemangioma, Cavernous",bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0178784,C0027651,NEG_LOCATION_OF,Organ,Neoplasms,bpoc,neop,2,NEG_LOCATION_OF_BPOCnlocfNEOP
C0178784,C0334463,NEG_LOCATION_OF,Organ,Malignant Fibrous Histiocytoma,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0178784,C2939419,NEG_LOCATION_OF,Organ,Secondary Neoplasm,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
C0458827,C0007097,NEG_LOCATION_OF,Airway structure,Carcinoma,bpoc,neop,1,NEG_LOCATION_OF_BPOCnlocfNEOP
