cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001527,C0021641,NEG_LOCATION_OF,Adipose tissue,Insulin,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0001527,C1413931,NEG_LOCATION_OF,Adipose tissue,ACE gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0001527,C1422064,NEG_LOCATION_OF,Adipose tissue,ACE2 gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0001527,C3714928,NEG_LOCATION_OF,Adipose tissue,"Angiotensin-2, Human",tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0004799,C0003313,NEG_LOCATION_OF,Basement membrane,Immune complex,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0005953,C0369951,NEG_LOCATION_OF,Bone Marrow,Rotavirus antibody,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0014257,C0040048,NEG_LOCATION_OF,Endothelium,Thromboplastin,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0014257,C0115305,NEG_LOCATION_OF,Endothelium,E-Selectin,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0014257,C0597357,NEG_LOCATION_OF,Endothelium,receptor,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0014257,C0671412,NEG_LOCATION_OF,Endothelium,Ephrin-B3,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0014520,C0907549,NEG_LOCATION_OF,Epidermis,"phospholipase A2, group IIE protein",tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0014609,C0030190,NEG_LOCATION_OF,Epithelium,Plasminogen Activator Inhibitor 1,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0014609,C0054871,NEG_LOCATION_OF,Epithelium,Cathepsin L,tisu,aapp,2,NEG_LOCATION_OF_TISUnlocfAAPP
C0014609,C0166059,NEG_LOCATION_OF,Epithelium,Matrix Metalloproteinase 7,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0014609,C0913092,NEG_LOCATION_OF,Epithelium,DC-specific ICAM-3 grabbing nonintegrin,tisu,aapp,2,NEG_LOCATION_OF_TISUnlocfAAPP
C0014609,C1256770,NEG_LOCATION_OF,Epithelium,Vascular Endothelial Growth Factors,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0014609,C1367477,NEG_LOCATION_OF,Epithelium,CD14 gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0014609,C1414141,NEG_LOCATION_OF,Epithelium,DPP4 gene,tisu,aapp,3,NEG_LOCATION_OF_TISUnlocfAAPP
C0014609,C1422064,NEG_LOCATION_OF,Epithelium,ACE2 gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0014609,C1425074,NEG_LOCATION_OF,Epithelium,UCN3 gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0015350,C0960880,NEG_LOCATION_OF,Extracellular Matrix,angiotensin converting enzyme 2,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0025255,C0042736,NEG_LOCATION_OF,Tissue membrane,Viral Proteins,tisu,aapp,2,NEG_LOCATION_OF_TISUnlocfAAPP
C0025255,C1305923,NEG_LOCATION_OF,Tissue membrane,Polypeptides,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0025255,C1417005,NEG_LOCATION_OF,Tissue membrane,MAP1LC3A gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0025255,C1422064,NEG_LOCATION_OF,Tissue membrane,ACE2 gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0026724,C0003241,NEG_LOCATION_OF,Mucous Membrane,Antibodies,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0026724,C0120285,NEG_LOCATION_OF,Mucous Membrane,Green Fluorescent Proteins,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0026845,C0017343,NEG_LOCATION_OF,Muscle,"Genes, env",tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0026845,C0079189,NEG_LOCATION_OF,Muscle,cytokine,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0026845,C0085295,NEG_LOCATION_OF,Muscle,Interleukin-10,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0026845,C1334043,NEG_LOCATION_OF,Muscle,Homologous Gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0027061,C0004358,NEG_LOCATION_OF,Myocardium,Autoantibodies,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0027061,C0022917,NEG_LOCATION_OF,Myocardium,Lactate Dehydrogenase,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0027428,C1421429,NEG_LOCATION_OF,Structure of mucous membrane of nose,VTRNA1-1 gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C0021641,NEG_LOCATION_OF,Body tissue,Insulin,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C0023206,NEG_LOCATION_OF,Body tissue,Lectin,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C0041242,NEG_LOCATION_OF,Body tissue,Trypsin Inhibitors,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C0042711,NEG_LOCATION_OF,Body tissue,Viral Envelope Proteins,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C0042720,NEG_LOCATION_OF,Body tissue,Viral Genome,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C0057256,NEG_LOCATION_OF,Body tissue,Defensins,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C0058988,NEG_LOCATION_OF,Body tissue,Eukaryotic Initiation Factor-4E,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C0062044,NEG_LOCATION_OF,Body tissue,"H antigen, bacterial",tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C0072978,NEG_LOCATION_OF,Body tissue,RANTES,tisu,aapp,2,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C0085295,NEG_LOCATION_OF,Body tissue,Interleukin-10,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C0282641,NEG_LOCATION_OF,Body tissue,Transgenes,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C0376562,NEG_LOCATION_OF,Body tissue,Recombinant Granulocyte Colony Stimulating Factor,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C0378910,NEG_LOCATION_OF,Body tissue,Lymphocyte antigen CD66A,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C0883402,NEG_LOCATION_OF,Body tissue,Transmissible gastroenteritis virus Ag,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C1141628,NEG_LOCATION_OF,Body tissue,CD103,tisu,aapp,2,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C1332700,NEG_LOCATION_OF,Body tissue,CCR5 gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C1332821,NEG_LOCATION_OF,Body tissue,CXCL9 gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C1336763,NEG_LOCATION_OF,Body tissue,Toll-Like Receptor Family Gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C1367731,NEG_LOCATION_OF,Body tissue,MAPK8 gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C1414273,NEG_LOCATION_OF,Body tissue,EEF1A2 gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C1422064,NEG_LOCATION_OF,Body tissue,ACE2 gene,tisu,aapp,2,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C1422341,NEG_LOCATION_OF,Body tissue,PEG10 gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C1744318,NEG_LOCATION_OF,Body tissue,Cre recombinase,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C1847590,NEG_LOCATION_OF,Body tissue,ENDOU gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0040300,C3146941,NEG_LOCATION_OF,Body tissue,CMAHP gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
C0225358,C1538915,NEG_LOCATION_OF,Muscularis propria,APLN gene,tisu,aapp,1,NEG_LOCATION_OF_TISUnlocfAAPP
