cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005863,C1511790,NEG_METHOD_OF,Western Blotting,Detection,lbpr,topp,1,NEG_METHOD_OF_LBPRnmthfTOPP
C0007584,C0042196,NEG_METHOD_OF,Cell Count,Vaccination,lbpr,topp,1,NEG_METHOD_OF_LBPRnmthfTOPP
C0007616,C1511790,NEG_METHOD_OF,Cell Separation,Detection,lbpr,topp,1,NEG_METHOD_OF_LBPRnmthfTOPP
C0014441,C3540512,NEG_METHOD_OF,Enzyme-Linked Immunosorbent Assay,Circumferential Supracrestal Fiberotomy,lbpr,topp,1,NEG_METHOD_OF_LBPRnmthfTOPP
C0022885,C1511790,NEG_METHOD_OF,Laboratory Procedures,Detection,lbpr,topp,2,NEG_METHOD_OF_LBPRnmthfTOPP
C0026018,C0581528,NEG_METHOD_OF,Microscopy,Close observation,lbpr,topp,1,NEG_METHOD_OF_LBPRnmthfTOPP
C0036743,C1511790,NEG_METHOD_OF,Serologic tests,Detection,lbpr,topp,1,NEG_METHOD_OF_LBPRnmthfTOPP
C0086890,C1511790,NEG_METHOD_OF,Quick Test for Liver Function,Detection,lbpr,topp,1,NEG_METHOD_OF_LBPRnmthfTOPP
C0200345,C0185115,NEG_METHOD_OF,Specimen Collection,Extraction,lbpr,topp,1,NEG_METHOD_OF_LBPRnmthfTOPP
C0200955,C1511790,NEG_METHOD_OF,Viral culture procedure,Detection,lbpr,topp,1,NEG_METHOD_OF_LBPRnmthfTOPP
C0201576,C0042196,NEG_METHOD_OF,Cytokine assay,Vaccination,lbpr,topp,1,NEG_METHOD_OF_LBPRnmthfTOPP
C0201683,C1511790,NEG_METHOD_OF,Chemical method,Detection,lbpr,topp,1,NEG_METHOD_OF_LBPRnmthfTOPP
C0430389,C1511790,NEG_METHOD_OF,Light Microscopy,Detection,lbpr,topp,1,NEG_METHOD_OF_LBPRnmthfTOPP
C1305205,C1511790,NEG_METHOD_OF,Acridine orange stain test,Detection,lbpr,topp,1,NEG_METHOD_OF_LBPRnmthfTOPP
C1510438,C1511790,NEG_METHOD_OF,Assay,Detection,lbpr,topp,6,NEG_METHOD_OF_LBPRnmthfTOPP
C1707903,C1511790,NEG_METHOD_OF,Embedding,Detection,lbpr,topp,1,NEG_METHOD_OF_LBPRnmthfTOPP
C2697666,C1511790,NEG_METHOD_OF,Immunoenzyme Procedure,Detection,lbpr,topp,1,NEG_METHOD_OF_LBPRnmthfTOPP
