cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001271,C1292533,NEG_PART_OF,Actins,Tissue specimen,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C0009498,C0029250,NEG_PART_OF,Complement System Proteins,Organoids,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C0010590,C0819757,NEG_PART_OF,Cycloserine,Structure of parenchyma of lung,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C0012863,C1516828,NEG_PART_OF,Topoisomerase II,Mouse Embryonic Fibroblast,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C0017366,C1522642,NEG_PART_OF,Structural gene,Clone,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C0023401,C1522642,NEG_PART_OF,Leucine,Clone,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C0027120,C0026845,NEG_PART_OF,Myosin Light Chain Kinase,Muscle,aapp,tisu,2,NEG_PART_OF_AAPPnprtfTISU
C0027895,C0000696,NEG_PART_OF,Neuropeptides,A Fibers,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C0042666,C0026845,NEG_PART_OF,Vimentin,Muscle,aapp,tisu,2,NEG_PART_OF_AAPPnprtfTISU
C0053849,C0040300,NEG_PART_OF,bleomycin hydrolase,Body tissue,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C0068650,C0751974,NEG_PART_OF,neurotubulin,Respiratory Mucosa,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C0079259,C0026845,NEG_PART_OF,Dystrophin,Muscle,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C0079259,C0027061,NEG_PART_OF,Dystrophin,Myocardium,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C0085828,C1522642,NEG_PART_OF,Transcription Factor AP-1,Clone,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C0123987,C1522642,NEG_PART_OF,"WNT2 protein, human",Clone,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C1414968,C1292533,NEG_PART_OF,GAPDH gene,Tissue specimen,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C1417005,C0025255,NEG_PART_OF,MAP1LC3A gene,Tissue membrane,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C1422064,C0242692,NEG_PART_OF,ACE2 gene,Skeletal muscle structure,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C1422064,C0819757,NEG_PART_OF,ACE2 gene,Structure of parenchyma of lung,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C1423506,C1185706,NEG_PART_OF,SPINK5 gene,Fibrous membrane,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C1436157,C0751974,NEG_PART_OF,"UCHL1 protein, human",Respiratory Mucosa,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C1538631,C1304649,NEG_PART_OF,PHB2 gene,Tissue fiber,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C1825497,C1516828,NEG_PART_OF,ATG5 gene,Mouse Embryonic Fibroblast,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C1864770,C1516828,NEG_PART_OF,MAVS gene,Mouse Embryonic Fibroblast,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C1883559,C0025255,NEG_PART_OF,Wild Type,Tissue membrane,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C3540595,C0005953,NEG_PART_OF,CD8A wt Allele,Bone Marrow,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C3710914,C1516828,NEG_PART_OF,"EIF2AK2 protein, human",Mouse Embryonic Fibroblast,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C3811132,C0014257,NEG_PART_OF,EDNRB wt Allele,Endothelium,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C3887624,C0026724,NEG_PART_OF,Human Neprilysin,Mucous Membrane,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
C4048280,C0026969,NEG_PART_OF,"T-Cell Surface Glycoprotein CD4, human",Myelin,aapp,tisu,1,NEG_PART_OF_AAPPnprtfTISU
