cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006104,C0042776,NEG_PART_OF,Brain,Virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0009758,C1175743,NEG_PART_OF,conjunctiva,SARS coronavirus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0011106,C0016215,NEG_PART_OF,Decidua,Flavivirus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0011106,C0318793,NEG_PART_OF,Decidua,Zika Virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0015392,C0015763,NEG_PART_OF,Eye,"Calicivirus, Feline",bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0015392,C0319245,NEG_PART_OF,Eye,Felid herpesvirus 1,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0016129,C0085512,NEG_PART_OF,Fingers,Torovirus,bpoc,virs,3,NEG_PART_OF_BPOCnprtfVIRS
C0017420,C0035691,NEG_PART_OF,Genitalia,RNA Viruses,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0017420,C0318855,NEG_PART_OF,Genitalia,Porcine epidemic diarrhea virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0018563,C0029347,NEG_PART_OF,Hand,Influenza A virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0021852,C0318724,NEG_PART_OF,"Intestines, Small",Rotavirus C,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0021852,C2820204,NEG_PART_OF,"Intestines, Small",Ferret enteric coronavirus,bpoc,virs,2,NEG_PART_OF_BPOCnprtfVIRS
C0021853,C0035870,NEG_PART_OF,Intestines,Rotavirus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0021853,C0318855,NEG_PART_OF,Intestines,Porcine epidemic diarrhea virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0021853,C1002306,NEG_PART_OF,Intestines,Rotavirus group A,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0022646,C0318855,NEG_PART_OF,Kidney,Porcine epidemic diarrhea virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0022646,C2820204,NEG_PART_OF,Kidney,Ferret enteric coronavirus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0023884,C0318855,NEG_PART_OF,Liver,Porcine epidemic diarrhea virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0024109,C0042776,NEG_PART_OF,Lung,Virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0024109,C0376536,NEG_PART_OF,Lung,Porcine respiratory and reproductive syndrome virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0024109,C2820204,NEG_PART_OF,Lung,Ferret enteric coronavirus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0027442,C0014383,NEG_PART_OF,Nasopharynx,Enterovirus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0027442,C0014665,NEG_PART_OF,Nasopharynx,"Herpesvirus 1, Equid",bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0027442,C1175743,NEG_PART_OF,Nasopharynx,SARS coronavirus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0027442,C3698360,NEG_PART_OF,Nasopharynx,Middle East Respiratory Syndrome Coronavirus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0028429,C0042776,NEG_PART_OF,Nose,Virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0031354,C0042776,NEG_PART_OF,Pharyngeal structure,Virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0031354,C1175743,NEG_PART_OF,Pharyngeal structure,SARS coronavirus,bpoc,virs,2,NEG_PART_OF_BPOCnprtfVIRS
C0034196,C0042776,NEG_PART_OF,Pylorus,Virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0037993,C0318855,NEG_PART_OF,Spleen,Porcine epidemic diarrhea virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0037993,C2820204,NEG_PART_OF,Spleen,Ferret enteric coronavirus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0039259,C0004651,NEG_PART_OF,Tail,Bacteriophages,bpoc,virs,2,NEG_PART_OF_BPOCnprtfVIRS
C0039259,C0042776,NEG_PART_OF,Tail,Virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0039259,C0205762,NEG_PART_OF,Tail,Feline panleukopenia virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0040578,C0042776,NEG_PART_OF,Trachea,Virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0262304,C0042776,NEG_PART_OF,pars postrema of the ventral lateral nucleus,Virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0458827,C0597404,NEG_PART_OF,Airway structure,Respiratory viruses,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0459385,C0042776,NEG_PART_OF,Brain tissue,Virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0521421,C0042776,NEG_PART_OF,Entire ear,Virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0682568,C0042776,NEG_PART_OF,membrane by function,Virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
C0929301,C0042776,NEG_PART_OF,Mammary gland,Virus,bpoc,virs,1,NEG_PART_OF_BPOCnprtfVIRS
