cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007623,C0001483,NEG_PART_OF,Cell Wall,Adenoviruses,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C0026237,C0042776,NEG_PART_OF,Mitochondria,Virus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C0029219,C0042776,NEG_PART_OF,Organelles,Virus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C0035553,C0042776,NEG_PART_OF,Ribosomes,Virus,celc,virs,2,NEG_PART_OF_CELCnprtfVIRS
C0042760,C0004651,NEG_PART_OF,Virion,Bacteriophages,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C0042760,C0035870,NEG_PART_OF,Virion,Rotavirus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C0042760,C0206419,NEG_PART_OF,Virion,Genus: Coronavirus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C0230653,C0032556,NEG_PART_OF,Caveolae,Polyomavirus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C0230653,C0038975,NEG_PART_OF,Caveolae,Simian virus 40,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C0333785,C0042776,NEG_PART_OF,Virus-like particles,Virus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C0596901,C0016215,NEG_PART_OF,Membrane,Flavivirus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C0596901,C0021344,NEG_PART_OF,Membrane,Human Papillomavirus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C0596901,C0035870,NEG_PART_OF,Membrane,Rotavirus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C0596901,C0042776,NEG_PART_OF,Membrane,Virus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C0596901,C0318793,NEG_PART_OF,Membrane,Zika Virus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C0596901,C2986384,NEG_PART_OF,Membrane,Enveloped Virus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C0682533,C0220847,NEG_PART_OF,membrane layer,Hepatitis C virus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C1167322,C0042216,NEG_PART_OF,integral to membrane,Vaccinia virus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C1167331,C2986384,NEG_PART_OF,outer membrane,Enveloped Virus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C1167398,C0001483,NEG_PART_OF,Viral envelope,Adenoviruses,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C1167398,C0042776,NEG_PART_OF,Viral envelope,Virus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C1511625,C0042216,NEG_PART_OF,Cytoplasmic Domain,Vaccinia virus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C1511625,C0949892,NEG_PART_OF,Cytoplasmic Domain,Ebolavirus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C1622204,C0004120,NEG_PART_OF,envelope,Astrovirus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C1622204,C0004651,NEG_PART_OF,envelope,Bacteriophages,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C1622204,C0006752,NEG_PART_OF,envelope,Caliciviridae,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C1622204,C0035870,NEG_PART_OF,envelope,Rotavirus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C1622204,C0038975,NEG_PART_OF,envelope,Simian virus 40,celc,virs,2,NEG_PART_OF_CELCnprtfVIRS
C1622204,C0042776,NEG_PART_OF,envelope,Virus,celc,virs,7,NEG_PART_OF_CELCnprtfVIRS
C1622204,C0206596,NEG_PART_OF,envelope,Orthoreoviruses,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C1622204,C1002566,NEG_PART_OF,envelope,ssDNA viruses,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C1622204,C1175743,NEG_PART_OF,envelope,SARS coronavirus,celc,virs,3,NEG_PART_OF_CELCnprtfVIRS
C1622204,C2986384,NEG_PART_OF,envelope,Enveloped Virus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C1749467,C0042776,NEG_PART_OF,soluble,Virus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
C3821310,C0206419,NEG_PART_OF,membrane region,Genus: Coronavirus,celc,virs,1,NEG_PART_OF_CELCnprtfVIRS
