cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0021294,C0035235,NEG_PREDISPOSES,"Infant, Premature",Respiratory Syncytial Virus Infections,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0035648,C0029118,NEG_PREDISPOSES,risk factors,Opportunistic Infections,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0035648,C0032269,NEG_PREDISPOSES,risk factors,Pneumococcal Infections,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0035648,C1861172,NEG_PREDISPOSES,risk factors,Venous Thromboembolism,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0087130,C0032326,NEG_PREDISPOSES,Uncertainty,Pneumothorax,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0150312,C0001175,NEG_PREDISPOSES,Present,Acquired Immunodeficiency Syndrome,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0150312,C0011168,NEG_PREDISPOSES,Present,Deglutition Disorders,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0150312,C0024449,NEG_PREDISPOSES,Present,Mycetoma,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0150312,C0032285,NEG_PREDISPOSES,Present,Pneumonia,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0150312,C0032310,NEG_PREDISPOSES,Present,"Pneumonia, Viral",fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0150312,C0035204,NEG_PREDISPOSES,Present,Respiration Disorders,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0162643,C0036690,NEG_PREDISPOSES,treatment failure,Septicemia,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0205160,C0003850,NEG_PREDISPOSES,Negative,Arteriosclerosis,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0205160,C0032285,NEG_PREDISPOSES,Negative,Pneumonia,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0206076,C0035222,NEG_PREDISPOSES,Reproductive History,"Respiratory Distress Syndrome, Adult",fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0239134,C0004623,NEG_PREDISPOSES,Productive cough,Bacterial Infections,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0277797,C0042721,NEG_PREDISPOSES,Apyrexial,Viral hepatitis,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0332149,C0021400,NEG_PREDISPOSES,Possible,Influenza,fndg,dsyn,2,NEG_PREDISPOSES_FNDGnpredDSYN
C0332149,C0022660,NEG_PREDISPOSES,Possible,"Kidney Failure, Acute",fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0332167,C1175175,NEG_PREDISPOSES,High risk of,Severe Acute Respiratory Syndrome,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0424594,C0729531,NEG_PREDISPOSES,Frailty,Viral respiratory infection,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0425687,C0034063,NEG_PREDISPOSES,Jugular venous engorgement,Pulmonary Edema,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0428642,C0035222,NEG_PREDISPOSES,Pulmonary artery pressure,"Respiratory Distress Syndrome, Adult",fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0436345,C0276447,NEG_PREDISPOSES,Symptom severe,Rhinovirus infection,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0556223,C0004096,NEG_PREDISPOSES,Vegetable intake,Asthma,fndg,dsyn,3,NEG_PREDISPOSES_FNDGnpredDSYN
C0556227,C0004096,NEG_PREDISPOSES,Fruit intake,Asthma,fndg,dsyn,2,NEG_PREDISPOSES_FNDGnpredDSYN
C0580343,C0017178,NEG_PREDISPOSES,Stool culture positive,Gastrointestinal Diseases,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0595929,C0007222,NEG_PREDISPOSES,Serum cholesterol raised,Cardiovascular Diseases,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C0686750,C0205721,NEG_PREDISPOSES,Well adult,"Infections, Hospital",fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C1299586,C3828416,NEG_PREDISPOSES,Has difficulty doing (qualifier value),Radiation Damage,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C1545588,C0024530,NEG_PREDISPOSES,Protection,Malaria,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C1709157,C0036690,NEG_PREDISPOSES,Negative Surgical Margin,Septicemia,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C1709157,C0451840,NEG_PREDISPOSES,Negative Surgical Margin,Erosive osteoarthrosis,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C2825972,C0265514,NEG_PREDISPOSES,Cant,Dermatofibrosis lenticularis disseminata,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C2826293,C0021400,NEG_PREDISPOSES,Clinical Significance,Influenza,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C2826293,C0035243,NEG_PREDISPOSES,Clinical Significance,Respiratory Tract Infections,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C3843647,C0035455,NEG_PREDISPOSES,> 2 years,Rhinitis,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C3843647,C0854706,NEG_PREDISPOSES,> 2 years,neonatal infection,fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C4055506,C1264039,NEG_PREDISPOSES,Accumulation,"von Willebrand Disease, Type 1",fndg,dsyn,1,NEG_PREDISPOSES_FNDGnpredDSYN
C4289767,C0265514,NEG_PREDISPOSES,Colonization,Dermatofibrosis lenticularis disseminata,fndg,dsyn,2,NEG_PREDISPOSES_FNDGnpredDSYN
