cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005615,C0021270,NEG_PROCESS_OF,Birth,Infant,orgf,aggp,1,NEG_PROCESS_OF_ORGFnprcfAGGP
C0006147,C0008059,NEG_PROCESS_OF,Breast Feeding,Child,orgf,aggp,2,NEG_PROCESS_OF_ORGFnprcfAGGP
C0008810,C0008059,NEG_PROCESS_OF,Circadian Rhythms,Child,orgf,aggp,1,NEG_PROCESS_OF_ORGFnprcfAGGP
C0011065,C0001675,NEG_PROCESS_OF,Cessation of life,Adult,orgf,aggp,1,NEG_PROCESS_OF_ORGFnprcfAGGP
C0011065,C0008059,NEG_PROCESS_OF,Cessation of life,Child,orgf,aggp,18,NEG_PROCESS_OF_ORGFnprcfAGGP
C0011065,C0021270,NEG_PROCESS_OF,Cessation of life,Infant,orgf,aggp,3,NEG_PROCESS_OF_ORGFnprcfAGGP
C0011065,C0205653,NEG_PROCESS_OF,Cessation of life,Adolescent (age group),orgf,aggp,1,NEG_PROCESS_OF_ORGFnprcfAGGP
C0011065,C0524338,NEG_PROCESS_OF,Cessation of life,Elderly woman,orgf,aggp,1,NEG_PROCESS_OF_ORGFnprcfAGGP
C0011065,C3146221,NEG_PROCESS_OF,Cessation of life,Juvenile,orgf,aggp,1,NEG_PROCESS_OF_ORGFnprcfAGGP
C0025519,C0021270,NEG_PROCESS_OF,Metabolism,Infant,orgf,aggp,1,NEG_PROCESS_OF_ORGFnprcfAGGP
C0032961,C0021270,NEG_PROCESS_OF,Pregnancy,Infant,orgf,aggp,2,NEG_PROCESS_OF_ORGFnprcfAGGP
C0678723,C0008059,NEG_PROCESS_OF,Biologic Development,Child,orgf,aggp,1,NEG_PROCESS_OF_ORGFnprcfAGGP
C0683141,C0021270,NEG_PROCESS_OF,drug elimination,Infant,orgf,aggp,1,NEG_PROCESS_OF_ORGFnprcfAGGP
C1160209,C0001675,NEG_PROCESS_OF,larval development,Adult,orgf,aggp,1,NEG_PROCESS_OF_ORGFnprcfAGGP
C4505207,C0021270,NEG_PROCESS_OF,Immune Reconstitution,Infant,orgf,aggp,1,NEG_PROCESS_OF_ORGFnprcfAGGP
