cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006933,C0001417,PART_OF,Capsid,Dependovirus,anst,virs,3,PART_OF_ANSTprtfVIRS
C0006933,C0001483,PART_OF,Capsid,Adenoviruses,anst,virs,36,PART_OF_ANSTprtfVIRS
C0006933,C0001490,PART_OF,Capsid,"Adenoviruses, Human",anst,virs,2,PART_OF_ANSTprtfVIRS
C0006933,C0001753,PART_OF,Capsid,African Swine Fever Virus,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0002331,PART_OF,Capsid,Alphavirus,anst,virs,5,PART_OF_ANSTprtfVIRS
C0006933,C0003060,PART_OF,Capsid,Animal Viruses,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0004120,PART_OF,Capsid,Astrovirus,anst,virs,8,PART_OF_ANSTprtfVIRS
C0006933,C0004651,PART_OF,Capsid,Bacteriophages,anst,virs,32,PART_OF_ANSTprtfVIRS
C0006933,C0005670,PART_OF,Capsid,BK Virus,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0005867,PART_OF,Capsid,Bluetongue virus,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0006072,PART_OF,Capsid,Bovine papillomavirus,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0012923,PART_OF,Capsid,DNA Viruses,anst,virs,6,PART_OF_ANSTprtfVIRS
C0006933,C0014049,PART_OF,Capsid,Venezuelan equine encephalitis virus,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0014052,PART_OF,Capsid,Tick-Borne Encephalitis Viruses,anst,virs,2,PART_OF_ANSTprtfVIRS
C0006933,C0014383,PART_OF,Capsid,Enterovirus,anst,virs,5,PART_OF_ANSTprtfVIRS
C0006933,C0014644,PART_OF,Capsid,Epstein-Barr Virus,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0015763,PART_OF,Capsid,"Calicivirus, Feline",anst,virs,4,PART_OF_ANSTprtfVIRS
C0006933,C0016215,PART_OF,Capsid,Flavivirus,anst,virs,3,PART_OF_ANSTprtfVIRS
C0006933,C0019160,PART_OF,Capsid,Hepatovirus,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0019169,PART_OF,Capsid,Hepatitis B Virus,anst,virs,3,PART_OF_ANSTprtfVIRS
C0006933,C0019351,PART_OF,Capsid,Human Herpesvirus 2,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0019369,PART_OF,Capsid,Herpesviridae,anst,virs,15,PART_OF_ANSTprtfVIRS
C0006933,C0019378,PART_OF,Capsid,"Herpesvirus 1, Cercopithecine",anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0019682,PART_OF,Capsid,HIV,anst,virs,19,PART_OF_ANSTprtfVIRS
