cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001055,C0017950,PART_OF,Acetylgalactosamine,Glycolipids,bacs,bacs,1,PART_OF_BACSprtfBACS
C0016945,C0017950,PART_OF,Galactose,Glycolipids,bacs,bacs,1,PART_OF_BACSprtfBACS
C0017725,C0006675,PART_OF,Glucose,Calcium,bacs,bacs,1,PART_OF_BACSprtfBACS
C0027801,C0017950,PART_OF,Neuraminic acid,Glycolipids,bacs,bacs,3,PART_OF_BACSprtfBACS
C0043040,C0003136,PART_OF,Wasp Venoms,Ant Venoms,bacs,bacs,1,PART_OF_BACSprtfBACS
C0056912,C0012854,PART_OF,cytidylyl-3'-5'-guanosine,DNA,bacs,bacs,1,PART_OF_BACSprtfBACS
C0056912,C0035693,PART_OF,cytidylyl-3'-5'-guanosine,"RNA, Double-Stranded",bacs,bacs,1,PART_OF_BACSprtfBACS
C0067762,C0017950,PART_OF,N-Acetylneuraminic Acid,Glycolipids,bacs,bacs,1,PART_OF_BACSprtfBACS
C0082774,C0035696,PART_OF,"RNA, Guide","RNA, Messenger",bacs,bacs,1,PART_OF_BACSprtfBACS
C0368909,C0031676,PART_OF,Non-esterified cholesterol,Phospholipids,bacs,bacs,1,PART_OF_BACSprtfBACS
