cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001461,C0015576,PART_OF,Adenosine Diphosphate Ribose,Family,bacs,famg,1,PART_OF_BACSprtfFAMG
C0001468,C0026591,PART_OF,Adenosine Phosphosulfate,Mother (person),bacs,famg,1,PART_OF_BACSprtfFAMG
C0006675,C0030551,PART_OF,Calcium,parent,bacs,famg,1,PART_OF_BACSprtfFAMG
C0010843,C0010222,PART_OF,Cytosine,Couples (persons),bacs,famg,1,PART_OF_BACSprtfFAMG
C0012854,C0010222,PART_OF,DNA,Couples (persons),bacs,famg,1,PART_OF_BACSprtfFAMG
C0012854,C0011011,PART_OF,DNA,Daughter,bacs,famg,3,PART_OF_BACSprtfFAMG
C0012854,C0015576,PART_OF,DNA,Family,bacs,famg,4,PART_OF_BACSprtfFAMG
C0012854,C0026591,PART_OF,DNA,Mother (person),bacs,famg,1,PART_OF_BACSprtfFAMG
C0012854,C0030551,PART_OF,DNA,parent,bacs,famg,18,PART_OF_BACSprtfFAMG
C0012854,C0680063,PART_OF,DNA,Offspring,bacs,famg,15,PART_OF_BACSprtfFAMG
C0012854,C0870134,PART_OF,DNA,ancestors,bacs,famg,1,PART_OF_BACSprtfFAMG
C0012925,C0015576,PART_OF,"DNA, Circular",Family,bacs,famg,1,PART_OF_BACSprtfFAMG
C0013030,C4053457,PART_OF,Dopamine,Surrogate,bacs,famg,1,PART_OF_BACSprtfFAMG
C0013982,C0015576,PART_OF,Emodin,Family,bacs,famg,1,PART_OF_BACSprtfFAMG
C0015435,C0030551,PART_OF,F Factor,parent,bacs,famg,1,PART_OF_BACSprtfFAMG
C0018338,C0030551,PART_OF,Cyclic GMP,parent,bacs,famg,1,PART_OF_BACSprtfFAMG
C0018340,C0080103,PART_OF,Guanosine Diphosphate,Relative (related person),bacs,famg,1,PART_OF_BACSprtfFAMG
C0024467,C1313913,PART_OF,Magnesium,Singleton,bacs,famg,2,PART_OF_BACSprtfFAMG
C0028158,C0030551,PART_OF,Nitrogen,parent,bacs,famg,1,PART_OF_BACSprtfFAMG
C0028606,C0015576,PART_OF,Nucleic Acids,Family,bacs,famg,1,PART_OF_BACSprtfFAMG
C0028606,C0680063,PART_OF,Nucleic Acids,Offspring,bacs,famg,1,PART_OF_BACSprtfFAMG
C0028606,C4053457,PART_OF,Nucleic Acids,Surrogate,bacs,famg,1,PART_OF_BACSprtfFAMG
C0031516,C0682323,PART_OF,Pheromone,Partner in relationship,bacs,famg,1,PART_OF_BACSprtfFAMG
C0032136,C0030551,PART_OF,Plasmids,parent,bacs,famg,26,PART_OF_BACSprtfFAMG
C0032136,C0680063,PART_OF,Plasmids,Offspring,bacs,famg,3,PART_OF_BACSprtfFAMG
C0033413,C0026753,PART_OF,"Promoter Regions, Genetic",Multiple Birth Offspring,bacs,famg,3,PART_OF_BACSprtfFAMG
C0033413,C0030551,PART_OF,"Promoter Regions, Genetic",parent,bacs,famg,1,PART_OF_BACSprtfFAMG
C0035142,C0030551,PART_OF,Replicon,parent,bacs,famg,5,PART_OF_BACSprtfFAMG
C0035693,C0015576,PART_OF,"RNA, Double-Stranded",Family,bacs,famg,2,PART_OF_BACSprtfFAMG
C0035693,C0030551,PART_OF,"RNA, Double-Stranded",parent,bacs,famg,1,PART_OF_BACSprtfFAMG
C0035693,C0680063,PART_OF,"RNA, Double-Stranded",Offspring,bacs,famg,1,PART_OF_BACSprtfFAMG
C0035693,C4053457,PART_OF,"RNA, Double-Stranded",Surrogate,bacs,famg,1,PART_OF_BACSprtfFAMG
C0035711,C0030551,PART_OF,Transfer RNA,parent,bacs,famg,1,PART_OF_BACSprtfFAMG
C0035711,C0870134,PART_OF,Transfer RNA,ancestors,bacs,famg,1,PART_OF_BACSprtfFAMG
C0035731,C0030551,PART_OF,Serine-Specific tRNA,parent,bacs,famg,1,PART_OF_BACSprtfFAMG
C0040087,C0010222,PART_OF,Thymine,Couples (persons),bacs,famg,1,PART_OF_BACSprtfFAMG
C0040549,C0680063,PART_OF,Toxin,Offspring,bacs,famg,1,PART_OF_BACSprtfFAMG
C0064841,C0015576,PART_OF,leukotoxin,Family,bacs,famg,1,PART_OF_BACSprtfFAMG
C0064841,C0030551,PART_OF,leukotoxin,parent,bacs,famg,3,PART_OF_BACSprtfFAMG
C0065335,C0030551,PART_OF,lycorine,parent,bacs,famg,2,PART_OF_BACSprtfFAMG
C0067762,C0015576,PART_OF,N-Acetylneuraminic Acid,Family,bacs,famg,1,PART_OF_BACSprtfFAMG
C0067762,C0030551,PART_OF,N-Acetylneuraminic Acid,parent,bacs,famg,3,PART_OF_BACSprtfFAMG
C0079925,C0682323,PART_OF,Antisense Oligonucleotides,Partner in relationship,bacs,famg,1,PART_OF_BACSprtfFAMG
C0082774,C0680063,PART_OF,"RNA, Guide",Offspring,bacs,famg,2,PART_OF_BACSprtfFAMG
