cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003662,C1183428,PART_OF,Aqueous Humor,Solocyte,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0003964,C0009013,PART_OF,Peritoneal Fluid (body substance),Clone Cells,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0003964,C0014597,PART_OF,Peritoneal Fluid (body substance),Epithelial Cells,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0003964,C0020204,PART_OF,Peritoneal Fluid (body substance),Hybridomas,bdsu,cell,5,PART_OF_BDSUprtfCELL
C0005767,C0005821,PART_OF,Blood,Blood Platelets,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0005767,C0011306,PART_OF,Blood,Dendritic Cells,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0005767,C0014597,PART_OF,Blood,Epithelial Cells,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0005767,C0014792,PART_OF,Blood,Erythrocytes,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0005767,C0023516,PART_OF,Blood,Leukocytes,bdsu,cell,2,PART_OF_BDSUprtfCELL
C0005767,C0024432,PART_OF,Blood,macrophage,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0005767,C0027950,PART_OF,Blood,neutrophil,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0005767,C0225336,PART_OF,Blood,Endothelial Cells,bdsu,cell,2,PART_OF_BDSUprtfCELL
C0005767,C1183428,PART_OF,Blood,Solocyte,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0005767,C1321301,PART_OF,Blood,Peripheral blood mononuclear cell (cell),bdsu,cell,2,PART_OF_BDSUprtfCELL
C0005767,C3641721,PART_OF,Blood,Naive T-Lymphocyte,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0005889,C0004561,PART_OF,Body Fluids,B-Lymphocytes,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0005889,C0009013,PART_OF,Body Fluids,Clone Cells,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0005889,C0014597,PART_OF,Body Fluids,Epithelial Cells,bdsu,cell,2,PART_OF_BDSUprtfCELL
C0005889,C0020204,PART_OF,Body Fluids,Hybridomas,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0005889,C0024264,PART_OF,Body Fluids,Lymphocyte,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0005889,C0024432,PART_OF,Body Fluids,macrophage,bdsu,cell,2,PART_OF_BDSUprtfCELL
C0005889,C0029974,PART_OF,Body Fluids,Ovum,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0005889,C0031760,PART_OF,Body Fluids,Photoreceptors,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0005889,C0042542,PART_OF,Body Fluids,Vero Cells,bdsu,cell,3,PART_OF_BDSUprtfCELL
C0005889,C0085236,PART_OF,Body Fluids,"Macrophages, Alveolar",bdsu,cell,1,PART_OF_BDSUprtfCELL
C0005889,C1183428,PART_OF,Body Fluids,Solocyte,bdsu,cell,6,PART_OF_BDSUprtfCELL
C0006279,C0027950,PART_OF,Bronchoalveolar Lavage Fluid,neutrophil,bdsu,cell,1,PART_OF_BDSUprtfCELL
C0006736,C0014467,PART_OF,Calculi,eosinophil,bdsu,cell,2,PART_OF_BDSUprtfCELL
