cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002708,C0680063,PART_OF,Amygdaloid structure,Offspring,bpoc,famg,2,PART_OF_BPOCprtfFAMG
C0003842,C0030551,PART_OF,Arteries,parent,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0005847,C0011011,PART_OF,Blood Vessel,Daughter,bpoc,famg,3,PART_OF_BPOCprtfFAMG
C0006104,C0680063,PART_OF,Brain,Offspring,bpoc,famg,6,PART_OF_BPOCprtfFAMG
C0006104,C3274946,PART_OF,Brain,Decedent,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0006141,C0015576,PART_OF,Breast,Family,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0006141,C0086282,PART_OF,Breast,Family member,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0006255,C0011011,PART_OF,Bronchi,Daughter,bpoc,famg,4,PART_OF_BPOCprtfFAMG
C0006255,C0030551,PART_OF,Bronchi,parent,bpoc,famg,2,PART_OF_BPOCprtfFAMG
C0007776,C0680063,PART_OF,Cerebral cortex,Offspring,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0015392,C0041427,PART_OF,Eye,Twin sibling (person),bpoc,famg,2,PART_OF_BPOCprtfFAMG
C0015392,C0682323,PART_OF,Eye,Partner in relationship,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0015560,C0337489,PART_OF,Fallopian Tubes,Foster mother,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0015560,C4053457,PART_OF,Fallopian Tubes,Surrogate,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0018494,C0680063,PART_OF,Hair,Offspring,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0018494,C0682323,PART_OF,Hair,Partner in relationship,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0018563,C0030551,PART_OF,Hand,parent,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0018563,C0086282,PART_OF,Hand,Family member,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0018563,C0162409,PART_OF,Hand,spouse,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0018563,C0242665,PART_OF,Hand,wife,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0018787,C0015576,PART_OF,Heart,Family,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0018787,C0030551,PART_OF,Heart,parent,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0020885,C0680063,PART_OF,ileum,Offspring,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0021853,C0015576,PART_OF,Intestines,Family,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0022378,C0680063,PART_OF,Jejunum,Offspring,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0022646,C0030551,PART_OF,Kidney,parent,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0023317,C0080103,PART_OF,"Lens, Crystalline",Relative (related person),bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0023884,C0015576,PART_OF,Liver,Family,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0024109,C0026591,PART_OF,Lung,Mother (person),bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0024109,C0080103,PART_OF,Lung,Relative (related person),bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0027442,C0026591,PART_OF,Nasopharynx,Mother (person),bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0027442,C0037047,PART_OF,Nasopharynx,Sibling,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0028429,C0026591,PART_OF,Nose,Mother (person),bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0028429,C0162409,PART_OF,Nose,spouse,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0029954,C0337489,PART_OF,animal Oviduct,Foster mother,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0031354,C0026591,PART_OF,Pharyngeal structure,Mother (person),bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0033745,C0680063,PART_OF,Proventriculus,Offspring,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0036098,C0680063,PART_OF,Salivary Glands,Offspring,bpoc,famg,2,PART_OF_BPOCprtfFAMG
C0037949,C0030551,PART_OF,Vertebral column,parent,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0038351,C0030551,PART_OF,Stomach,parent,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0038866,C0015576,PART_OF,Structure of suprachiasmatic nucleus,Family,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0039259,C0682323,PART_OF,Tail,Partner in relationship,bpoc,famg,2,PART_OF_BPOCprtfFAMG
C0042640,C0682323,PART_OF,Vibrissae,Partner in relationship,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0162783,C0680063,PART_OF,Prefrontal Cortex,Offspring,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0162783,C0683572,PART_OF,Prefrontal Cortex,Adult Children,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0178784,C0680063,PART_OF,Organ,Offspring,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0229304,C0030551,PART_OF,Helix of ear,parent,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0230040,C0682323,PART_OF,Muzzle,Partner in relationship,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0230048,C0020052,PART_OF,Poll - head,Households,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0230048,C0680063,PART_OF,Poll - head,Offspring,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0262304,C0015576,PART_OF,pars postrema of the ventral lateral nucleus,Family,bpoc,famg,2,PART_OF_BPOCprtfFAMG
C0376152,C0030551,PART_OF,Marrow,parent,bpoc,famg,2,PART_OF_BPOCprtfFAMG
C0376152,C0037047,PART_OF,Marrow,Sibling,bpoc,famg,2,PART_OF_BPOCprtfFAMG
C0458827,C0011011,PART_OF,Airway structure,Daughter,bpoc,famg,4,PART_OF_BPOCprtfFAMG
C0458827,C0030551,PART_OF,Airway structure,parent,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0458827,C0680063,PART_OF,Airway structure,Offspring,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0596392,C0015576,PART_OF,craniofacial,Family,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0699819,C0680063,PART_OF,Gut,Offspring,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0746922,C0020052,PART_OF,Anatomic Node,Households,bpoc,famg,2,PART_OF_BPOCprtfFAMG
C0746922,C0026753,PART_OF,Anatomic Node,Multiple Birth Offspring,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0746922,C0030551,PART_OF,Anatomic Node,parent,bpoc,famg,10,PART_OF_BPOCprtfFAMG
C0746922,C0037047,PART_OF,Anatomic Node,Sibling,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C0746922,C0870134,PART_OF,Anatomic Node,ancestors,bpoc,famg,2,PART_OF_BPOCprtfFAMG
C0746922,C1313913,PART_OF,Anatomic Node,Singleton,bpoc,famg,2,PART_OF_BPOCprtfFAMG
C0929301,C0026591,PART_OF,Mammary gland,Mother (person),bpoc,famg,1,PART_OF_BPOCprtfFAMG
C1181159,C0015576,PART_OF,Apical part of apical segmental vein,Family,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C1184743,C0030551,PART_OF,bony process,parent,bpoc,famg,1,PART_OF_BPOCprtfFAMG
C1184743,C0080103,PART_OF,bony process,Relative (related person),bpoc,famg,1,PART_OF_BPOCprtfFAMG
