cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001280,C0006104,PART_OF,Armed macrophage,Brain,cell,bpoc,5,PART_OF_CELLprtfBPOC
C0001280,C0024109,PART_OF,Armed macrophage,Lung,cell,bpoc,2,PART_OF_CELLprtfBPOC
C0001280,C0933845,PART_OF,Armed macrophage,Parenchyma,cell,bpoc,1,PART_OF_CELLprtfBPOC
C0001280,C1440080,PART_OF,Armed macrophage,Alveolar,cell,bpoc,17,PART_OF_CELLprtfBPOC
C0001280,C1515933,PART_OF,Armed macrophage,Alveolus,cell,bpoc,1,PART_OF_CELLprtfBPOC
C0003154,C0037925,PART_OF,Anterior Horn Cells,Spinal Cord,cell,bpoc,7,PART_OF_CELLprtfBPOC
C0003154,C2323647,PART_OF,Anterior Horn Cells,Lumbar enlargement,cell,bpoc,1,PART_OF_CELLprtfBPOC
C0003273,C0037993,PART_OF,Antibody-Producing Cells,Spleen,cell,bpoc,4,PART_OF_CELLprtfBPOC
C0003315,C0006104,PART_OF,Antigen-Presenting Cells,Brain,cell,bpoc,1,PART_OF_CELLprtfBPOC
C0003315,C0010031,PART_OF,Antigen-Presenting Cells,Cornea,cell,bpoc,1,PART_OF_CELLprtfBPOC
C0003315,C0011106,PART_OF,Antigen-Presenting Cells,Decidua,cell,bpoc,1,PART_OF_CELLprtfBPOC
C0003315,C0014533,PART_OF,Antigen-Presenting Cells,Epididymis,cell,bpoc,1,PART_OF_CELLprtfBPOC
C0003315,C0021853,PART_OF,Antigen-Presenting Cells,Intestines,cell,bpoc,1,PART_OF_CELLprtfBPOC
C0003315,C0024109,PART_OF,Antigen-Presenting Cells,Lung,cell,bpoc,5,PART_OF_CELLprtfBPOC
C0003315,C0031272,PART_OF,Antigen-Presenting Cells,Structure of aggregated lymphoid follicle of small intestine,cell,bpoc,1,PART_OF_CELLprtfBPOC
C0003315,C0037993,PART_OF,Antigen-Presenting Cells,Spleen,cell,bpoc,2,PART_OF_CELLprtfBPOC
C0003315,C0040113,PART_OF,Antigen-Presenting Cells,Thymus Gland,cell,bpoc,3,PART_OF_CELLprtfBPOC
C0003315,C0376152,PART_OF,Antigen-Presenting Cells,Marrow,cell,bpoc,3,PART_OF_CELLprtfBPOC
C0003315,C0933845,PART_OF,Antigen-Presenting Cells,Parenchyma,cell,bpoc,1,PART_OF_CELLprtfBPOC
C0003315,C1266881,PART_OF,Antigen-Presenting Cells,Entire terminal hair of face,cell,bpoc,1,PART_OF_CELLprtfBPOC
C0004112,C0001613,PART_OF,Astrocytes,Adrenal Cortex,cell,bpoc,8,PART_OF_CELLprtfBPOC
C0004112,C0005854,PART_OF,Astrocytes,Blood - brain barrier anatomy,cell,bpoc,7,PART_OF_CELLprtfBPOC
C0004112,C0006104,PART_OF,Astrocytes,Brain,cell,bpoc,15,PART_OF_CELLprtfBPOC
C0004112,C0007765,PART_OF,Astrocytes,Cerebellum,cell,bpoc,2,PART_OF_CELLprtfBPOC
C0004112,C0007776,PART_OF,Astrocytes,Cerebral cortex,cell,bpoc,1,PART_OF_CELLprtfBPOC
C0004112,C0016733,PART_OF,Astrocytes,frontal lobe,cell,bpoc,1,PART_OF_CELLprtfBPOC
C0004112,C0019564,PART_OF,Astrocytes,Hippocampus (Brain),cell,bpoc,1,PART_OF_CELLprtfBPOC
C0004112,C0025148,PART_OF,Astrocytes,Medulla Oblongata,cell,bpoc,1,PART_OF_CELLprtfBPOC
C0004112,C0035298,PART_OF,Astrocytes,Retina,cell,bpoc,1,PART_OF_CELLprtfBPOC
C0004112,C0037925,PART_OF,Astrocytes,Spinal Cord,cell,bpoc,4,PART_OF_CELLprtfBPOC
C0004112,C0085140,PART_OF,Astrocytes,Prosencephalon,cell,bpoc,1,PART_OF_CELLprtfBPOC
