cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003315,C0026584,PART_OF,Antigen-Presenting Cells,Culicidae,cell,euka,1,PART_OF_CELLprtfEUKA
C0005773,C0010284,PART_OF,Blood Cells,Astacoidea,cell,euka,2,PART_OF_CELLprtfEUKA
C0007600,C0000879,PART_OF,Cultured Cell Line,Acanthamoeba,cell,euka,1,PART_OF_CELLprtfEUKA
C0007600,C0003903,PART_OF,Cultured Cell Line,Arthropods,cell,euka,9,PART_OF_CELLprtfEUKA
C0007600,C0013139,PART_OF,Cultured Cell Line,Drosophila melanogaster,cell,euka,2,PART_OF_CELLprtfEUKA
C0007600,C0021573,PART_OF,Cultured Cell Line,Insect Vectors,cell,euka,2,PART_OF_CELLprtfEUKA
C0007600,C0021585,PART_OF,Cultured Cell Line,Insecta,cell,euka,84,PART_OF_CELLprtfEUKA
C0007600,C0026584,PART_OF,Cultured Cell Line,Culicidae,cell,euka,31,PART_OF_CELLprtfEUKA
C0007600,C0030498,PART_OF,Cultured Cell Line,Parasites,cell,euka,1,PART_OF_CELLprtfEUKA
C0007600,C0037119,PART_OF,Cultured Cell Line,Bombyx,cell,euka,1,PART_OF_CELLprtfEUKA
C0007600,C0040203,PART_OF,Cultured Cell Line,Ticks,cell,euka,7,PART_OF_CELLprtfEUKA
C0007600,C0322844,PART_OF,Cultured Cell Line,Aedes albopictus,cell,euka,1,PART_OF_CELLprtfEUKA
C0007600,C0322849,PART_OF,Cultured Cell Line,Aedes pseudoscutellaris,cell,euka,1,PART_OF_CELLprtfEUKA
C0007600,C0600235,PART_OF,Cultured Cell Line,Leafhoppers,cell,euka,1,PART_OF_CELLprtfEUKA
C0007600,C1042777,PART_OF,Cultured Cell Line,Nephotettix cincticeps,cell,euka,1,PART_OF_CELLprtfEUKA
C0007600,C1047534,PART_OF,Cultured Cell Line,Circulifer tenellus,cell,euka,1,PART_OF_CELLprtfEUKA
C0007601,C0021585,PART_OF,"Cell Line, Transformed",Insecta,cell,euka,1,PART_OF_CELLprtfEUKA
C0007601,C0037017,PART_OF,"Cell Line, Transformed",Shrimp,cell,euka,2,PART_OF_CELLprtfEUKA
C0009013,C0010260,PART_OF,Clone Cells,Crabs,cell,euka,1,PART_OF_CELLprtfEUKA
C0009013,C0023047,PART_OF,Clone Cells,Larva,cell,euka,1,PART_OF_CELLprtfEUKA
C0009013,C0030498,PART_OF,Clone Cells,Parasites,cell,euka,3,PART_OF_CELLprtfEUKA
C0009013,C1031041,PART_OF,Clone Cells,Modulus,cell,euka,1,PART_OF_CELLprtfEUKA
C0014597,C0021585,PART_OF,Epithelial Cells,Insecta,cell,euka,1,PART_OF_CELLprtfEUKA
C0014597,C0023047,PART_OF,Epithelial Cells,Larva,cell,euka,4,PART_OF_CELLprtfEUKA
C0014597,C0026584,PART_OF,Epithelial Cells,Culicidae,cell,euka,7,PART_OF_CELLprtfEUKA
C0014597,C0322804,PART_OF,Epithelial Cells,Culex pipiens,cell,euka,1,PART_OF_CELLprtfEUKA
C0014597,C0322859,PART_OF,Epithelial Cells,Aedes aegypti,cell,euka,1,PART_OF_CELLprtfEUKA
C0014597,C0600240,PART_OF,Epithelial Cells,Whiteflies,cell,euka,1,PART_OF_CELLprtfEUKA
C0014597,C1214095,PART_OF,Epithelial Cells,Dysdercus cingulatus,cell,euka,1,PART_OF_CELLprtfEUKA
C0014597,C1440070,PART_OF,Epithelial Cells,Adult fly,cell,euka,1,PART_OF_CELLprtfEUKA
C0014792,C0032150,PART_OF,Erythrocytes,Plasmodium falciparum,cell,euka,1,PART_OF_CELLprtfEUKA
