cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003315,C0086418,PART_OF,Antigen-Presenting Cells,Homo sapiens,cell,grup,6,PART_OF_CELLprtfGRUP
C0004112,C0086418,PART_OF,Astrocytes,Homo sapiens,cell,grup,109,PART_OF_CELLprtfGRUP
C0004561,C0086418,PART_OF,B-Lymphocytes,Homo sapiens,cell,grup,66,PART_OF_CELLprtfGRUP
C0004827,C0086418,PART_OF,Basophils,Homo sapiens,cell,grup,23,PART_OF_CELLprtfGRUP
C0005773,C0086418,PART_OF,Blood Cells,Homo sapiens,cell,grup,13,PART_OF_CELLprtfGRUP
C0005821,C0086418,PART_OF,Blood Platelets,Homo sapiens,cell,grup,5,PART_OF_CELLprtfGRUP
C0005955,C0086418,PART_OF,Bone Marrow Cells,Homo sapiens,cell,grup,4,PART_OF_CELLprtfGRUP
C0007600,C0086418,PART_OF,Cultured Cell Line,Homo sapiens,cell,grup,51,PART_OF_CELLprtfGRUP
C0007601,C0086418,PART_OF,"Cell Line, Transformed",Homo sapiens,cell,grup,3,PART_OF_CELLprtfGRUP
C0009013,C0086418,PART_OF,Clone Cells,Homo sapiens,cell,grup,4,PART_OF_CELLprtfGRUP
C0011306,C0086418,PART_OF,Dendritic Cells,Homo sapiens,cell,grup,2,PART_OF_CELLprtfGRUP
C0014467,C0086418,PART_OF,eosinophil,Homo sapiens,cell,grup,33,PART_OF_CELLprtfGRUP
C0014597,C0086418,PART_OF,Epithelial Cells,Homo sapiens,cell,grup,5,PART_OF_CELLprtfGRUP
C0014762,C0086418,PART_OF,Erythroblasts,Homo sapiens,cell,grup,1,PART_OF_CELLprtfGRUP
C0014792,C0086418,PART_OF,Erythrocytes,Homo sapiens,cell,grup,29,PART_OF_CELLprtfGRUP
C0016030,C0086418,PART_OF,Fibroblasts,Homo sapiens,cell,grup,179,PART_OF_CELLprtfGRUP
C0017471,C0086418,PART_OF,Germ Cells,Homo sapiens,cell,grup,3,PART_OF_CELLprtfGRUP
C0017473,C0086418,PART_OF,Germ Line,Homo sapiens,cell,grup,8,PART_OF_CELLprtfGRUP
C0018183,C0086418,PART_OF,granulocyte,Homo sapiens,cell,grup,20,PART_OF_CELLprtfGRUP
C0018873,C0086418,PART_OF,HeLa Cells,Homo sapiens,cell,grup,3,PART_OF_CELLprtfGRUP
C0018894,C0086418,PART_OF,Helper-Inducer T-Lymphocyte,Homo sapiens,cell,grup,1,PART_OF_CELLprtfGRUP
C0018956,C0086418,PART_OF,Hematopoietic stem cells,Homo sapiens,cell,grup,41,PART_OF_CELLprtfGRUP
C0019612,C0086418,PART_OF,Histiocytes,Homo sapiens,cell,grup,2,PART_OF_CELLprtfGRUP
C0020204,C0086418,PART_OF,Hybridomas,Homo sapiens,cell,grup,9,PART_OF_CELLprtfGRUP
C0022567,C0086418,PART_OF,keratinocyte,Homo sapiens,cell,grup,88,PART_OF_CELLprtfGRUP
C0022686,C0242821,PART_OF,Killer Cells,Human body,cell,grup,1,PART_OF_CELLprtfGRUP
C0022688,C0086418,PART_OF,Natural Killer Cells,Homo sapiens,cell,grup,11,PART_OF_CELLprtfGRUP
C0022827,C0009932,PART_OF,L Cells (Cell Line),Control Groups,cell,grup,3,PART_OF_CELLprtfGRUP
C0023516,C0086418,PART_OF,Leukocytes,Homo sapiens,cell,grup,107,PART_OF_CELLprtfGRUP
C0023517,C0086418,PART_OF,Nongranular leukocyte,Homo sapiens,cell,grup,1,PART_OF_CELLprtfGRUP
C0024264,C0086418,PART_OF,Lymphocyte,Homo sapiens,cell,grup,104,PART_OF_CELLprtfGRUP
C0024432,C0086418,PART_OF,macrophage,Homo sapiens,cell,grup,473,PART_OF_CELLprtfGRUP
C0024880,C0086418,PART_OF,mast cell,Homo sapiens,cell,grup,1,PART_OF_CELLprtfGRUP
C0025201,C0086418,PART_OF,melanocyte,Homo sapiens,cell,grup,9,PART_OF_CELLprtfGRUP
C0026473,C0086418,PART_OF,Monocytes,Homo sapiens,cell,grup,447,PART_OF_CELLprtfGRUP
C0026609,C0086418,PART_OF,Motor Neurons,Homo sapiens,cell,grup,1,PART_OF_CELLprtfGRUP
C0027836,C0009932,PART_OF,Neuroglia,Control Groups,cell,grup,1,PART_OF_CELLprtfGRUP
C0027882,C0009932,PART_OF,Neurons,Control Groups,cell,grup,1,PART_OF_CELLprtfGRUP
C0027882,C0086418,PART_OF,Neurons,Homo sapiens,cell,grup,43,PART_OF_CELLprtfGRUP
C0027950,C0086418,PART_OF,neutrophil,Homo sapiens,cell,grup,278,PART_OF_CELLprtfGRUP
C0028944,C0086418,PART_OF,Oligodendroglia,Homo sapiens,cell,grup,20,PART_OF_CELLprtfGRUP
C0029045,C0086418,PART_OF,Oocytes,Homo sapiens,cell,grup,6,PART_OF_CELLprtfGRUP
C0029418,C0086418,PART_OF,Osteoblasts,Homo sapiens,cell,grup,9,PART_OF_CELLprtfGRUP
C0029431,C0086418,PART_OF,Osteoclasts,Homo sapiens,cell,grup,4,PART_OF_CELLprtfGRUP
C0029974,C0009932,PART_OF,Ovum,Control Groups,cell,grup,6,PART_OF_CELLprtfGRUP
C0029974,C1633987,PART_OF,Ovum,Flock,cell,grup,1,PART_OF_CELLprtfGRUP
C0030281,C0086418,PART_OF,Structure of beta Cell of islet,Homo sapiens,cell,grup,1,PART_OF_CELLprtfGRUP
C0031307,C0086418,PART_OF,Phagocytes,Homo sapiens,cell,grup,13,PART_OF_CELLprtfGRUP
C0033416,C0086418,PART_OF,Promyelocytes,Homo sapiens,cell,grup,1,PART_OF_CELLprtfGRUP
C0035286,C0086418,PART_OF,Reticulocytes,Homo sapiens,cell,grup,3,PART_OF_CELLprtfGRUP
C0036387,C0086418,PART_OF,Schwann Cells,Homo sapiens,cell,grup,5,PART_OF_CELLprtfGRUP
C0037868,C0086418,PART_OF,sperm cell,Homo sapiens,cell,grup,4,PART_OF_CELLprtfGRUP
C0039194,C0086418,PART_OF,T-Lymphocyte,Homo sapiens,cell,grup,111,PART_OF_CELLprtfGRUP
C0039195,C0086418,PART_OF,Cytotoxic T-Lymphocytes,Homo sapiens,cell,grup,14,PART_OF_CELLprtfGRUP
C0039198,C0086418,PART_OF,Regulatory T-Lymphocytes,Homo sapiens,cell,grup,12,PART_OF_CELLprtfGRUP
C0039215,C0086418,PART_OF,CD4 Positive T Lymphocytes,Homo sapiens,cell,grup,2,PART_OF_CELLprtfGRUP
C0079722,C0086418,PART_OF,"Lymphocytes, Tumor-Infiltrating",Homo sapiens,cell,grup,1,PART_OF_CELLprtfGRUP
C0080202,C0086418,PART_OF,T-Lymphocyte Subsets,Homo sapiens,cell,grup,5,PART_OF_CELLprtfGRUP
