cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003315,C0014644,PART_OF,Antigen-Presenting Cells,Epstein-Barr Virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0003315,C0029341,PART_OF,Antigen-Presenting Cells,Orthomyxoviridae,cell,virs,1,PART_OF_CELLprtfVIRS
C0003315,C3698360,PART_OF,Antigen-Presenting Cells,Middle East Respiratory Syndrome Coronavirus,cell,virs,1,PART_OF_CELLprtfVIRS
C0004112,C0318356,PART_OF,Astrocytes,Human virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0004561,C0042776,PART_OF,B-Lymphocytes,Virus,cell,virs,4,PART_OF_CELLprtfVIRS
C0004561,C0206435,PART_OF,B-Lymphocytes,Human poliovirus,cell,virs,1,PART_OF_CELLprtfVIRS
C0004561,C0318855,PART_OF,B-Lymphocytes,Porcine epidemic diarrhea virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0004561,C0376536,PART_OF,B-Lymphocytes,Porcine respiratory and reproductive syndrome virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0004561,C0950126,PART_OF,B-Lymphocytes,Betanodavirus,cell,virs,1,PART_OF_CELLprtfVIRS
C0004827,C0318798,PART_OF,Basophils,"Paramyxovirus, NOS",cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0003725,PART_OF,Cultured Cell Line,Arboviruses,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0011315,PART_OF,Cultured Cell Line,Dengue Virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0014644,PART_OF,Cultured Cell Line,Epstein-Barr Virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0019682,PART_OF,Cultured Cell Line,HIV,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0019704,PART_OF,Cultured Cell Line,HIV-1,cell,virs,3,PART_OF_CELLprtfVIRS
C0007600,C0020094,PART_OF,Cultured Cell Line,Human T-lymphotropic virus 1,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0021344,PART_OF,Cultured Cell Line,Human Papillomavirus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0024267,PART_OF,Cultured Cell Line,Lymphocytic choriomeningitis virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0029343,PART_OF,Cultured Cell Line,"Influenza A Virus, Avian",cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0042776,PART_OF,Cultured Cell Line,Virus,cell,virs,7,PART_OF_CELLprtfVIRS
C0007600,C0085294,PART_OF,Cultured Cell Line,Hepatitis E virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0206466,PART_OF,Cultured Cell Line,"Parvovirus, Canine",cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0220847,PART_OF,Cultured Cell Line,Hepatitis C virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0318793,PART_OF,Cultured Cell Line,Zika Virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C0600466,PART_OF,Cultured Cell Line,Endogenous Retroviruses,cell,virs,1,PART_OF_CELLprtfVIRS
C0007600,C1002306,PART_OF,Cultured Cell Line,Rotavirus group A,cell,virs,1,PART_OF_CELLprtfVIRS
C0007601,C0014644,PART_OF,"Cell Line, Transformed",Epstein-Barr Virus,cell,virs,2,PART_OF_CELLprtfVIRS
C0007635,C0008056,PART_OF,Cultured Cells,Chikungunya virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007635,C0019682,PART_OF,Cultured Cells,HIV,cell,virs,1,PART_OF_CELLprtfVIRS
C0007635,C0021338,PART_OF,Cultured Cells,Infectious bursal disease virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007635,C0027610,PART_OF,Cultured Cells,Bovine coronavirus,cell,virs,2,PART_OF_CELLprtfVIRS
C0007635,C0029341,PART_OF,Cultured Cells,Orthomyxoviridae,cell,virs,1,PART_OF_CELLprtfVIRS
C0007635,C0034497,PART_OF,Cultured Cells,Rabies virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007635,C0042776,PART_OF,Cultured Cells,Virus,cell,virs,3,PART_OF_CELLprtfVIRS
C0007635,C0085294,PART_OF,Cultured Cells,Hepatitis E virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007635,C0318855,PART_OF,Cultured Cells,Porcine epidemic diarrhea virus,cell,virs,13,PART_OF_CELLprtfVIRS
C0007635,C0319168,PART_OF,Cultured Cells,Human adenovirus 5,cell,virs,1,PART_OF_CELLprtfVIRS
C0007635,C0376325,PART_OF,Cultured Cells,Hepatitis A Virus,cell,virs,2,PART_OF_CELLprtfVIRS
C0007635,C0376536,PART_OF,Cultured Cells,Porcine respiratory and reproductive syndrome virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0007635,C3698360,PART_OF,Cultured Cells,Middle East Respiratory Syndrome Coronavirus,cell,virs,1,PART_OF_CELLprtfVIRS
C0009013,C0001483,PART_OF,Clone Cells,Adenoviruses,cell,virs,1,PART_OF_CELLprtfVIRS
C0009013,C0004419,PART_OF,Clone Cells,Infectious bronchitis virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0009013,C0004651,PART_OF,Clone Cells,Bacteriophages,cell,virs,178,PART_OF_CELLprtfVIRS
C0009013,C0010233,PART_OF,Clone Cells,Cowpox virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0009013,C0011139,PART_OF,Clone Cells,Defective Viruses,cell,virs,1,PART_OF_CELLprtfVIRS
C0009013,C0011315,PART_OF,Clone Cells,Dengue Virus,cell,virs,1,PART_OF_CELLprtfVIRS
C0009013,C0014644,PART_OF,Clone Cells,Epstein-Barr Virus,cell,virs,2,PART_OF_CELLprtfVIRS
C0009013,C0015763,PART_OF,Clone Cells,"Calicivirus, Feline",cell,virs,1,PART_OF_CELLprtfVIRS
C0009013,C0016215,PART_OF,Clone Cells,Flavivirus,cell,virs,1,PART_OF_CELLprtfVIRS
C0009013,C0017161,PART_OF,Clone Cells,Transmissible gastroenteritis virus,cell,virs,1,PART_OF_CELLprtfVIRS
