cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0008503,C0037119,PART_OF,Chorion,Bombyx,emst,euka,1,PART_OF_EMSTprtfEUKA
C0013702,C0036315,PART_OF,Egg Shell,Schistosoma,emst,euka,2,PART_OF_EMSTprtfEUKA
C0013702,C0036317,PART_OF,Egg Shell,Schistosoma japonicum,emst,euka,1,PART_OF_EMSTprtfEUKA
C0013935,C0010979,PART_OF,Embryo,Daphnia,emst,euka,1,PART_OF_EMSTprtfEUKA
C0013935,C0012578,PART_OF,Embryo,Diptera,emst,euka,1,PART_OF_EMSTprtfEUKA
C0013935,C0013139,PART_OF,Embryo,Drosophila melanogaster,emst,euka,3,PART_OF_EMSTprtfEUKA
C0013935,C0021585,PART_OF,Embryo,Insecta,emst,euka,1,PART_OF_EMSTprtfEUKA
C0013935,C0030498,PART_OF,Embryo,Parasites,emst,euka,1,PART_OF_EMSTprtfEUKA
C0013935,C0032699,PART_OF,Embryo,Porifera,emst,euka,1,PART_OF_EMSTprtfEUKA
C0013935,C0036488,PART_OF,Embryo,Sea urchin (invertebrate),emst,euka,1,PART_OF_EMSTprtfEUKA
C0013935,C0042056,PART_OF,Embryo,Urochordata,emst,euka,1,PART_OF_EMSTprtfEUKA
C0013935,C0162610,PART_OF,Embryo,Caenorhabditis elegans,emst,euka,2,PART_OF_EMSTprtfEUKA
C0013935,C0282510,PART_OF,Embryo,Ixodes scapularis,emst,euka,1,PART_OF_EMSTprtfEUKA
C0013935,C1066014,PART_OF,Embryo,Crepidula atrasolea,emst,euka,1,PART_OF_EMSTprtfEUKA
C0013935,C1204022,PART_OF,Embryo,Amphimedon,emst,euka,1,PART_OF_EMSTprtfEUKA
C0013935,C2713498,PART_OF,Embryo,Metazoa,emst,euka,1,PART_OF_EMSTprtfEUKA
C0015965,C0040556,PART_OF,Fetus,Toxoplasma,emst,euka,1,PART_OF_EMSTprtfEUKA
C0015965,C0522429,PART_OF,Fetus,Coccidian parasite,emst,euka,1,PART_OF_EMSTprtfEUKA
C0017199,C0038185,PART_OF,Gastrula,Starfish,emst,euka,1,PART_OF_EMSTprtfEUKA
C0032043,C0030498,PART_OF,Placenta,Parasites,emst,euka,1,PART_OF_EMSTprtfEUKA
C0043544,C0038185,PART_OF,Structure of zygote,Starfish,emst,euka,1,PART_OF_EMSTprtfEUKA
C1947950,C0037119,PART_OF,Embryonic Cell,Bombyx,emst,euka,1,PART_OF_EMSTprtfEUKA
C1947950,C1517584,PART_OF,Embryonic Cell,"Invertebrates, Marine",emst,euka,1,PART_OF_EMSTprtfEUKA
C3272697,C0023047,PART_OF,Remnant,Larva,emst,euka,1,PART_OF_EMSTprtfEUKA
C3272697,C0027581,PART_OF,Remnant,Phylum Nematoda,emst,euka,1,PART_OF_EMSTprtfEUKA
C3272697,C0030498,PART_OF,Remnant,Parasites,emst,euka,3,PART_OF_EMSTprtfEUKA
C3272697,C1089450,PART_OF,Remnant,Branchia,emst,euka,1,PART_OF_EMSTprtfEUKA
C3272697,C3613423,PART_OF,Remnant,Ikeda,emst,euka,1,PART_OF_EMSTprtfEUKA
