cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0013935,C0042776,PART_OF,Embryo,Virus,emst,virs,3,PART_OF_EMSTprtfVIRS
C0013935,C0086776,PART_OF,Embryo,Parvovirus,emst,virs,1,PART_OF_EMSTprtfVIRS
C0032043,C0318793,PART_OF,Placenta,Zika Virus,emst,virs,2,PART_OF_EMSTprtfVIRS
C0920487,C0206419,PART_OF,embryo cell,Genus: Coronavirus,emst,virs,1,PART_OF_EMSTprtfVIRS
C1511061,C0004651,PART_OF,Basal Plate,Bacteriophages,emst,virs,1,PART_OF_EMSTprtfVIRS
C3272697,C0004651,PART_OF,Remnant,Bacteriophages,emst,virs,1,PART_OF_EMSTprtfVIRS
C3272697,C0011139,PART_OF,Remnant,Defective Viruses,emst,virs,1,PART_OF_EMSTprtfVIRS
C3272697,C0035366,PART_OF,Remnant,Retroviridae,emst,virs,2,PART_OF_EMSTprtfVIRS
C3272697,C0042776,PART_OF,Remnant,Virus,emst,virs,3,PART_OF_EMSTprtfVIRS
C3272697,C0085150,PART_OF,Remnant,Filoviridae,emst,virs,1,PART_OF_EMSTprtfVIRS
C3272697,C0600466,PART_OF,Remnant,Endogenous Retroviruses,emst,virs,1,PART_OF_EMSTprtfVIRS
C3272697,C1136253,PART_OF,Remnant,Prophages,emst,virs,5,PART_OF_EMSTprtfVIRS
C4244154,C0042776,PART_OF,Embryonic organ,Virus,emst,virs,1,PART_OF_EMSTprtfVIRS
