cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0024109,PART_OF,Immunologic Adjuvants,Lung,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0001551,C0024204,PART_OF,Immunologic Adjuvants,lymph nodes,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0001551,C0028429,PART_OF,Immunologic Adjuvants,Nose,imft,bpoc,4,PART_OF_IMFTprtfBPOC
C0001551,C0262304,PART_OF,Immunologic Adjuvants,pars postrema of the ventral lateral nucleus,imft,bpoc,16,PART_OF_IMFTprtfBPOC
C0001551,C0502330,PART_OF,Immunologic Adjuvants,Lymphoid organ structure,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0001804,C0024109,PART_OF,Agglutinins,Lung,imft,bpoc,2,PART_OF_IMFTprtfBPOC
C0001804,C0042149,PART_OF,Agglutinins,Uterus,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0002092,C0024109,PART_OF,Allergens,Lung,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0002092,C0458827,PART_OF,Allergens,Airway structure,imft,bpoc,2,PART_OF_IMFTprtfBPOC
C0003316,C0006104,PART_OF,Epitopes,Brain,imft,bpoc,2,PART_OF_IMFTprtfBPOC
C0003316,C0018787,PART_OF,Epitopes,Heart,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003316,C0022131,PART_OF,Epitopes,Islets of Langerhans,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003316,C0030274,PART_OF,Epitopes,Pancreas,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003316,C0035298,PART_OF,Epitopes,Retina,imft,bpoc,2,PART_OF_IMFTprtfBPOC
C0003316,C0039259,PART_OF,Epitopes,Tail,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003316,C0043189,PART_OF,Epitopes,Wing,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003316,C0262304,PART_OF,Epitopes,pars postrema of the ventral lateral nucleus,imft,bpoc,22,PART_OF_IMFTprtfBPOC
C0003316,C0694668,PART_OF,Epitopes,Right gluteus medius,imft,bpoc,10,PART_OF_IMFTprtfBPOC
C0003316,C1184743,PART_OF,Epitopes,bony process,imft,bpoc,18,PART_OF_IMFTprtfBPOC
C0003316,C1552104,PART_OF,Epitopes,Mandibular left third molar distal hemisection,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003316,C3686473,PART_OF,Epitopes,Blood vessel of heart,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C0005847,PART_OF,Antigens,Blood Vessel,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C0006104,PART_OF,Antigens,Brain,imft,bpoc,22,PART_OF_IMFTprtfBPOC
C0003320,C0006255,PART_OF,Antigens,Bronchi,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C0007776,PART_OF,Antigens,Cerebral cortex,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C0010031,PART_OF,Antigens,Cornea,imft,bpoc,5,PART_OF_IMFTprtfBPOC
C0003320,C0010040,PART_OF,Antigens,Corneal Stroma,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C0015392,PART_OF,Antigens,Eye,imft,bpoc,5,PART_OF_IMFTprtfBPOC
C0003320,C0017651,PART_OF,Antigens,Globus Pallidus,imft,bpoc,3,PART_OF_IMFTprtfBPOC
C0003320,C0018787,PART_OF,Antigens,Heart,imft,bpoc,3,PART_OF_IMFTprtfBPOC
C0003320,C0020885,PART_OF,Antigens,ileum,imft,bpoc,3,PART_OF_IMFTprtfBPOC
C0003320,C0021851,PART_OF,Antigens,Large Intestine,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C0021852,PART_OF,Antigens,"Intestines, Small",imft,bpoc,2,PART_OF_IMFTprtfBPOC
C0003320,C0021853,PART_OF,Antigens,Intestines,imft,bpoc,12,PART_OF_IMFTprtfBPOC
C0003320,C0022131,PART_OF,Antigens,Islets of Langerhans,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C0022378,PART_OF,Antigens,Jejunum,imft,bpoc,2,PART_OF_IMFTprtfBPOC
C0003320,C0022646,PART_OF,Antigens,Kidney,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C0022663,PART_OF,Antigens,Kidney Glomerulus,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C0023884,PART_OF,Antigens,Liver,imft,bpoc,4,PART_OF_IMFTprtfBPOC
C0003320,C0024109,PART_OF,Antigens,Lung,imft,bpoc,24,PART_OF_IMFTprtfBPOC
C0003320,C0024204,PART_OF,Antigens,lymph nodes,imft,bpoc,5,PART_OF_IMFTprtfBPOC
C0003320,C0027442,PART_OF,Antigens,Nasopharynx,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C0028429,PART_OF,Antigens,Nose,imft,bpoc,3,PART_OF_IMFTprtfBPOC
C0003320,C0030274,PART_OF,Antigens,Pancreas,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C0033572,PART_OF,Antigens,Prostate,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C0035298,PART_OF,Antigens,Retina,imft,bpoc,13,PART_OF_IMFTprtfBPOC
C0003320,C0035322,PART_OF,Antigens,Structure of retinal pigment epithelium,imft,bpoc,4,PART_OF_IMFTprtfBPOC
C0003320,C0036098,PART_OF,Antigens,Salivary Glands,imft,bpoc,4,PART_OF_IMFTprtfBPOC
C0003320,C0037925,PART_OF,Antigens,Spinal Cord,imft,bpoc,2,PART_OF_IMFTprtfBPOC
C0003320,C0037949,PART_OF,Antigens,Vertebral column,imft,bpoc,2,PART_OF_IMFTprtfBPOC
C0003320,C0037993,PART_OF,Antigens,Spleen,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C0040578,PART_OF,Antigens,Trachea,imft,bpoc,3,PART_OF_IMFTprtfBPOC
C0003320,C0225602,PART_OF,Antigens,Bronchial mucous gland,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C0262304,PART_OF,Antigens,pars postrema of the ventral lateral nucleus,imft,bpoc,27,PART_OF_IMFTprtfBPOC
C0003320,C0599070,PART_OF,Antigens,pulmonary body,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C0694666,PART_OF,Antigens,Right deltoid,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C0934891,PART_OF,Antigens,Set of afferent lymphatic vessels,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003320,C1184743,PART_OF,Antigens,bony process,imft,bpoc,6,PART_OF_IMFTprtfBPOC
C0003320,C1880182,PART_OF,Antigens,Corpuscle,imft,bpoc,3,PART_OF_IMFTprtfBPOC
C0003320,C1880192,PART_OF,Antigens,Crypt,imft,bpoc,4,PART_OF_IMFTprtfBPOC
C0003321,C0007531,PART_OF,"Antigens, Bacterial",Cecum,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003321,C0021853,PART_OF,"Antigens, Bacterial",Intestines,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003324,C0038351,PART_OF,Differentiation Antigens,Stomach,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003333,C0038351,PART_OF,"Antigens, Heterophile",Stomach,imft,bpoc,1,PART_OF_IMFTprtfBPOC
C0003333,C0262304,PART_OF,"Antigens, Heterophile",pars postrema of the ventral lateral nucleus,imft,bpoc,1,PART_OF_IMFTprtfBPOC
