cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0024432,PART_OF,Immunologic Adjuvants,macrophage,imft,cell,3,PART_OF_IMFTprtfCELL
C0001551,C0029974,PART_OF,Immunologic Adjuvants,Ovum,imft,cell,2,PART_OF_IMFTprtfCELL
C0001551,C0039194,PART_OF,Immunologic Adjuvants,T-Lymphocyte,imft,cell,4,PART_OF_IMFTprtfCELL
C0001551,C1321301,PART_OF,Immunologic Adjuvants,Peripheral blood mononuclear cell (cell),imft,cell,1,PART_OF_IMFTprtfCELL
C0001804,C0042542,PART_OF,Agglutinins,Vero Cells,imft,cell,1,PART_OF_IMFTprtfCELL
C0001804,C0334227,PART_OF,Agglutinins,"Tumor cells, malignant",imft,cell,1,PART_OF_IMFTprtfCELL
C0002092,C0004561,PART_OF,Allergens,B-Lymphocytes,imft,cell,1,PART_OF_IMFTprtfCELL
C0002092,C0011306,PART_OF,Allergens,Dendritic Cells,imft,cell,1,PART_OF_IMFTprtfCELL
C0002092,C0029974,PART_OF,Allergens,Ovum,imft,cell,1,PART_OF_IMFTprtfCELL
C0002092,C0085236,PART_OF,Allergens,"Macrophages, Alveolar",imft,cell,1,PART_OF_IMFTprtfCELL
C0002131,C0014792,PART_OF,Alloantigens,Erythrocytes,imft,cell,2,PART_OF_IMFTprtfCELL
C0002131,C0023516,PART_OF,Alloantigens,Leukocytes,imft,cell,2,PART_OF_IMFTprtfCELL
C0002131,C0027950,PART_OF,Alloantigens,neutrophil,imft,cell,1,PART_OF_IMFTprtfCELL
C0002131,C1522131,PART_OF,Alloantigens,Leukocyte - Lymphocyte - T-Lymphocyte (MMHCC),imft,cell,1,PART_OF_IMFTprtfCELL
C0003316,C0004561,PART_OF,Epitopes,B-Lymphocytes,imft,cell,7,PART_OF_IMFTprtfCELL
C0003316,C0005821,PART_OF,Epitopes,Blood Platelets,imft,cell,1,PART_OF_IMFTprtfCELL
C0003316,C0007600,PART_OF,Epitopes,Cultured Cell Line,imft,cell,1,PART_OF_IMFTprtfCELL
C0003316,C0009013,PART_OF,Epitopes,Clone Cells,imft,cell,3,PART_OF_IMFTprtfCELL
C0003316,C0018894,PART_OF,Epitopes,Helper-Inducer T-Lymphocyte,imft,cell,34,PART_OF_IMFTprtfCELL
C0003316,C0024432,PART_OF,Epitopes,macrophage,imft,cell,1,PART_OF_IMFTprtfCELL
C0003316,C0029974,PART_OF,Epitopes,Ovum,imft,cell,7,PART_OF_IMFTprtfCELL
C0003316,C0039194,PART_OF,Epitopes,T-Lymphocyte,imft,cell,6,PART_OF_IMFTprtfCELL
C0003316,C0039195,PART_OF,Epitopes,Cytotoxic T-Lymphocytes,imft,cell,396,PART_OF_IMFTprtfCELL
C0003316,C0039198,PART_OF,Epitopes,Regulatory T-Lymphocytes,imft,cell,16,PART_OF_IMFTprtfCELL
C0003316,C0039215,PART_OF,Epitopes,CD4 Positive T Lymphocytes,imft,cell,4,PART_OF_IMFTprtfCELL
C0003316,C0042542,PART_OF,Epitopes,Vero Cells,imft,cell,2,PART_OF_IMFTprtfCELL
C0003316,C0221284,PART_OF,Epitopes,Leptocyte,imft,cell,1,PART_OF_IMFTprtfCELL
C0003316,C0242629,PART_OF,Epitopes,CD8-Positive T-Lymphocytes,imft,cell,5,PART_OF_IMFTprtfCELL
C0003316,C0242633,PART_OF,Epitopes,T-helper cell type 2,imft,cell,1,PART_OF_IMFTprtfCELL
C0003316,C0376702,PART_OF,Epitopes,COS Cells,imft,cell,1,PART_OF_IMFTprtfCELL
C0003316,C0682610,PART_OF,Epitopes,Enterocytes,imft,cell,1,PART_OF_IMFTprtfCELL
C0003316,C1267822,PART_OF,Epitopes,CD4+ CD25+ Regulatory T Cells,imft,cell,6,PART_OF_IMFTprtfCELL
C0003316,C1519477,PART_OF,Epitopes,Splenocyte,imft,cell,1,PART_OF_IMFTprtfCELL
C0003316,C1522131,PART_OF,Epitopes,Leukocyte - Lymphocyte - T-Lymphocyte (MMHCC),imft,cell,2,PART_OF_IMFTprtfCELL
C0003316,C1956385,PART_OF,Epitopes,Plasmacytoid Dendritic Cells,imft,cell,1,PART_OF_IMFTprtfCELL
C0003316,C2350175,PART_OF,Epitopes,Erythroid Progenitor Cells,imft,cell,1,PART_OF_IMFTprtfCELL
C0003316,C3641722,PART_OF,Epitopes,Effector T-Lymphocyte,imft,cell,2,PART_OF_IMFTprtfCELL
C0003316,C3656689,PART_OF,Epitopes,B cell+T cell,imft,cell,1,PART_OF_IMFTprtfCELL
C0003316,C4330475,PART_OF,Epitopes,Immune Cell,imft,cell,1,PART_OF_IMFTprtfCELL
C0003316,C4527420,PART_OF,Epitopes,T-cell Receptor-engineered T-cells,imft,cell,1,PART_OF_IMFTprtfCELL
C0003320,C0003315,PART_OF,Antigens,Antigen-Presenting Cells,imft,cell,3,PART_OF_IMFTprtfCELL
C0003320,C0004112,PART_OF,Antigens,Astrocytes,imft,cell,1,PART_OF_IMFTprtfCELL
C0003320,C0004561,PART_OF,Antigens,B-Lymphocytes,imft,cell,8,PART_OF_IMFTprtfCELL
C0003320,C0005773,PART_OF,Antigens,Blood Cells,imft,cell,1,PART_OF_IMFTprtfCELL
C0003320,C0007600,PART_OF,Antigens,Cultured Cell Line,imft,cell,1,PART_OF_IMFTprtfCELL
C0003320,C0007635,PART_OF,Antigens,Cultured Cells,imft,cell,1,PART_OF_IMFTprtfCELL
C0003320,C0009013,PART_OF,Antigens,Clone Cells,imft,cell,4,PART_OF_IMFTprtfCELL
C0003320,C0011306,PART_OF,Antigens,Dendritic Cells,imft,cell,4,PART_OF_IMFTprtfCELL
C0003320,C0014467,PART_OF,Antigens,eosinophil,imft,cell,1,PART_OF_IMFTprtfCELL
C0003320,C0014597,PART_OF,Antigens,Epithelial Cells,imft,cell,9,PART_OF_IMFTprtfCELL
C0003320,C0014603,PART_OF,Antigens,Epithelioid Cells,imft,cell,1,PART_OF_IMFTprtfCELL
