cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000833,C0016059,PRECEDES,Abscess,Fibrosis,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0001339,C0036983,PRECEDES,Acute pancreatitis,Septic Shock,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0001361,C0011071,PRECEDES,Acute tonsillitis,Sudden death,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0002395,C0015376,PRECEDES,Alzheimer's Disease,Extravasation,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0003864,C0021368,PRECEDES,Arthritis,Inflammation,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0004364,C0020963,PRECEDES,Autoimmune Diseases,Immune Tolerance,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0004610,C0015927,PRECEDES,Bacteremia,Fetal Death,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0004610,C3714514,PRECEDES,Bacteremia,Infection,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0004623,C0016059,PRECEDES,Bacterial Infections,Fibrosis,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0004623,C0021368,PRECEDES,Bacterial Infections,Inflammation,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0004623,C1155266,PRECEDES,Bacterial Infections,inflammatory response,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0006271,C0008767,PRECEDES,Bronchiolitis,Cicatrization,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0007222,C3714514,PRECEDES,Cardiovascular Diseases,Infection,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0007684,C3714514,PRECEDES,Central Nervous System Infection,Infection,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0007785,C1155266,PRECEDES,Cerebral Infarction,inflammatory response,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0007787,C0021308,PRECEDES,Transient Ischemic Attack,Infarction,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0008055,C1155266,PRECEDES,Chikungunya Fever,inflammatory response,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0009443,C0035228,PRECEDES,Common Cold,Respiratory Hypersensitivity,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0009443,C3714514,PRECEDES,Common Cold,Infection,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0009450,C0162633,PRECEDES,Communicable Diseases,Viral Shedding,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0009450,C0543419,PRECEDES,Communicable Diseases,Sequela of disorder,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0010054,C0003130,PRECEDES,Coronary Arteriosclerosis,Anoxia,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0010054,C0022116,PRECEDES,Coronary Arteriosclerosis,Ischemia,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0010054,C0027686,PRECEDES,Coronary Arteriosclerosis,Pathologic Neovascularization,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0010054,C1265824,PRECEDES,Coronary Arteriosclerosis,Persistent inflammation,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0010823,C0020507,PRECEDES,Cytomegalovirus Infections,Hyperplasia,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0012739,C0019080,PRECEDES,Disseminated Intravascular Coagulation,Hemorrhage,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0013595,C0016470,PRECEDES,Eczema,Food Allergy,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0014009,C0043241,PRECEDES,Empyema,Wound Infection,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0014038,C0011304,PRECEDES,Encephalitis,Demyelination,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0014038,C0161815,PRECEDES,Encephalitis,Central nervous system complication,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0014059,C0011304,PRECEDES,"Encephalomyelitis, Acute Disseminated",Demyelination,dsyn,patf,2,PRECEDES_DSYNprcdPATF
C0014179,C1373218,PRECEDES,Endometritis,Decreased Immunologic Activity [PE],dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0014836,C0021368,PRECEDES,Escherichia coli Infections,Inflammation,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0015403,C0020522,PRECEDES,Eye Infections,Delayed Hypersensitivity,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0016627,C0242656,PRECEDES,Influenza in Birds,Disease Progression,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0016627,C3714514,PRECEDES,Influenza in Birds,Infection,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0017160,C0151686,PRECEDES,Gastroenteritis,Growth retardation,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0017601,C0024524,PRECEDES,Glaucoma,Malacia,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0018790,C0036974,PRECEDES,Cardiac Arrest,Shock,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0018790,C1140716,PRECEDES,Cardiac Arrest,Hypoxic Brain Damage,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0019061,C0543419,PRECEDES,Hemolytic-Uremic Syndrome,Sequela of disorder,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0019097,C0235029,PRECEDES,"Hemorrhagic Fever, Argentinian",neurological complication,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0019191,C0021368,PRECEDES,Infectious Canine Hepatitis,Inflammation,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0019196,C0010828,PRECEDES,Hepatitis C,Cytopenia,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0019348,C0011304,PRECEDES,Herpes Simplex Infections,Demyelination,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0019348,C4022804,PRECEDES,Herpes Simplex Infections,Decreased inflammatory response,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0019360,C0011304,PRECEDES,Herpes zoster disease,Demyelination,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0019693,C3714514,PRECEDES,HIV Infections,Infection,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0020097,C1510411,PRECEDES,HTLV-I Infections,metaplastic cell transformation,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0020452,C0016059,PRECEDES,Hyperemia,Fibrosis,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0020473,C0232342,PRECEDES,Hyperlipidemia,Decreased vascular flow,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0020615,C0021308,PRECEDES,Hypoglycemia,Infarction,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0021400,C0003130,PRECEDES,Influenza,Anoxia,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0021400,C0015927,PRECEDES,Influenza,Fetal Death,dsyn,patf,1,PRECEDES_DSYNprcdPATF
C0021400,C0162633,PRECEDES,Influenza,Viral Shedding,dsyn,patf,1,PRECEDES_DSYNprcdPATF
