cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004936,C0017178,PRECEDES,Mental disorders,Gastrointestinal Diseases,mobd,dsyn,1,PRECEDES_MOBDprcdDSYN
C0004936,C0027765,PRECEDES,Mental disorders,nervous system disorder,mobd,dsyn,1,PRECEDES_MOBDprcdDSYN
C0006325,C0234535,PRECEDES,Bruxism,"Seizures, Clonic",mobd,dsyn,1,PRECEDES_MOBDprcdDSYN
C0009676,C0009421,PRECEDES,Confusion,Comatose,mobd,dsyn,1,PRECEDES_MOBDprcdDSYN
C0009676,C0234533,PRECEDES,Confusion,Generalized seizures,mobd,dsyn,1,PRECEDES_MOBDprcdDSYN
C0011581,C0011175,PRECEDES,Depressive disorder,Dehydration,mobd,dsyn,1,PRECEDES_MOBDprcdDSYN
C0011581,C0030499,PRECEDES,Depressive disorder,Parasitic Diseases,mobd,dsyn,1,PRECEDES_MOBDprcdDSYN
C0011581,C0032285,PRECEDES,Depressive disorder,Pneumonia,mobd,dsyn,1,PRECEDES_MOBDprcdDSYN
C0011581,C0221163,PRECEDES,Depressive disorder,Motor Disorders,mobd,dsyn,1,PRECEDES_MOBDprcdDSYN
C0038587,C0027059,PRECEDES,Substance Withdrawal Syndrome,Myocarditis,mobd,dsyn,1,PRECEDES_MOBDprcdDSYN
C0038587,C1290344,PRECEDES,Substance Withdrawal Syndrome,Nonspecific interstitial pneumonia,mobd,dsyn,1,PRECEDES_MOBDprcdDSYN
C0233514,C0038454,PRECEDES,Abnormal behavior,Cerebrovascular accident,mobd,dsyn,1,PRECEDES_MOBDprcdDSYN
C0497327,C0011269,PRECEDES,Dementia,"Dementia, Vascular",mobd,dsyn,1,PRECEDES_MOBDprcdDSYN
C0525045,C0036690,PRECEDES,Mood Disorders,Septicemia,mobd,dsyn,1,PRECEDES_MOBDprcdDSYN
C0596170,C0034063,PRECEDES,Binge eating disorder,Pulmonary Edema,mobd,dsyn,1,PRECEDES_MOBDprcdDSYN
C0858952,C0035235,PRECEDES,silence,Respiratory Syncytial Virus Infections,mobd,dsyn,1,PRECEDES_MOBDprcdDSYN
