cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001125,C0278252,PREDISPOSES,"Acidosis, Lactic",Prognosis bad,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0001127,C1444783,PREDISPOSES,"Acidosis, Respiratory",Instability,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0001175,C0742985,PREDISPOSES,Acquired Immunodeficiency Syndrome,debilitation,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0001175,C3806166,PREDISPOSES,Acquired Immunodeficiency Syndrome,Poor outcome,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0001311,C1836348,PREDISPOSES,Acute bronchiolitis,Severe disorder,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0001339,C1842211,PREDISPOSES,Acute pancreatitis,Severe course,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0001824,C0035648,PREDISPOSES,Agranulocytosis,risk factors,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0001883,C2826606,PREDISPOSES,Airway Obstruction,Fungal Colonization,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0002736,C1834700,PREDISPOSES,Amyotrophic Lateral Sclerosis,Rapid disease progression,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0002792,C0003811,PREDISPOSES,anaphylaxis,Cardiac Arrhythmia,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0002792,C2220378,PREDISPOSES,anaphylaxis,severe Allergic disorders,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0002871,C0598463,PREDISPOSES,Anemia,Functional Status,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0002871,C0746961,PREDISPOSES,Anemia,Oxygen saturation below reference range,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0002871,C3806166,PREDISPOSES,Anemia,Poor outcome,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0003123,C0205160,PREDISPOSES,Anorexia,Negative,dsyn,fndg,2,PREDISPOSES_DSYNpredFNDG
C0003123,C0546884,PREDISPOSES,Anorexia,Hypovolemia,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0003723,C4279930,PREDISPOSES,Arbovirus Infections,Autochthonous Transmission,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0003850,C1320716,PREDISPOSES,Arteriosclerosis,Cardiovascular event,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004096,C0239998,PREDISPOSES,Asthma,Recurrent infections,dsyn,fndg,2,PREDISPOSES_DSYNpredFNDG
C0004096,C0332149,PREDISPOSES,Asthma,Possible,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004096,C0581126,PREDISPOSES,Asthma,Severe asthma,dsyn,fndg,2,PREDISPOSES_DSYNpredFNDG
C0004096,C0694550,PREDISPOSES,Asthma,Recurrent pneumonia,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004096,C0743630,PREDISPOSES,Asthma,exacerbation acute,dsyn,fndg,2,PREDISPOSES_DSYNpredFNDG
C0004096,C1822492,PREDISPOSES,Asthma,Chronic Morbidities,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004096,C1836348,PREDISPOSES,Asthma,Severe disorder,dsyn,fndg,7,PREDISPOSES_DSYNpredFNDG
C0004096,C1837655,PREDISPOSES,Asthma,Multifactorial,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004096,C1842211,PREDISPOSES,Asthma,Severe course,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004096,C1869116,PREDISPOSES,Asthma,"ASTHMA, SUSCEPTIBILITY TO (finding)",dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004096,C3687252,PREDISPOSES,Asthma,Eosinophilic inflammation,dsyn,fndg,2,PREDISPOSES_DSYNpredFNDG
C0004096,C3816499,PREDISPOSES,Asthma,Pathogenic,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004096,C4086268,PREDISPOSES,Asthma,Exacerbation,dsyn,fndg,13,PREDISPOSES_DSYNpredFNDG
C0004096,C4289767,PREDISPOSES,Asthma,Colonization,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004245,C0278252,PREDISPOSES,Atrioventricular Block,Prognosis bad,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004610,C4289767,PREDISPOSES,Bacteremia,Colonization,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004623,C0239998,PREDISPOSES,Bacterial Infections,Recurrent infections,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004623,C0349790,PREDISPOSES,Bacterial Infections,Exacerbation of asthma,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004623,C1281905,PREDISPOSES,Bacterial Infections,At risk of disease,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004623,C1709770,PREDISPOSES,Bacterial Infections,Pulmonary Dysfunction,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004623,C1836348,PREDISPOSES,Bacterial Infections,Severe disorder,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004623,C1844666,PREDISPOSES,Bacterial Infections,Immune dysregulation,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0004623,C4086268,PREDISPOSES,Bacterial Infections,Exacerbation,dsyn,fndg,2,PREDISPOSES_DSYNpredFNDG
C0004626,C3540840,PREDISPOSES,"Pneumonia, Bacterial",Sign or Symptom,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0005122,C4055506,PREDISPOSES,Beriberi,Accumulation,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0005779,C3686869,PREDISPOSES,Blood Coagulation Disorders,Microthrombosis,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0005779,C3806166,PREDISPOSES,Blood Coagulation Disorders,Poor outcome,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0005779,C3845748,PREDISPOSES,Blood Coagulation Disorders,Hematologic complication,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0006267,C0239998,PREDISPOSES,Bronchiectasis,Recurrent infections,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0006267,C1836348,PREDISPOSES,Bronchiectasis,Severe disorder,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0006267,C4086268,PREDISPOSES,Bronchiectasis,Exacerbation,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0006271,C0205160,PREDISPOSES,Bronchiolitis,Negative,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0006271,C0349790,PREDISPOSES,Bronchiolitis,Exacerbation of asthma,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0006271,C1836348,PREDISPOSES,Bronchiolitis,Severe disorder,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0006271,C1869116,PREDISPOSES,Bronchiolitis,"ASTHMA, SUSCEPTIBILITY TO (finding)",dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0006271,C4539802,PREDISPOSES,Bronchiolitis,Frequent wheezing,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0006274,C1836348,PREDISPOSES,"Bronchiolitis, Viral",Severe disorder,dsyn,fndg,2,PREDISPOSES_DSYNpredFNDG
C0006287,C4086268,PREDISPOSES,Bronchopulmonary Dysplasia,Exacerbation,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0007222,C0038435,PREDISPOSES,Cardiovascular Diseases,Stress,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0007222,C0231170,PREDISPOSES,Cardiovascular Diseases,Disability,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0007222,C0277608,PREDISPOSES,Cardiovascular Diseases,Death in hospital,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0007222,C0278252,PREDISPOSES,Cardiovascular Diseases,Prognosis bad,dsyn,fndg,2,PREDISPOSES_DSYNpredFNDG
C0007222,C0743630,PREDISPOSES,Cardiovascular Diseases,exacerbation acute,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0007222,C1836348,PREDISPOSES,Cardiovascular Diseases,Severe disorder,dsyn,fndg,5,PREDISPOSES_DSYNpredFNDG
C0007222,C1838681,PREDISPOSES,Cardiovascular Diseases,Rapidly progressive,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0007222,C3806166,PREDISPOSES,Cardiovascular Diseases,Poor outcome,dsyn,fndg,4,PREDISPOSES_DSYNpredFNDG
C0007820,C1836348,PREDISPOSES,Cerebrovascular Disorders,Severe disorder,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0008049,C1318963,PREDISPOSES,Chickenpox,Readiness,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0008677,C1842211,PREDISPOSES,"Bronchitis, Chronic",Severe course,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0008677,C4086268,PREDISPOSES,"Bronchitis, Chronic",Exacerbation,dsyn,fndg,2,PREDISPOSES_DSYNpredFNDG
C0008679,C0007166,PREDISPOSES,Chronic disease,Low Cardiac Output,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0008679,C0043094,PREDISPOSES,Chronic disease,Weight Gain,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
C0008679,C0337664,PREDISPOSES,Chronic disease,Smoker,dsyn,fndg,1,PREDISPOSES_DSYNpredFNDG
