cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001041,C0042769,PREVENTS,Acetylcholine,Virus Diseases,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0001374,C2712971,PREVENTS,Acyl Coenzyme A,Enteritis due to Norovirus,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0005404,C0008370,PREVENTS,Bile Salts,Cholestasis,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0005437,C0003850,PREVENTS,Bilirubin,Arteriosclerosis,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0005437,C0027051,PREVENTS,Bilirubin,Myocardial Infarction,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0006675,C0029453,PREVENTS,Calcium,Osteopenia,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0006675,C0029456,PREVENTS,Calcium,Osteoporosis,bacs,dsyn,2,PREVENTS_BACSprevDSYN
C0006675,C0392519,PREVENTS,Calcium,Calcium deficiency,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0006675,C0451641,PREVENTS,Calcium,Urolithiasis,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0006675,C1175175,PREVENTS,Calcium,Severe Acute Respiratory Syndrome,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0006675,C2747816,PREVENTS,Calcium,Severe Malaria,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0007012,C0001127,PREVENTS,Carbon Dioxide,"Acidosis, Respiratory",bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0007289,C0036916,PREVENTS,Carrageenan,Sexually Transmitted Diseases,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0007289,C0042769,PREVENTS,Carrageenan,Virus Diseases,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0007289,C0343641,PREVENTS,Carrageenan,Human papilloma virus infection,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0008377,C0003850,PREVENTS,Cholesterol,Arteriosclerosis,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0008377,C0007222,PREVENTS,Cholesterol,Cardiovascular Diseases,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0008377,C0042769,PREVENTS,Cholesterol,Virus Diseases,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0008405,C0023890,PREVENTS,Choline,Liver Cirrhosis,bacs,dsyn,1,PREVENTS_BACSprevDSYN
C0009968,C0205721,PREVENTS,Copper,"Infections, Hospital",bacs,dsyn,1,PREVENTS_BACSprevDSYN
