cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001443,C0242488,PREVENTS,Adenosine,Acute Lung Injury,bacs,inpo,1,PREVENTS_BACSprevINPO
C0001468,C0161479,PREVENTS,Adenosine Phosphosulfate,Nerve injury,bacs,inpo,2,PREVENTS_BACSprevINPO
C0007745,C0010957,PREVENTS,Ceramides,Tissue damage,bacs,inpo,2,PREVENTS_BACSprevINPO
C0010868,C0274281,PREVENTS,Cytotoxin,Injury due to exposure to external cause,bacs,inpo,1,PREVENTS_BACSprevINPO
C0012854,C0600688,PREVENTS,DNA,Toxic effect,bacs,inpo,1,PREVENTS_BACSprevINPO
C0013982,C0600688,PREVENTS,Emodin,Toxic effect,bacs,inpo,1,PREVENTS_BACSprevINPO
C0016693,C0273115,PREVENTS,Free Radicals,Lung Injury,bacs,inpo,1,PREVENTS_BACSprevINPO
C0024467,C0876994,PREVENTS,Magnesium,Cardiotoxicity,bacs,inpo,1,PREVENTS_BACSprevINPO
C0025196,C0600688,PREVENTS,Melanins,Toxic effect,bacs,inpo,1,PREVENTS_BACSprevINPO
C0028606,C0600688,PREVENTS,Nucleic Acids,Toxic effect,bacs,inpo,1,PREVENTS_BACSprevINPO
C0030054,C0600688,PREVENTS,Oxygen,Toxic effect,bacs,inpo,1,PREVENTS_BACSprevINPO
C0032136,C0596763,PREVENTS,Plasmids,Immunotoxicity,bacs,inpo,1,PREVENTS_BACSprevINPO
C0032821,C0876994,PREVENTS,Potassium,Cardiotoxicity,bacs,inpo,1,PREVENTS_BACSprevINPO
C0036581,C0600688,PREVENTS,Selenium,Toxic effect,bacs,inpo,1,PREVENTS_BACSprevINPO
C0040549,C0010957,PREVENTS,Toxin,Tissue damage,bacs,inpo,1,PREVENTS_BACSprevINPO
C0043481,C0274986,PREVENTS,Zinc,Zinc poisoning,bacs,inpo,1,PREVENTS_BACSprevINPO
C0079925,C0600688,PREVENTS,Antisense Oligonucleotides,Toxic effect,bacs,inpo,1,PREVENTS_BACSprevINPO
C0113545,C0235378,PREVENTS,diallyl sulfone,Hepatotoxicity,bacs,inpo,1,PREVENTS_BACSprevINPO
C0302583,C0600688,PREVENTS,Iron,Toxic effect,bacs,inpo,1,PREVENTS_BACSprevINPO
C1099354,C0035126,PREVENTS,"RNA, Small Interfering",Reperfusion Injury,bacs,inpo,2,PREVENTS_BACSprevINPO
C1099354,C0273115,PREVENTS,"RNA, Small Interfering",Lung Injury,bacs,inpo,1,PREVENTS_BACSprevINPO
C1099354,C0600688,PREVENTS,"RNA, Small Interfering",Toxic effect,bacs,inpo,3,PREVENTS_BACSprevINPO
C1101610,C0600688,PREVENTS,MicroRNAs,Toxic effect,bacs,inpo,2,PREVENTS_BACSprevINPO
C1282240,C0600688,PREVENTS,Aquatic toxin,Toxic effect,bacs,inpo,1,PREVENTS_BACSprevINPO
