cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003261,C0005595,PROCESS_OF,Antibody Formation,Aves,biof,bird,11,PROCESS_OF_BIOFprcfBIRD
C0003261,C0008051,PROCESS_OF,Antibody Formation,Chickens,biof,bird,40,PROCESS_OF_BIOFprcfBIRD
C0003261,C0013268,PROCESS_OF,Antibody Formation,Ducks,biof,bird,6,PROCESS_OF_BIOFprcfBIRD
C0003261,C0041401,PROCESS_OF,Antibody Formation,Meleagridinae,biof,bird,2,PROCESS_OF_BIOFprcfBIRD
C0003261,C0325536,PROCESS_OF,Antibody Formation,Gymnogyps californianus (organism),biof,bird,1,PROCESS_OF_BIOFprcfBIRD
C0003261,C2698565,PROCESS_OF,Antibody Formation,Broiler chicken,biof,bird,1,PROCESS_OF_BIOFprcfBIRD
C0003261,C3669468,PROCESS_OF,Antibody Formation,Young turkey,biof,bird,3,PROCESS_OF_BIOFprcfBIRD
C0003261,C3669677,PROCESS_OF,Antibody Formation,Young chicken,biof,bird,5,PROCESS_OF_BIOFprcfBIRD
C0013203,C0008051,PROCESS_OF,Drug resistance,Chickens,biof,bird,2,PROCESS_OF_BIOFprcfBIRD
C0042765,C0005595,PROCESS_OF,Virulence,Aves,biof,bird,12,PROCESS_OF_BIOFprcfBIRD
C0042765,C0008051,PROCESS_OF,Virulence,Chickens,biof,bird,34,PROCESS_OF_BIOFprcfBIRD
C0042765,C0013268,PROCESS_OF,Virulence,Ducks,biof,bird,3,PROCESS_OF_BIOFprcfBIRD
C0042765,C0032850,PROCESS_OF,Virulence,"Fowls, Domestic",biof,bird,11,PROCESS_OF_BIOFprcfBIRD
C0042765,C0324624,PROCESS_OF,Virulence,Pekin duck,biof,bird,1,PROCESS_OF_BIOFprcfBIRD
C0042765,C0325635,PROCESS_OF,Virulence,Family Phasianidae,biof,bird,1,PROCESS_OF_BIOFprcfBIRD
C0042765,C0325693,PROCESS_OF,Virulence,Peafowl,biof,bird,1,PROCESS_OF_BIOFprcfBIRD
C0042765,C0999232,PROCESS_OF,Virulence,Columba livia,biof,bird,1,PROCESS_OF_BIOFprcfBIRD
C0042765,C1260943,PROCESS_OF,Virulence,Anas platyrhynchos,biof,bird,1,PROCESS_OF_BIOFprcfBIRD
C0042765,C3669435,PROCESS_OF,Virulence,Embryonated chicken egg,biof,bird,3,PROCESS_OF_BIOFprcfBIRD
C0042765,C3669677,PROCESS_OF,Virulence,Young chicken,biof,bird,4,PROCESS_OF_BIOFprcfBIRD
C0220781,C0005595,PROCESS_OF,Anabolism,Aves,biof,bird,1,PROCESS_OF_BIOFprcfBIRD
C0220781,C0008051,PROCESS_OF,Anabolism,Chickens,biof,bird,2,PROCESS_OF_BIOFprcfBIRD
C0220781,C3669471,PROCESS_OF,Anabolism,Chicken laying egg for human food,biof,bird,1,PROCESS_OF_BIOFprcfBIRD
C0232478,C0005595,PROCESS_OF,Ingestion,Aves,biof,bird,4,PROCESS_OF_BIOFprcfBIRD
C0232478,C0032850,PROCESS_OF,Ingestion,"Fowls, Domestic",biof,bird,3,PROCESS_OF_BIOFprcfBIRD
C0232478,C0041401,PROCESS_OF,Ingestion,Meleagridinae,biof,bird,1,PROCESS_OF_BIOFprcfBIRD
C0232478,C0325528,PROCESS_OF,Ingestion,Genus Cygnus,biof,bird,1,PROCESS_OF_BIOFprcfBIRD
C0232478,C0999170,PROCESS_OF,Ingestion,Apteryx,biof,bird,1,PROCESS_OF_BIOFprcfBIRD
C0232478,C3669677,PROCESS_OF,Ingestion,Young chicken,biof,bird,1,PROCESS_OF_BIOFprcfBIRD
C0282688,C0008051,PROCESS_OF,"Evolution, Molecular",Chickens,biof,bird,1,PROCESS_OF_BIOFprcfBIRD
