cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003261,C0030551,PROCESS_OF,Antibody Formation,parent,biof,famg,1,PROCESS_OF_BIOFprcfFAMG
C0003261,C0337547,PROCESS_OF,Antibody Formation,Younger child,biof,famg,1,PROCESS_OF_BIOFprcfFAMG
C0034851,C0680063,PROCESS_OF,"Conditions, Recessive Genetic",Offspring,biof,famg,1,PROCESS_OF_BIOFprcfFAMG
C0042765,C0015576,PROCESS_OF,Virulence,Family,biof,famg,1,PROCESS_OF_BIOFprcfFAMG
C0042765,C0026753,PROCESS_OF,Virulence,Multiple Birth Offspring,biof,famg,6,PROCESS_OF_BIOFprcfFAMG
C0042765,C0030551,PROCESS_OF,Virulence,parent,biof,famg,4,PROCESS_OF_BIOFprcfFAMG
C0042765,C0680063,PROCESS_OF,Virulence,Offspring,biof,famg,2,PROCESS_OF_BIOFprcfFAMG
C0220781,C0010222,PROCESS_OF,Anabolism,Couples (persons),biof,famg,1,PROCESS_OF_BIOFprcfFAMG
C0220781,C0015576,PROCESS_OF,Anabolism,Family,biof,famg,2,PROCESS_OF_BIOFprcfFAMG
C0220781,C0026753,PROCESS_OF,Anabolism,Multiple Birth Offspring,biof,famg,1,PROCESS_OF_BIOFprcfFAMG
C0237066,C0015576,PROCESS_OF,anatomy and physiology,Family,biof,famg,1,PROCESS_OF_BIOFprcfFAMG
C0282629,C0015576,PROCESS_OF,Virus Assembly,Family,biof,famg,1,PROCESS_OF_BIOFprcfFAMG
C0282629,C0680063,PROCESS_OF,Virus Assembly,Offspring,biof,famg,7,PROCESS_OF_BIOFprcfFAMG
C0282629,C0682323,PROCESS_OF,Virus Assembly,Partner in relationship,biof,famg,1,PROCESS_OF_BIOFprcfFAMG
C0282688,C0015576,PROCESS_OF,"Evolution, Molecular",Family,biof,famg,2,PROCESS_OF_BIOFprcfFAMG
C0392673,C0337547,PROCESS_OF,Adaptation,Younger child,biof,famg,2,PROCESS_OF_BIOFprcfFAMG
C1160638,C0030551,PROCESS_OF,Viral life cycle,parent,biof,famg,1,PROCESS_OF_BIOFprcfFAMG
C1537068,C4053457,PROCESS_OF,Virus Internalization,Surrogate,biof,famg,1,PROCESS_OF_BIOFprcfFAMG
C1657244,C0015576,PROCESS_OF,mitochondrion localization,Family,biof,famg,1,PROCESS_OF_BIOFprcfFAMG
C1721019,C0682323,PROCESS_OF,Virus Attachment,Partner in relationship,biof,famg,1,PROCESS_OF_BIOFprcfFAMG
C3820740,C0015576,PROCESS_OF,viroporin,Family,biof,famg,15,PROCESS_OF_BIOFprcfFAMG
C3820740,C4053457,PROCESS_OF,viroporin,Surrogate,biof,famg,1,PROCESS_OF_BIOFprcfFAMG
C3853734,C0680063,PROCESS_OF,viral process,Offspring,biof,famg,1,PROCESS_OF_BIOFprcfFAMG
C4277607,C0041427,PROCESS_OF,"Immunogenicity, Vaccine",Twin sibling (person),biof,famg,1,PROCESS_OF_BIOFprcfFAMG
C4277615,C0026591,PROCESS_OF,Heat Avoidance,Mother (person),biof,famg,1,PROCESS_OF_BIOFprcfFAMG
