cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0008628,C0008051,PROCESS_OF,Chromosome Deletion,Chickens,comd,bird,1,PROCESS_OF_COMDprcfBIRD
C0027746,C0005595,PROCESS_OF,Nerve Degeneration,Aves,comd,bird,1,PROCESS_OF_COMDprcfBIRD
C0162735,C0008051,PROCESS_OF,Point Mutation,Chickens,comd,bird,2,PROCESS_OF_COMDprcfBIRD
C0242606,C0005595,PROCESS_OF,Oxidative Stress,Aves,comd,bird,1,PROCESS_OF_COMDprcfBIRD
C0242606,C0008051,PROCESS_OF,Oxidative Stress,Chickens,comd,bird,5,PROCESS_OF_COMDprcfBIRD
C0242606,C0013268,PROCESS_OF,Oxidative Stress,Ducks,comd,bird,1,PROCESS_OF_COMDprcfBIRD
C0242606,C0032850,PROCESS_OF,Oxidative Stress,"Fowls, Domestic",comd,bird,6,PROCESS_OF_COMDprcfBIRD
C0242606,C3669416,PROCESS_OF,Oxidative Stress,Broiler chick,comd,bird,1,PROCESS_OF_COMDprcfBIRD
C0242606,C3669677,PROCESS_OF,Oxidative Stress,Young chicken,comd,bird,1,PROCESS_OF_COMDprcfBIRD
C0920672,C0005595,PROCESS_OF,virus pathogenesis,Aves,comd,bird,1,PROCESS_OF_COMDprcfBIRD
C0920672,C0008051,PROCESS_OF,virus pathogenesis,Chickens,comd,bird,1,PROCESS_OF_COMDprcfBIRD
C0920672,C0013268,PROCESS_OF,virus pathogenesis,Ducks,comd,bird,1,PROCESS_OF_COMDprcfBIRD
C1517604,C0008051,PROCESS_OF,Isodicentric Chromosome,Chickens,comd,bird,1,PROCESS_OF_COMDprcfBIRD
C1705285,C0008051,PROCESS_OF,Mutation Abnormality,Chickens,comd,bird,3,PROCESS_OF_COMDprcfBIRD
C1705285,C0013268,PROCESS_OF,Mutation Abnormality,Ducks,comd,bird,1,PROCESS_OF_COMDprcfBIRD
C1705285,C0032850,PROCESS_OF,Mutation Abnormality,"Fowls, Domestic",comd,bird,1,PROCESS_OF_COMDprcfBIRD
C1705285,C1019337,PROCESS_OF,Mutation Abnormality,Otus,comd,bird,1,PROCESS_OF_COMDprcfBIRD
