cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0012860,C0025266,PROCESS_OF,DNA Damage,Male population group,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0025570,C0040704,PROCESS_OF,Squamous metaplasia,Transient Population Group,comd,humn,2,PROCESS_OF_COMDprcfHUMN
C0027746,C1999167,PROCESS_OF,Nerve Degeneration,Old age,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0032578,C0034510,PROCESS_OF,Polyploidy,Racial group,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0035268,C0015031,PROCESS_OF,Restriction fragment length polymorphism,Ethnic group,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0035268,C2700280,PROCESS_OF,Restriction fragment length polymorphism,World,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0040715,C0026192,PROCESS_OF,Chromosomal translocation,Minority Groups,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0162735,C0337833,PROCESS_OF,Point Mutation,Gambians,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0162735,C0878517,PROCESS_OF,Point Mutation,Engineer,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0242606,C0040704,PROCESS_OF,Oxidative Stress,Transient Population Group,comd,humn,5,PROCESS_OF_COMDprcfHUMN
C0242606,C0043210,PROCESS_OF,Oxidative Stress,Woman,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0242606,C1999167,PROCESS_OF,Oxidative Stress,Old age,comd,humn,2,PROCESS_OF_COMDprcfHUMN
C0302111,C0040704,PROCESS_OF,Aplastic crisis,Transient Population Group,comd,humn,16,PROCESS_OF_COMDprcfHUMN
C0302113,C0001792,PROCESS_OF,Fragility,Elderly (population group),comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0302113,C0150775,PROCESS_OF,Fragility,Social Networks,comd,humn,2,PROCESS_OF_COMDprcfHUMN
C0302113,C1999167,PROCESS_OF,Fragility,Old age,comd,humn,2,PROCESS_OF_COMDprcfHUMN
C0333694,C0034510,PROCESS_OF,Tetraploidy,Racial group,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0333734,C0025266,PROCESS_OF,Neuronophagia,Male population group,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0596402,C0001792,PROCESS_OF,cytotoxicity,Elderly (population group),comd,humn,2,PROCESS_OF_COMDprcfHUMN
C0596402,C0033011,PROCESS_OF,cytotoxicity,Pregnant Women,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0596402,C0040704,PROCESS_OF,cytotoxicity,Transient Population Group,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0596402,C1516213,PROCESS_OF,cytotoxicity,Cancer Patient,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0596402,C1518579,PROCESS_OF,cytotoxicity,Clinical Nurse Specialist - oncology,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0596402,C1709854,PROCESS_OF,cytotoxicity,Recipient,comd,humn,3,PROCESS_OF_COMDprcfHUMN
C0920672,C0008098,PROCESS_OF,virus pathogenesis,"Child, Hospitalized",comd,humn,1,PROCESS_OF_COMDprcfHUMN
C0920672,C0033011,PROCESS_OF,virus pathogenesis,Pregnant Women,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C1512032,C0878517,PROCESS_OF,Dominant-Negative Mutation,Engineer,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C1512032,C2347961,PROCESS_OF,Dominant-Negative Mutation,Reverend,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C1515263,C0043210,PROCESS_OF,Telomere Shortening,Woman,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C1516197,C0684312,PROCESS_OF,Cancer Gene Mutation,Drivers of Vehicles,comd,humn,2,PROCESS_OF_COMDprcfHUMN
C1517332,C0473169,PROCESS_OF,Fusion Protein Expression,Pilot,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C1517604,C0031831,PROCESS_OF,Isodicentric Chromosome,Physicians,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C1517604,C0334866,PROCESS_OF,Isodicentric Chromosome,Medical pathologist,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C1517604,C0337911,PROCESS_OF,Isodicentric Chromosome,Turks,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C1517604,C0684017,PROCESS_OF,Isodicentric Chromosome,scholar,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C1517604,C0851286,PROCESS_OF,Isodicentric Chromosome,Staff,comd,humn,2,PROCESS_OF_COMDprcfHUMN
C1705285,C0034510,PROCESS_OF,Mutation Abnormality,Racial group,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C1705285,C0682081,PROCESS_OF,Mutation Abnormality,Mixed racial group,comd,humn,1,PROCESS_OF_COMDprcfHUMN
C1705285,C0683626,PROCESS_OF,Mutation Abnormality,human group,comd,humn,2,PROCESS_OF_COMDprcfHUMN
C1705285,C1510818,PROCESS_OF,Mutation Abnormality,Advanced Practice Nurse,comd,humn,1,PROCESS_OF_COMDprcfHUMN
