cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000849,C0018724,PROCESS_OF,Absenteeism,Health Personnel,inbe,humn,18,PROCESS_OF_INBEprcfHUMN
C0000849,C0028661,PROCESS_OF,Absenteeism,Nurses,inbe,humn,3,PROCESS_OF_INBEprcfHUMN
C0000849,C0031228,PROCESS_OF,Absenteeism,"Personnel, Hospital",inbe,humn,4,PROCESS_OF_INBEprcfHUMN
C0000849,C0033176,PROCESS_OF,Absenteeism,Private Sector,inbe,humn,2,PROCESS_OF_INBEprcfHUMN
C0000849,C0085537,PROCESS_OF,Absenteeism,Caregiver,inbe,humn,3,PROCESS_OF_INBEprcfHUMN
C0000849,C0221457,PROCESS_OF,Absenteeism,Teacher,inbe,humn,3,PROCESS_OF_INBEprcfHUMN
C0000849,C0282122,PROCESS_OF,Absenteeism,Respondents,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0000849,C0687673,PROCESS_OF,Absenteeism,Registered nurse,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0000849,C0851286,PROCESS_OF,Absenteeism,Staff,inbe,humn,29,PROCESS_OF_INBEprcfHUMN
C0000849,C0870481,PROCESS_OF,Absenteeism,elementary school students,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0000849,C2986530,PROCESS_OF,Absenteeism,Intervention Group,inbe,humn,2,PROCESS_OF_INBEprcfHUMN
C0000849,C3824749,PROCESS_OF,Absenteeism,First responder,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0001807,C0025266,PROCESS_OF,Aggressive behavior,Male population group,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0001807,C0038492,PROCESS_OF,Aggressive behavior,student,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0001807,C0240069,PROCESS_OF,Aggressive behavior,israeli,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0001807,C0682356,PROCESS_OF,Aggressive behavior,Witnesses,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0001807,C0687744,PROCESS_OF,Aggressive behavior,Social group,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0001807,C0748064,PROCESS_OF,Aggressive behavior,Psychiatric inpatient,inbe,humn,2,PROCESS_OF_INBEprcfHUMN
C0001807,C1707496,PROCESS_OF,Aggressive behavior,Consumer,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0001807,C1999167,PROCESS_OF,Aggressive behavior,Old age,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0001948,C0025266,PROCESS_OF,Alcohol consumption,Male population group,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0001948,C0042610,PROCESS_OF,Alcohol consumption,Veterans,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0001948,C0043210,PROCESS_OF,Alcohol consumption,Woman,inbe,humn,3,PROCESS_OF_INBEprcfHUMN
C0001948,C0152035,PROCESS_OF,Alcohol consumption,Chinese People,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0001948,C0687725,PROCESS_OF,Alcohol consumption,Alcoholics,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0001948,C3826770,PROCESS_OF,Alcohol consumption,Older people,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0001948,C4277573,PROCESS_OF,Alcohol consumption,Sexual and Gender Minorities,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0004077,C0025266,PROCESS_OF,Assertiveness,Male population group,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0004350,C0596070,PROCESS_OF,Authoritarianism,Americas Ethnicity,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0008300,C0026192,PROCESS_OF,Choice Behavior,Minority Groups,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0008300,C0031831,PROCESS_OF,Choice Behavior,Physicians,inbe,humn,2,PROCESS_OF_INBEprcfHUMN
C0008300,C0035173,PROCESS_OF,Choice Behavior,Research Personnel,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0008300,C0035962,PROCESS_OF,Choice Behavior,Rural Population,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0008300,C0087009,PROCESS_OF,Choice Behavior,Hospital specialist,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0008300,C0150775,PROCESS_OF,Choice Behavior,Social Networks,inbe,humn,2,PROCESS_OF_INBEprcfHUMN
C0008300,C0282122,PROCESS_OF,Choice Behavior,Respondents,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0008300,C0335141,PROCESS_OF,Choice Behavior,manager,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0008300,C0337879,PROCESS_OF,Choice Behavior,Navaho (ethnic group),inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0008300,C0599987,PROCESS_OF,Choice Behavior,Employee,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0008300,C0680319,PROCESS_OF,Choice Behavior,modern society,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0008300,C0682134,PROCESS_OF,Choice Behavior,citizen,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0008300,C0682355,PROCESS_OF,Choice Behavior,tourist,inbe,humn,4,PROCESS_OF_INBEprcfHUMN
C0008300,C0687759,PROCESS_OF,Choice Behavior,traveler,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0008300,C0851286,PROCESS_OF,Choice Behavior,Staff,inbe,humn,2,PROCESS_OF_INBEprcfHUMN
C0008300,C0871685,PROCESS_OF,Choice Behavior,Clinician,inbe,humn,2,PROCESS_OF_INBEprcfHUMN
C0008300,C1706077,PROCESS_OF,Choice Behavior,user - individual,inbe,humn,2,PROCESS_OF_INBEprcfHUMN
C0008300,C1707496,PROCESS_OF,Choice Behavior,Consumer,inbe,humn,3,PROCESS_OF_INBEprcfHUMN
C0009671,C0018724,PROCESS_OF,Conflict (Psychology),Health Personnel,inbe,humn,2,PROCESS_OF_INBEprcfHUMN
C0009671,C0031831,PROCESS_OF,Conflict (Psychology),Physicians,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0009671,C0335034,PROCESS_OF,Conflict (Psychology),Critic,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0009671,C0335083,PROCESS_OF,Conflict (Psychology),Actor,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0009671,C0403082,PROCESS_OF,Conflict (Psychology),Diver (occupation),inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0009671,C0679924,PROCESS_OF,Conflict (Psychology),professional occupation status,inbe,humn,2,PROCESS_OF_INBEprcfHUMN
C0009671,C0684017,PROCESS_OF,Conflict (Psychology),scholar,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0009671,C0870132,PROCESS_OF,Conflict (Psychology),analysts,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0009671,C1709627,PROCESS_OF,Conflict (Psychology),Practitioner,inbe,humn,2,PROCESS_OF_INBEprcfHUMN
C0009671,C2698217,PROCESS_OF,Conflict (Psychology),Middle Eastern,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0009671,C2700280,PROCESS_OF,Conflict (Psychology),World,inbe,humn,4,PROCESS_OF_INBEprcfHUMN
C0009671,C3812881,PROCESS_OF,Conflict (Psychology),Author,inbe,humn,215,PROCESS_OF_INBEprcfHUMN
C0009671,C4046087,PROCESS_OF,Conflict (Psychology),Diplomat,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0009967,C0085756,PROCESS_OF,Coping Behavior,African American,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0009967,C1552089,PROCESS_OF,Coping Behavior,Staff Member,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0009967,C1707496,PROCESS_OF,Coping Behavior,Consumer,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0010399,C1999167,PROCESS_OF,Crying,Old age,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0010472,C0018422,PROCESS_OF,Curiosity,Roma ethnic group,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0010472,C0031831,PROCESS_OF,Curiosity,Physicians,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0010472,C0221193,PROCESS_OF,Curiosity,Journalist,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0010472,C0402112,PROCESS_OF,Curiosity,Scientist,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0010472,C0682355,PROCESS_OF,Curiosity,tourist,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0010472,C0687759,PROCESS_OF,Curiosity,traveler,inbe,humn,3,PROCESS_OF_INBEprcfHUMN
C0010472,C1706077,PROCESS_OF,Curiosity,user - individual,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0010472,C1709627,PROCESS_OF,Curiosity,Practitioner,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0010472,C4522252,PROCESS_OF,Curiosity,Foundation for the Accreditation of Cellular Therapy,inbe,humn,3,PROCESS_OF_INBEprcfHUMN
C0012625,C0034510,PROCESS_OF,Disclosure,Racial group,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0012625,C3812881,PROCESS_OF,Disclosure,Author,inbe,humn,3,PROCESS_OF_INBEprcfHUMN
C0013989,C0013963,PROCESS_OF,Empathy,Emergency Medical Technicians,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
C0013989,C0028661,PROCESS_OF,Empathy,Nurses,inbe,humn,6,PROCESS_OF_INBEprcfHUMN
C0013989,C0031831,PROCESS_OF,Empathy,Physicians,inbe,humn,4,PROCESS_OF_INBEprcfHUMN
C0013989,C0085537,PROCESS_OF,Empathy,Caregiver,inbe,humn,2,PROCESS_OF_INBEprcfHUMN
C0013989,C0557529,PROCESS_OF,Empathy,Oncology nurse,inbe,humn,3,PROCESS_OF_INBEprcfHUMN
C0013989,C0682134,PROCESS_OF,Empathy,citizen,inbe,humn,1,PROCESS_OF_INBEprcfHUMN
