cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003467,C2993063,PROCESS_OF,Anxiety,Atlanta,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0009946,C1318538,PROCESS_OF,Conversion disorder,Sarcodina,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0009983,C0012578,PROCESS_OF,Coprophagia,Diptera,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0011581,C0600238,PROCESS_OF,Depressive disorder,Scale Insects,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0011581,C1744526,PROCESS_OF,Depressive disorder,Cryptosporidium,mobd,euka,2,PROCESS_OF_MOBDprcfEUKA
C0024809,C0028831,PROCESS_OF,Marijuana Abuse,Octopus,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0026773,C0018008,PROCESS_OF,Multiple Personality Disorder,gnat,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0085271,C1938575,PROCESS_OF,Self-Injurious Behavior,Manga,mobd,euka,4,PROCESS_OF_MOBDprcfEUKA
C0086168,C0039686,PROCESS_OF,Dissociation,Tetrameres,mobd,euka,2,PROCESS_OF_MOBDprcfEUKA
C0086168,C1067936,PROCESS_OF,Dissociation,Phasis,mobd,euka,11,PROCESS_OF_MOBDprcfEUKA
C0086168,C1674151,PROCESS_OF,Dissociation,Kallima inachus,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0152186,C0026584,PROCESS_OF,Bestiality,Culicidae,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0152186,C0030498,PROCESS_OF,Bestiality,Parasites,mobd,euka,2,PROCESS_OF_MOBDprcfEUKA
C0233577,C0021585,PROCESS_OF,Mimicry,Insecta,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0233577,C1225105,PROCESS_OF,Mimicry,Sia,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0242151,C1938575,PROCESS_OF,violent,Manga,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0338908,C1067936,PROCESS_OF,Mixed anxiety and depressive disorder,Phasis,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0344323,C0162328,PROCESS_OF,Flashing,Firefly Family,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0349231,C3053990,PROCESS_OF,Phobic anxiety disorder,Corona,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0424295,C1318538,PROCESS_OF,Hyperactive behavior,Sarcodina,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0424605,C0018882,PROCESS_OF,Developmental delay (disorder),Helix (Snails),mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0858952,C0012578,PROCESS_OF,silence,Diptera,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0858952,C0021573,PROCESS_OF,silence,Insect Vectors,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0858952,C0021585,PROCESS_OF,silence,Insecta,mobd,euka,2,PROCESS_OF_MOBDprcfEUKA
C0858952,C0026584,PROCESS_OF,silence,Culicidae,mobd,euka,4,PROCESS_OF_MOBDprcfEUKA
C0858952,C0030498,PROCESS_OF,silence,Parasites,mobd,euka,2,PROCESS_OF_MOBDprcfEUKA
C0858952,C0037017,PROCESS_OF,silence,Shrimp,mobd,euka,3,PROCESS_OF_MOBDprcfEUKA
C0858952,C0162610,PROCESS_OF,silence,Caenorhabditis elegans,mobd,euka,3,PROCESS_OF_MOBDprcfEUKA
C0858952,C0322236,PROCESS_OF,silence,Moniezia expansa,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0858952,C0322844,PROCESS_OF,silence,Aedes albopictus,mobd,euka,3,PROCESS_OF_MOBDprcfEUKA
C0858952,C0600240,PROCESS_OF,silence,Whiteflies,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0858952,C1081076,PROCESS_OF,silence,Bemisia tabaci,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0935572,C0021585,PROCESS_OF,Stalking (behavior),Insecta,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0935572,C0022787,PROCESS_OF,Stalking (behavior),Euphausiacea,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0935572,C0039686,PROCESS_OF,Stalking (behavior),Tetrameres,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0935572,C1064552,PROCESS_OF,Stalking (behavior),Acytostelium,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
C0935578,C0026584,PROCESS_OF,harassment,Culicidae,mobd,euka,1,PROCESS_OF_MOBDprcfEUKA
