cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001038,C0007600,PROCESS_OF,Acetylation,Cultured Cell Line,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0001038,C0018873,PROCESS_OF,Acetylation,HeLa Cells,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0001038,C0024432,PROCESS_OF,Acetylation,macrophage,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0001038,C0026473,PROCESS_OF,Acetylation,Monocytes,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0001038,C0085080,PROCESS_OF,Acetylation,Chinese Hamster Ovary Cell,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0001038,C1512977,PROCESS_OF,Acetylation,Mammalian Cell,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0001801,C0005821,PROCESS_OF,agglutination,Blood Platelets,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0001801,C0039194,PROCESS_OF,agglutination,T-Lymphocyte,moft,cell,3,PROCESS_OF_MOFTprcfCELL
C0001801,C0334227,PROCESS_OF,agglutination,"Tumor cells, malignant",moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0003256,C0039194,PROCESS_OF,Antibody Avidity,T-Lymphocyte,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0003259,C0017473,PROCESS_OF,Antibody Diversity,Germ Line,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0003264,C0009013,PROCESS_OF,Antibody Specificity,Clone Cells,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0003264,C1518997,PROCESS_OF,Antibody Specificity,Peripheral Blood Lymphocyte,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0003319,C0004561,PROCESS_OF,Antigenic Variation,B-Lymphocytes,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0003319,C0018873,PROCESS_OF,Antigenic Variation,HeLa Cells,moft,cell,2,PROCESS_OF_MOFTprcfCELL
C0005458,C0014597,PROCESS_OF,"Binding, Competitive",Epithelial Cells,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0008858,C0003315,PROCESS_OF,Citric Acid Cycle,Antigen-Presenting Cells,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0008858,C0024432,PROCESS_OF,Citric Acid Cycle,macrophage,moft,cell,3,PROCESS_OF_MOFTprcfCELL
C0008858,C1512899,PROCESS_OF,Citric Acid Cycle,Interphase Cell,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0009528,C0027950,PROCESS_OF,Complement Activation,neutrophil,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C0004561,PROCESS_OF,Cross Reactions,B-Lymphocytes,moft,cell,14,PROCESS_OF_MOFTprcfCELL
C0010357,C0007600,PROCESS_OF,Cross Reactions,Cultured Cell Line,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C0009013,PROCESS_OF,Cross Reactions,Clone Cells,moft,cell,13,PROCESS_OF_MOFTprcfCELL
C0010357,C0011306,PROCESS_OF,Cross Reactions,Dendritic Cells,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C0014597,PROCESS_OF,Cross Reactions,Epithelial Cells,moft,cell,2,PROCESS_OF_MOFTprcfCELL
C0010357,C0016030,PROCESS_OF,Cross Reactions,Fibroblasts,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C0018894,PROCESS_OF,Cross Reactions,Helper-Inducer T-Lymphocyte,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C0018956,PROCESS_OF,Cross Reactions,Hematopoietic stem cells,moft,cell,2,PROCESS_OF_MOFTprcfCELL
C0010357,C0022688,PROCESS_OF,Cross Reactions,Natural Killer Cells,moft,cell,12,PROCESS_OF_MOFTprcfCELL
C0010357,C0023516,PROCESS_OF,Cross Reactions,Leukocytes,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C0024432,PROCESS_OF,Cross Reactions,macrophage,moft,cell,6,PROCESS_OF_MOFTprcfCELL
C0010357,C0026473,PROCESS_OF,Cross Reactions,Monocytes,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C0028944,PROCESS_OF,Cross Reactions,Oligodendroglia,moft,cell,2,PROCESS_OF_MOFTprcfCELL
C0010357,C0029045,PROCESS_OF,Cross Reactions,Oocytes,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C0031307,PROCESS_OF,Cross Reactions,Phagocytes,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C0039194,PROCESS_OF,Cross Reactions,T-Lymphocyte,moft,cell,177,PROCESS_OF_MOFTprcfCELL
C0010357,C0039195,PROCESS_OF,Cross Reactions,Cytotoxic T-Lymphocytes,moft,cell,19,PROCESS_OF_MOFTprcfCELL
C0010357,C0042542,PROCESS_OF,Cross Reactions,Vero Cells,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C0206116,PROCESS_OF,Cross Reactions,Microglia,moft,cell,2,PROCESS_OF_MOFTprcfCELL
C0010357,C0206131,PROCESS_OF,Cross Reactions,Adipocytes,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C0242629,PROCESS_OF,Cross Reactions,CD8-Positive T-Lymphocytes,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C0242632,PROCESS_OF,Cross Reactions,T-helper cell type 1,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C0312737,PROCESS_OF,Cross Reactions,Immunologic cell,moft,cell,7,PROCESS_OF_MOFTprcfCELL
C0010357,C0376702,PROCESS_OF,Cross Reactions,COS Cells,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C0682638,PROCESS_OF,Cross Reactions,memory b cell,moft,cell,8,PROCESS_OF_MOFTprcfCELL
C0010357,C0682639,PROCESS_OF,Cross Reactions,Memory T-Lymphocyte,moft,cell,26,PROCESS_OF_MOFTprcfCELL
C0010357,C1148382,PROCESS_OF,Cross Reactions,Monocytes+Macrophages,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C1321301,PROCESS_OF,Cross Reactions,Peripheral blood mononuclear cell (cell),moft,cell,2,PROCESS_OF_MOFTprcfCELL
C0010357,C1328818,PROCESS_OF,Cross Reactions,Podocytes,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C1956385,PROCESS_OF,Cross Reactions,Plasmacytoid Dendritic Cells,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C3656689,PROCESS_OF,Cross Reactions,B cell+T cell,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0010357,C4330475,PROCESS_OF,Cross Reactions,Immune Cell,moft,cell,2,PROCESS_OF_MOFTprcfCELL
C0013081,C0003315,PROCESS_OF,Down-Regulation,Antigen-Presenting Cells,moft,cell,1,PROCESS_OF_MOFTprcfCELL
C0013081,C0004112,PROCESS_OF,Down-Regulation,Astrocytes,moft,cell,5,PROCESS_OF_MOFTprcfCELL
