cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001801,C1059094,PROCESS_OF,agglutination,Apion,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0003319,C0041215,PROCESS_OF,Antigenic Variation,Trypanosoma,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0008858,C0444659,PROCESS_OF,Citric Acid Cycle,Merozoites,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0010357,C0012470,PROCESS_OF,Cross Reactions,Dinophyceae,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0010357,C0018893,PROCESS_OF,Cross Reactions,Helminths,moft,euka,2,PROCESS_OF_MOFTprcfEUKA
C0010357,C0030498,PROCESS_OF,Cross Reactions,Parasites,moft,euka,2,PROCESS_OF_MOFTprcfEUKA
C0013081,C0026593,PROCESS_OF,Down-Regulation,Moths,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0013081,C0028737,PROCESS_OF,Down-Regulation,Nymph,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0013081,C0998218,PROCESS_OF,Down-Regulation,Penaeus monodon,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0017952,C0444659,PROCESS_OF,Glycolysis,Merozoites,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0023775,C0012578,PROCESS_OF,Lipid Peroxidation,Diptera,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0025723,C0684063,PROCESS_OF,Methylation,Eukaryota,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0025723,C1041430,PROCESS_OF,Methylation,Erythraeus,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0031715,C0037119,PROCESS_OF,Phosphorylation,Bombyx,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0033618,C1031041,PROCESS_OF,Protein Binding,Modulus,moft,euka,2,PROCESS_OF_MOFTprcfEUKA
C0033618,C3053990,PROCESS_OF,Protein Binding,Corona,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0033666,C0012120,PROCESS_OF,Post-Translational Protein Processing,Dictyostelium,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0033666,C0684063,PROCESS_OF,Post-Translational Protein Processing,Eukaryota,moft,euka,3,PROCESS_OF_MOFTprcfEUKA
C0041904,C0562656,PROCESS_OF,Up-Regulation (Physiology),Schizonts,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0041904,C1225105,PROCESS_OF,Up-Regulation (Physiology),Sia,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0086982,C0162610,PROCESS_OF,Signal Transduction Pathways,Caenorhabditis elegans,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0086982,C0684063,PROCESS_OF,Signal Transduction Pathways,Eukaryota,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0086982,C2713498,PROCESS_OF,Signal Transduction Pathways,Metazoa,moft,euka,3,PROCESS_OF_MOFTprcfEUKA
C0242943,C0033739,PROCESS_OF,Molecular Mimicry,Protozoa,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0242943,C1225105,PROCESS_OF,Molecular Mimicry,Sia,moft,euka,2,PROCESS_OF_MOFTprcfEUKA
C0243102,C0030498,PROCESS_OF,enzyme activity,Parasites,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0301641,C1017315,PROCESS_OF,Macromolecular alteration,Helice,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0301642,C1626074,PROCESS_OF,Denaturation,Venustaconcha ellipsiformis,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0302820,C0021585,PROCESS_OF,Carbohydrate Metabolism,Insecta,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0376322,C0012120,PROCESS_OF,Protein Glycosylation,Dictyostelium,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0376669,C0041217,PROCESS_OF,DNA Fragmentation,Trypanosoma brucei brucei,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0596076,C0043041,PROCESS_OF,amino acid metabolism,Wasps,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0596625,C0684063,PROCESS_OF,N-Glycan Biosynthesis Pathway,Eukaryota,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0597295,C0030498,PROCESS_OF,Protein Biosynthesis,Parasites,moft,euka,2,PROCESS_OF_MOFTprcfEUKA
C0597295,C0043041,PROCESS_OF,Protein Biosynthesis,Wasps,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0597295,C0684063,PROCESS_OF,Protein Biosynthesis,Eukaryota,moft,euka,6,PROCESS_OF_MOFTprcfEUKA
C0597295,C3053990,PROCESS_OF,Protein Biosynthesis,Corona,moft,euka,16,PROCESS_OF_MOFTprcfEUKA
C0597304,C0684063,PROCESS_OF,Proteolysis,Eukaryota,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
C0597304,C1031041,PROCESS_OF,Proteolysis,Modulus,moft,euka,2,PROCESS_OF_MOFTprcfEUKA
C0598435,C0013139,PROCESS_OF,Palmitoylation,Drosophila melanogaster,moft,euka,1,PROCESS_OF_MOFTprcfEUKA
