cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0020964,C0015576,PROCESS_OF,Immunity,Family,phsf,famg,4,PROCESS_OF_PHSFprcfFAMG
C0020964,C0020052,PROCESS_OF,Immunity,Households,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0020964,C0026591,PROCESS_OF,Immunity,Mother (person),phsf,famg,5,PROCESS_OF_PHSFprcfFAMG
C0020964,C0026753,PROCESS_OF,Immunity,Multiple Birth Offspring,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0020964,C0030551,PROCESS_OF,Immunity,parent,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0020964,C0037047,PROCESS_OF,Immunity,Sibling,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0020964,C0162409,PROCESS_OF,Immunity,spouse,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0020964,C0242665,PROCESS_OF,Immunity,wife,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0020964,C0337547,PROCESS_OF,Immunity,Younger child,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0020964,C0680063,PROCESS_OF,Immunity,Offspring,phsf,famg,9,PROCESS_OF_PHSFprcfFAMG
C0020964,C4053457,PROCESS_OF,Immunity,Surrogate,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0035203,C0015576,PROCESS_OF,Respiration,Family,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0035203,C0020052,PROCESS_OF,Respiration,Households,phsf,famg,6,PROCESS_OF_PHSFprcfFAMG
C0035203,C0030551,PROCESS_OF,Respiration,parent,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0035203,C4053457,PROCESS_OF,Respiration,Surrogate,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0035245,C0030551,PROCESS_OF,Respiratory physiology,parent,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0035245,C0680063,PROCESS_OF,Respiratory physiology,Offspring,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0221102,C0026591,PROCESS_OF,Excretory function,Mother (person),phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0221102,C0680063,PROCESS_OF,Excretory function,Offspring,phsf,famg,4,PROCESS_OF_PHSFprcfFAMG
C0242732,C0015576,PROCESS_OF,Tropism,Family,phsf,famg,4,PROCESS_OF_PHSFprcfFAMG
C0243144,C0015576,PROCESS_OF,Uptake,Family,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0243144,C0020052,PROCESS_OF,Uptake,Households,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0243144,C0030551,PROCESS_OF,Uptake,parent,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0243144,C0080103,PROCESS_OF,Uptake,Relative (related person),phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0597675,C0015576,PROCESS_OF,voltage gated channel,Family,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C0870882,C0680063,PROCESS_OF,metabolic rates,Offspring,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C1135927,C0086282,PROCESS_OF,"Immunity, Herd",Family member,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C1511613,C0015576,PROCESS_OF,Cytokine Signaling Process,Family,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C1514892,C0020052,PROCESS_OF,Resistance Process,Households,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C1514892,C0026753,PROCESS_OF,Resistance Process,Multiple Birth Offspring,phsf,famg,2,PROCESS_OF_PHSFprcfFAMG
C1514892,C0037047,PROCESS_OF,Resistance Process,Sibling,phsf,famg,2,PROCESS_OF_PHSFprcfFAMG
C1514892,C0680063,PROCESS_OF,Resistance Process,Offspring,phsf,famg,3,PROCESS_OF_PHSFprcfFAMG
C1704520,C0030551,PROCESS_OF,Primary Respiratory Mechanism,parent,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C3658217,C0041432,PROCESS_OF,"Immunity, Heterologous",Monozygotic twins,phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
C3714584,C0080103,PROCESS_OF,"Transformation, function",Relative (related person),phsf,famg,1,PROCESS_OF_PHSFprcfFAMG
