cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0012854,C0016693,PRODUCES,DNA,Free Radicals,bacs,bacs,2,PRODUCES_BACSprodBACS
C0012854,C0162772,PRODUCES,DNA,Reactive Oxygen Species,bacs,bacs,1,PRODUCES_BACSprodBACS
C0017911,C0024467,PRODUCES,Glycogen,Magnesium,bacs,bacs,1,PRODUCES_BACSprodBACS
C0017911,C0032821,PRODUCES,Glycogen,Potassium,bacs,bacs,1,PRODUCES_BACSprodBACS
C0023503,C0023546,PRODUCES,Leukocidin,Leukotriene B4,bacs,bacs,1,PRODUCES_BACSprodBACS
C0028606,C0028158,PRODUCES,Nucleic Acids,Nitrogen,bacs,bacs,1,PRODUCES_BACSprodBACS
C0030234,C0024467,PRODUCES,Palmitic Acid,Magnesium,bacs,bacs,1,PRODUCES_BACSprodBACS
C0030234,C0032821,PRODUCES,Palmitic Acid,Potassium,bacs,bacs,1,PRODUCES_BACSprodBACS
C1099354,C1101610,PRODUCES,"RNA, Small Interfering",MicroRNAs,bacs,bacs,1,PRODUCES_BACSprodBACS
C1101610,C1099354,PRODUCES,MicroRNAs,"RNA, Small Interfering",bacs,bacs,1,PRODUCES_BACSprodBACS
