cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001625,C0038317,PRODUCES,Adrenal Glands,Steroids,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0003842,C0675175,PRODUCES,Arteries,cysteinyl-leukotriene,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0006104,C0007158,PRODUCES,Brain,Cardiac Glycosides,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0006104,C0029904,PRODUCES,Brain,Ouabain,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0010352,C0001962,PRODUCES,Avian crop,Ethanol,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0010352,C0017767,PRODUCES,Avian crop,Glucosinolates,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0010352,C0242209,PRODUCES,Avian crop,Sugars,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0010352,C2717891,PRODUCES,Avian crop,Biofuels,bpoc,orch,2,PRODUCES_BPOCprodORCH
C0015282,C0073603,PRODUCES,Exocrine Glands,royal jelly,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0018597,C0023779,PRODUCES,Harderian Gland,Lipids,bpoc,orch,3,PRODUCES_BPOCprodORCH
C0018597,C0596771,PRODUCES,Harderian Gland,indoleamine,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0018787,C0028908,PRODUCES,Heart,Oils,bpoc,orch,2,PRODUCES_BPOCprodORCH
C0021851,C0032950,PRODUCES,Large Intestine,prednisolone,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0021851,C0369760,PRODUCES,Large Intestine,Organic acid (substance),bpoc,orch,1,PRODUCES_BPOCprodORCH
C0021853,C0000975,PRODUCES,Intestines,Acetate,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0021853,C0006521,PRODUCES,Intestines,Butyrates,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0021853,C0033474,PRODUCES,Intestines,Propionates,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0023317,C0017082,PRODUCES,"Lens, Crystalline",Gangliosides,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0023884,C0015684,PRODUCES,Liver,Fatty Acids,bpoc,orch,2,PRODUCES_BPOCprodORCH
C0023884,C0015688,PRODUCES,Liver,Nonesterified Fatty Acids,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0023884,C0122891,PRODUCES,Liver,Hyocholic acid,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0023884,C0600203,PRODUCES,Liver,Dichloroacetic Acid,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0023884,C2713885,PRODUCES,Liver,oseltamivir carboxylate,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0024109,C0003695,PRODUCES,Lung,Arachidonic Acid,bpoc,orch,2,PRODUCES_BPOCprodORCH
C0024109,C0022924,PRODUCES,Lung,Lactates,bpoc,orch,2,PRODUCES_BPOCprodORCH
C0024109,C0023779,PRODUCES,Lung,Lipids,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0024109,C2350439,PRODUCES,Lung,Volatile Organic Compounds,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0025181,C0014898,PRODUCES,Structure of meibomian gland,Esters,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0025181,C0015688,PRODUCES,Structure of meibomian gland,Nonesterified Fatty Acids,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0025181,C0023779,PRODUCES,Structure of meibomian gland,Lipids,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0029939,C0038317,PRODUCES,Ovary,Steroids,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0030274,C0525678,PRODUCES,Pancreas,rasagiline,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0032008,C0003968,PRODUCES,"Pituitary Gland, Anterior",Ascorbic Acid,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0035946,C0033474,PRODUCES,Rumen,Propionates,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0037949,C0040976,PRODUCES,Vertebral column,Trientine,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0037949,C0045933,PRODUCES,Vertebral column,2-benzyl-3-formylpropanoic acid,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0037949,C0046917,PRODUCES,Vertebral column,"3,3-dimethylallyl pyrophosphate",bpoc,orch,1,PRODUCES_BPOCprodORCH
C0037949,C0064030,PRODUCES,Vertebral column,isopentenyl pyrophosphate,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0037949,C0520481,PRODUCES,Vertebral column,Saponin,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0037993,C0023810,PRODUCES,Spleen,Lipopolysaccharides,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0039597,C0038317,PRODUCES,Testis,Steroids,bpoc,orch,2,PRODUCES_BPOCprodORCH
C0040578,C0028959,PRODUCES,Trachea,Oligosaccharides,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0042449,C0675175,PRODUCES,Veins,cysteinyl-leukotriene,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0152345,C0016932,PRODUCES,External capsule,Galactans,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0175282,C1881354,PRODUCES,Medial part of ventral lateral nucleus,L-lactate,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0175518,C0655249,PRODUCES,Nucleus solitarius,chlorotriphenylsilane,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0178784,C0021236,PRODUCES,Organ,indole,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0228539,C0031428,PRODUCES,Olivary Nucleus,Phenols,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0228539,C0071649,PRODUCES,Olivary Nucleus,polyphenols,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0262304,C0214192,PRODUCES,pars postrema of the ventral lateral nucleus,9-aminocamptothecin,bpoc,orch,1,PRODUCES_BPOCprodORCH
