cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007603,C0015688,PRODUCES,Plasma membrane,Nonesterified Fatty Acids,celc,orch,1,PRODUCES_CELCprodORCH
C0007603,C0040057,PRODUCES,Plasma membrane,Thromboxane A2,celc,orch,1,PRODUCES_CELCprodORCH
C0007603,C0072275,PRODUCES,Plasma membrane,prostaglandin E3,celc,orch,1,PRODUCES_CELCprodORCH
C0007623,C0023810,PRODUCES,Cell Wall,Lipopolysaccharides,celc,orch,1,PRODUCES_CELCprodORCH
C0008266,C0012780,PRODUCES,Chloroplasts,Diterpenes,celc,orch,1,PRODUCES_CELCprodORCH
C0008266,C0036847,PRODUCES,Chloroplasts,Sesquiterpenes,celc,orch,1,PRODUCES_CELCprodORCH
C0008266,C0682997,PRODUCES,Chloroplasts,Monoterpenes,celc,orch,1,PRODUCES_CELCprodORCH
C0010851,C0225326,PRODUCES,Cytoskeletal Filaments,Fiber,celc,orch,1,PRODUCES_CELCprodORCH
C0016192,C0015684,PRODUCES,Flagella,Fatty Acids,celc,orch,1,PRODUCES_CELCprodORCH
C0016192,C0034314,PRODUCES,Flagella,Pyrones,celc,orch,1,PRODUCES_CELCprodORCH
C0026029,C2361999,PRODUCES,Microsomes,carboxymefloquine,celc,orch,1,PRODUCES_CELCprodORCH
C0026237,C0007188,PRODUCES,Mitochondria,Cardiolipins,celc,orch,1,PRODUCES_CELCprodORCH
C0026237,C0023779,PRODUCES,Mitochondria,Lipids,celc,orch,1,PRODUCES_CELCprodORCH
C0026237,C0056906,PRODUCES,Mitochondria,cytidine monophosphate-N-glycoloylneuraminic acid,celc,orch,1,PRODUCES_CELCprodORCH
C0042219,C0063522,PRODUCES,Vacuole,indoxyl,celc,orch,1,PRODUCES_CELCprodORCH
C0042760,C0023779,PRODUCES,Virion,Lipids,celc,orch,1,PRODUCES_CELCprodORCH
C0206524,C2717891,PRODUCES,Plastids,Biofuels,celc,orch,2,PRODUCES_CELCprodORCH
C0230789,C0023779,PRODUCES,Smooth Endoplasmic Reticulum,Lipids,celc,orch,1,PRODUCES_CELCprodORCH
C0230839,C0023828,PRODUCES,"Mitochondrial Membrane, Outer",Liposomes,celc,orch,1,PRODUCES_CELCprodORCH
C0243092,C0017718,PRODUCES,Cellular Structures,Glucosamine,celc,orch,1,PRODUCES_CELCprodORCH
C0521119,C0089701,PRODUCES,Extracellular,1-oleoyl-2-stearoylphosphatidylcholine,celc,orch,1,PRODUCES_CELCprodORCH
C0596901,C0031716,PRODUCES,Membrane,Phosphorylcholine,celc,orch,1,PRODUCES_CELCprodORCH
C0596901,C0070799,PRODUCES,Membrane,phosphatidylinositol 4-phosphate,celc,orch,1,PRODUCES_CELCprodORCH
C0596901,C0596260,PRODUCES,Membrane,Carboxyl Group,celc,orch,1,PRODUCES_CELCprodORCH
C0699040,C0012403,PRODUCES,Cell surface,Dimethyl Sulfoxide,celc,orch,1,PRODUCES_CELCprodORCH
C0752063,C0028908,PRODUCES,peroxisome,Oils,celc,orch,1,PRODUCES_CELCprodORCH
C1166607,C0007004,PRODUCES,cellular_component,Carbohydrates,celc,orch,1,PRODUCES_CELCprodORCH
C1166607,C0023779,PRODUCES,cellular_component,Lipids,celc,orch,1,PRODUCES_CELCprodORCH
C1166803,C0070797,PRODUCES,phosphatidylinositol 3-kinase complex,phosphatidylinositol 3-phosphate,celc,orch,1,PRODUCES_CELCprodORCH
C1167353,C0086140,PRODUCES,slime layer,Dextran,celc,orch,1,PRODUCES_CELCprodORCH
C1179126,C0023779,PRODUCES,Lipid vacuole,Lipids,celc,orch,1,PRODUCES_CELCprodORCH
C1276877,C0032594,PRODUCES,Specialized cell structure,Polysaccharides,celc,orch,1,PRODUCES_CELCprodORCH
C1325635,C0031701,PRODUCES,MHC class I peptide loading complex,Phosphoric Acid Esters,celc,orch,1,PRODUCES_CELCprodORCH
C1819995,C0007004,PRODUCES,Host Cell,Carbohydrates,celc,orch,1,PRODUCES_CELCprodORCH
C1819995,C0023779,PRODUCES,Host Cell,Lipids,celc,orch,1,PRODUCES_CELCprodORCH
C1819995,C0032594,PRODUCES,Host Cell,Polysaccharides,celc,orch,3,PRODUCES_CELCprodORCH
C1819995,C0242209,PRODUCES,Host Cell,Sugars,celc,orch,1,PRODUCES_CELCprodORCH
C2247661,C0071649,PRODUCES,type II polyketide synthase complex,polyphenols,celc,orch,1,PRODUCES_CELCprodORCH
C2247661,C3179052,PRODUCES,type II polyketide synthase complex,Polyketides,celc,orch,1,PRODUCES_CELCprodORCH
C2350332,C0011816,PRODUCES,Exosomes,Dextromethorphan,celc,orch,1,PRODUCES_CELCprodORCH
C2350332,C0023779,PRODUCES,Exosomes,Lipids,celc,orch,1,PRODUCES_CELCprodORCH
C2612461,C0023779,PRODUCES,high-density lipoprotein particle,Lipids,celc,orch,1,PRODUCES_CELCprodORCH
C2752549,C0205812,PRODUCES,cell body,Kainate,celc,orch,1,PRODUCES_CELCprodORCH
C2754991,C0022924,PRODUCES,dimeric IgA1 antibody,Lactates,celc,orch,1,PRODUCES_CELCprodORCH
C2755952,C0062637,PRODUCES,Prp19 complex,Hexamethonium,celc,orch,1,PRODUCES_CELCprodORCH
C3887595,C0015688,PRODUCES,Autophagosome,Nonesterified Fatty Acids,celc,orch,1,PRODUCES_CELCprodORCH
