cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001280,C0002716,PRODUCES,Armed macrophage,Amyloid,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0003241,PRODUCES,Armed macrophage,Antibodies,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0003762,PRODUCES,Armed macrophage,ARGINASE,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0004358,PRODUCES,Armed macrophage,Autoantibodies,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0021747,PRODUCES,Armed macrophage,Interferons,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0021753,PRODUCES,Armed macrophage,Interleukin-1 beta,cell,aapp,3,PRODUCES_CELLprodAAPP
C0001280,C0021755,PRODUCES,Armed macrophage,Interleukin-1,cell,aapp,7,PRODUCES_CELLprodAAPP
C0001280,C0021756,PRODUCES,Armed macrophage,Interleukin-2,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0021757,PRODUCES,Armed macrophage,Interleukin-3,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0021758,PRODUCES,Armed macrophage,Interleukin-4,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0021760,PRODUCES,Armed macrophage,Interleukin-6,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0024297,PRODUCES,Armed macrophage,Lymphokines,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0025252,PRODUCES,Armed macrophage,Membrane Proteins,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0027754,PRODUCES,Armed macrophage,Nerve Growth Factors,cell,aapp,2,PRODUCES_CELLprodAAPP
C0001280,C0030940,PRODUCES,Armed macrophage,Peptide Hydrolases,cell,aapp,4,PRODUCES_CELLprodAAPP
C0001280,C0032200,PRODUCES,Armed macrophage,Platelet-Derived Growth Factor,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0040691,PRODUCES,Armed macrophage,Transforming Growth Factors,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0041368,PRODUCES,Armed macrophage,Tumor Necrosis Factors,cell,aapp,4,PRODUCES_CELLprodAAPP
C0001280,C0079189,PRODUCES,Armed macrophage,cytokine,cell,aapp,27,PRODUCES_CELLprodAAPP
C0001280,C0079460,PRODUCES,Armed macrophage,Granulocyte-Macrophage Colony-Stimulating Factor,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0079633,PRODUCES,Armed macrophage,Interleukin-8,cell,aapp,2,PRODUCES_CELLprodAAPP
C0001280,C0085295,PRODUCES,Armed macrophage,Interleukin-10,cell,aapp,3,PRODUCES_CELLprodAAPP
C0001280,C0100748,PRODUCES,Armed macrophage,activin A,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0123759,PRODUCES,Armed macrophage,Interleukin-12,cell,aapp,5,PRODUCES_CELLprodAAPP
C0001280,C0214743,PRODUCES,Armed macrophage,Interleukin-13,cell,aapp,2,PRODUCES_CELLprodAAPP
C0001280,C0245109,PRODUCES,Armed macrophage,anakinra,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0250604,PRODUCES,Armed macrophage,Eotaxin,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0282554,PRODUCES,Armed macrophage,chemokine,cell,aapp,5,PRODUCES_CELLprodAAPP
C0001280,C0391845,PRODUCES,Armed macrophage,Lysosomal enzyme,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0623362,PRODUCES,Armed macrophage,Matrix Metalloproteinases,cell,aapp,4,PRODUCES_CELLprodAAPP
C0001280,C0669372,PRODUCES,Armed macrophage,"NOS2A protein, human",cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C0965245,PRODUCES,Armed macrophage,"CD274 protein, human",cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C1292267,PRODUCES,Armed macrophage,Procoagulant,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C1333908,PRODUCES,Armed macrophage,HMGB1 gene,cell,aapp,2,PRODUCES_CELLprodAAPP
C0001280,C1336763,PRODUCES,Armed macrophage,Toll-Like Receptor Family Gene,cell,aapp,2,PRODUCES_CELLprodAAPP
C0001280,C1366524,PRODUCES,Armed macrophage,CCL20 gene,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C1413391,PRODUCES,Armed macrophage,CHIT1 gene,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C1413843,PRODUCES,Armed macrophage,CYBA gene,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C1417760,PRODUCES,Armed macrophage,NOS2 gene,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C1423842,PRODUCES,Armed macrophage,NELFCD gene,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C1448177,PRODUCES,Armed macrophage,"TNF protein, human",cell,aapp,5,PRODUCES_CELLprodAAPP
C0001280,C1449159,PRODUCES,Armed macrophage,"CCL2 protein, human",cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C1451210,PRODUCES,Armed macrophage,"FGL2 protein, human",cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C1530270,PRODUCES,Armed macrophage,"IRF1 protein, human",cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C2350701,PRODUCES,Armed macrophage,Macrophage Inflammatory Protein-1,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C2936529,PRODUCES,Armed macrophage,Inflammasomes,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C3538708,PRODUCES,Armed macrophage,GZMB wt Allele,cell,aapp,1,PRODUCES_CELLprodAAPP
C0001280,C3849701,PRODUCES,Armed macrophage,"interleukin 18 protein, human",cell,aapp,2,PRODUCES_CELLprodAAPP
C0001280,C3890018,PRODUCES,Armed macrophage,HSP90B2P wt Allele,cell,aapp,1,PRODUCES_CELLprodAAPP
C0003273,C0020861,PRODUCES,Antibody-Producing Cells,Immunoglobulin M,cell,aapp,1,PRODUCES_CELLprodAAPP
C0003273,C0071610,PRODUCES,Antibody-Producing Cells,polymeric IgA,cell,aapp,1,PRODUCES_CELLprodAAPP
C0003315,C0003241,PRODUCES,Antigen-Presenting Cells,Antibodies,cell,aapp,1,PRODUCES_CELLprodAAPP
