cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001280,C0016693,PRODUCES,Armed macrophage,Free Radicals,cell,bacs,1,PRODUCES_CELLprodBACS
C0001280,C0028128,PRODUCES,Armed macrophage,Nitric Oxide,cell,bacs,31,PRODUCES_CELLprodBACS
C0001280,C0068527,PRODUCES,Armed macrophage,Neopterin,cell,bacs,1,PRODUCES_CELLprodBACS
C0001280,C0211726,PRODUCES,Armed macrophage,anandamide,cell,bacs,1,PRODUCES_CELLprodBACS
C0001280,C0302583,PRODUCES,Armed macrophage,Iron,cell,bacs,1,PRODUCES_CELLprodBACS
C0001280,C0920643,PRODUCES,Armed macrophage,reactive oxygen intermediate,cell,bacs,1,PRODUCES_CELLprodBACS
C0001280,C1172779,PRODUCES,Armed macrophage,Endocannabinoids,cell,bacs,1,PRODUCES_CELLprodBACS
C0003315,C0032136,PRODUCES,Antigen-Presenting Cells,Plasmids,cell,bacs,1,PRODUCES_CELLprodBACS
C0004112,C0008377,PRODUCES,Astrocytes,Cholesterol,cell,bacs,1,PRODUCES_CELLprodBACS
C0004112,C0016693,PRODUCES,Astrocytes,Free Radicals,cell,bacs,1,PRODUCES_CELLprodBACS
C0004112,C0027908,PRODUCES,Astrocytes,Neurotransmitters,cell,bacs,1,PRODUCES_CELLprodBACS
C0004112,C0028158,PRODUCES,Astrocytes,Nitrogen,cell,bacs,1,PRODUCES_CELLprodBACS
C0004112,C0030054,PRODUCES,Astrocytes,Oxygen,cell,bacs,1,PRODUCES_CELLprodBACS
C0004112,C0035693,PRODUCES,Astrocytes,"RNA, Double-Stranded",cell,bacs,1,PRODUCES_CELLprodBACS
C0004112,C0162772,PRODUCES,Astrocytes,Reactive Oxygen Species,cell,bacs,1,PRODUCES_CELLprodBACS
C0004112,C1519315,PRODUCES,Astrocytes,Signaling Molecule,cell,bacs,1,PRODUCES_CELLprodBACS
C0004561,C0012854,PRODUCES,B-Lymphocytes,DNA,cell,bacs,1,PRODUCES_CELLprodBACS
C0004561,C0012929,PRODUCES,B-Lymphocytes,"DNA, Mitochondrial",cell,bacs,1,PRODUCES_CELLprodBACS
C0004561,C0242850,PRODUCES,B-Lymphocytes,Retroelements,cell,bacs,1,PRODUCES_CELLprodBACS
C0004827,C0019588,PRODUCES,Basophils,Histamine,cell,bacs,6,PRODUCES_CELLprodBACS
