cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004561,C2930586,PRODUCES,B-Lymphocytes,Short Hairpin RNA,cell,nnon,1,PRODUCES_CELLprodNNON
C0004561,C3272453,PRODUCES,B-Lymphocytes,Genomic DNA,cell,nnon,1,PRODUCES_CELLprodNNON
C0007600,C0006556,PRODUCES,Cultured Cell Line,"DNA, Complementary",cell,nnon,1,PRODUCES_CELLprodNNON
C0007600,C1519595,PRODUCES,Cultured Cell Line,Transcript,cell,nnon,2,PRODUCES_CELLprodNNON
C0007600,C2930586,PRODUCES,Cultured Cell Line,Short Hairpin RNA,cell,nnon,3,PRODUCES_CELLprodNNON
C0009013,C0006556,PRODUCES,Clone Cells,"DNA, Complementary",cell,nnon,5,PRODUCES_CELLprodNNON
C0009013,C0032400,PRODUCES,Clone Cells,Poly A,cell,nnon,1,PRODUCES_CELLprodNNON
C0009013,C0206415,PRODUCES,Clone Cells,Oligonucleotide Primers,cell,nnon,1,PRODUCES_CELLprodNNON
C0009013,C0599566,PRODUCES,Clone Cells,expression vector,cell,nnon,2,PRODUCES_CELLprodNNON
C0009013,C0600680,PRODUCES,Clone Cells,Untranslated Regions,cell,nnon,1,PRODUCES_CELLprodNNON
C0009013,C1514926,PRODUCES,Clone Cells,retroviral vector,cell,nnon,1,PRODUCES_CELLprodNNON
C0009013,C1519595,PRODUCES,Clone Cells,Transcript,cell,nnon,3,PRODUCES_CELLprodNNON
C0009013,C2930586,PRODUCES,Clone Cells,Short Hairpin RNA,cell,nnon,3,PRODUCES_CELLprodNNON
C0014597,C0035736,PRODUCES,Epithelial Cells,"RNA, Viral",cell,nnon,1,PRODUCES_CELLprodNNON
C0015161,C1519595,PRODUCES,Eukaryotic Cells,Transcript,cell,nnon,2,PRODUCES_CELLprodNNON
C0018873,C0035736,PRODUCES,HeLa Cells,"RNA, Viral",cell,nnon,1,PRODUCES_CELLprodNNON
C0018873,C2930586,PRODUCES,HeLa Cells,Short Hairpin RNA,cell,nnon,2,PRODUCES_CELLprodNNON
C0022688,C1519595,PRODUCES,Natural Killer Cells,Transcript,cell,nnon,2,PRODUCES_CELLprodNNON
C0024264,C1519595,PRODUCES,Lymphocyte,Transcript,cell,nnon,1,PRODUCES_CELLprodNNON
C0024264,C2982391,PRODUCES,Lymphocyte,Long Intergenic Non-Protein Coding RNA,cell,nnon,1,PRODUCES_CELLprodNNON
C0024432,C0006556,PRODUCES,macrophage,"DNA, Complementary",cell,nnon,1,PRODUCES_CELLprodNNON
C0026473,C1519595,PRODUCES,Monocytes,Transcript,cell,nnon,3,PRODUCES_CELLprodNNON
C0027836,C1519595,PRODUCES,Neuroglia,Transcript,cell,nnon,1,PRODUCES_CELLprodNNON
C0027882,C0028630,PRODUCES,Neurons,Nucleotides,cell,nnon,1,PRODUCES_CELLprodNNON
C0027950,C1519595,PRODUCES,neutrophil,Transcript,cell,nnon,2,PRODUCES_CELLprodNNON
C0028944,C0035736,PRODUCES,Oligodendroglia,"RNA, Viral",cell,nnon,1,PRODUCES_CELLprodNNON
C0028944,C1519595,PRODUCES,Oligodendroglia,Transcript,cell,nnon,1,PRODUCES_CELLprodNNON
C0039194,C2930586,PRODUCES,T-Lymphocyte,Short Hairpin RNA,cell,nnon,2,PRODUCES_CELLprodNNON
C0039215,C1519595,PRODUCES,CD4 Positive T Lymphocytes,Transcript,cell,nnon,1,PRODUCES_CELLprodNNON
C0042542,C2930586,PRODUCES,Vero Cells,Short Hairpin RNA,cell,nnon,1,PRODUCES_CELLprodNNON
C0206116,C1519595,PRODUCES,Microglia,Transcript,cell,nnon,2,PRODUCES_CELLprodNNON
C0221284,C0035736,PRODUCES,Leptocyte,"RNA, Viral",cell,nnon,1,PRODUCES_CELLprodNNON
C0221284,C1567954,PRODUCES,Leptocyte,RNA Aptamers,cell,nnon,1,PRODUCES_CELLprodNNON
C0225336,C0028630,PRODUCES,Endothelial Cells,Nucleotides,cell,nnon,1,PRODUCES_CELLprodNNON
C0227525,C0035736,PRODUCES,Hepatocyte,"RNA, Viral",cell,nnon,1,PRODUCES_CELLprodNNON
C0227525,C2930586,PRODUCES,Hepatocyte,Short Hairpin RNA,cell,nnon,1,PRODUCES_CELLprodNNON
C0242598,C0006556,PRODUCES,LLC-PK1 Cells,"DNA, Complementary",cell,nnon,1,PRODUCES_CELLprodNNON
C0242598,C2930586,PRODUCES,LLC-PK1 Cells,Short Hairpin RNA,cell,nnon,1,PRODUCES_CELLprodNNON
C0242629,C1519595,PRODUCES,CD8-Positive T-Lymphocytes,Transcript,cell,nnon,1,PRODUCES_CELLprodNNON
C0242629,C2982391,PRODUCES,CD8-Positive T-Lymphocytes,Long Intergenic Non-Protein Coding RNA,cell,nnon,1,PRODUCES_CELLprodNNON
C0242697,C1519595,PRODUCES,Muscle Fibers,Transcript,cell,nnon,1,PRODUCES_CELLprodNNON
C0282560,C0050178,PRODUCES,Caco-2 Cells,buciclovir,cell,nnon,1,PRODUCES_CELLprodNNON
C0440752,C1519595,PRODUCES,Inflammatory cell,Transcript,cell,nnon,1,PRODUCES_CELLprodNNON
C0596508,C2930586,PRODUCES,Embryonic Stem Cells,Short Hairpin RNA,cell,nnon,1,PRODUCES_CELLprodNNON
C0598089,C2930586,PRODUCES,established cell line,Short Hairpin RNA,cell,nnon,1,PRODUCES_CELLprodNNON
C0598091,C2930586,PRODUCES,stable cell line,Short Hairpin RNA,cell,nnon,3,PRODUCES_CELLprodNNON
C0598800,C1519595,PRODUCES,Pericytes,Transcript,cell,nnon,1,PRODUCES_CELLprodNNON
C0600432,C2930586,PRODUCES,K562 Cells,Short Hairpin RNA,cell,nnon,2,PRODUCES_CELLprodNNON
C0600531,C2930586,PRODUCES,U937 Cells,Short Hairpin RNA,cell,nnon,1,PRODUCES_CELLprodNNON
C0814995,C2930586,PRODUCES,Skin cell,Short Hairpin RNA,cell,nnon,2,PRODUCES_CELLprodNNON
C0945933,C0023978,PRODUCES,CD45+ cell,Long Terminal Repeat,cell,nnon,1,PRODUCES_CELLprodNNON
C1257857,C0006556,PRODUCES,COS-1 Cells,"DNA, Complementary",cell,nnon,1,PRODUCES_CELLprodNNON
C1257975,C0023978,PRODUCES,Mesenchymal Stem Cells,Long Terminal Repeat,cell,nnon,1,PRODUCES_CELLprodNNON
C1512977,C0006556,PRODUCES,Mammalian Cell,"DNA, Complementary",cell,nnon,1,PRODUCES_CELLprodNNON
C1512977,C2930586,PRODUCES,Mammalian Cell,Short Hairpin RNA,cell,nnon,1,PRODUCES_CELLprodNNON
C1516469,C2930586,PRODUCES,Chicken Cells,Short Hairpin RNA,cell,nnon,1,PRODUCES_CELLprodNNON
C1519477,C0032414,PRODUCES,Splenocyte,Poly I-C,cell,nnon,2,PRODUCES_CELLprodNNON
C1522173,C0035736,PRODUCES,CNS - Brain - Astrocyte (MMHCC),"RNA, Viral",cell,nnon,1,PRODUCES_CELLprodNNON
C1883178,C0071360,PRODUCES,Subclone,"5'-Inosinic acid, 2'-deoxy-2'-fluoro-, homopolymer",cell,nnon,1,PRODUCES_CELLprodNNON
C1883178,C0599566,PRODUCES,Subclone,expression vector,cell,nnon,1,PRODUCES_CELLprodNNON
C1883178,C0600680,PRODUCES,Subclone,Untranslated Regions,cell,nnon,1,PRODUCES_CELLprodNNON
C1883178,C1510800,PRODUCES,Subclone,Adenoviral Vector,cell,nnon,1,PRODUCES_CELLprodNNON
