cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0012860,C0087071,PRODUCES,DNA Damage,Telomerase,comd,aapp,1,PRODUCES_COMDprodAAPP
C0025568,C0026682,PRODUCES,Metaplasia,Mucins,comd,aapp,1,PRODUCES_COMDprodAAPP
C0032578,C0443640,PRODUCES,Polyploidy,Specific antibody,comd,aapp,1,PRODUCES_COMDprodAAPP
C0040715,C0021027,PRODUCES,Chromosomal translocation,Immunoglobulins,comd,aapp,1,PRODUCES_COMDprodAAPP
C0040715,C0031727,PRODUCES,Chromosomal translocation,Phosphotransferases,comd,aapp,1,PRODUCES_COMDprodAAPP
C0162735,C0030841,PRODUCES,Point Mutation,Penicillinase,comd,aapp,1,PRODUCES_COMDprodAAPP
C0162735,C0030946,PRODUCES,Point Mutation,Endopeptidases,comd,aapp,1,PRODUCES_COMDprodAAPP
C0242606,C0007578,PRODUCES,Oxidative Stress,Cell Adhesion Molecules,comd,aapp,1,PRODUCES_COMDprodAAPP
C0242606,C0017817,PRODUCES,Oxidative Stress,Glutathione,comd,aapp,2,PRODUCES_COMDprodAAPP
C0242606,C0018284,PRODUCES,Oxidative Stress,Growth Factor,comd,aapp,2,PRODUCES_COMDprodAAPP
C0242606,C0021755,PRODUCES,Oxidative Stress,Interleukin-1,comd,aapp,1,PRODUCES_COMDprodAAPP
C0242606,C0024188,PRODUCES,Oxidative Stress,Lyase,comd,aapp,2,PRODUCES_COMDprodAAPP
C0242606,C0040676,PRODUCES,Oxidative Stress,Transferase,comd,aapp,1,PRODUCES_COMDprodAAPP
C0242606,C0079189,PRODUCES,Oxidative Stress,cytokine,comd,aapp,1,PRODUCES_COMDprodAAPP
C0242606,C0282554,PRODUCES,Oxidative Stress,chemokine,comd,aapp,1,PRODUCES_COMDprodAAPP
C0242606,C2744579,PRODUCES,Oxidative Stress,"ATP8A2 protein, human",comd,aapp,1,PRODUCES_COMDprodAAPP
C0282632,C0003241,PRODUCES,Antibody-Dependent Enhancement,Antibodies,comd,aapp,2,PRODUCES_COMDprodAAPP
C0302101,C0004358,PRODUCES,Lymphocyte destruction,Autoantibodies,comd,aapp,1,PRODUCES_COMDprodAAPP
C0541642,C0178827,PRODUCES,Membrane Alteration,replicase,comd,aapp,1,PRODUCES_COMDprodAAPP
C0544885,C0079259,PRODUCES,Nonsense mutation,Dystrophin,comd,aapp,1,PRODUCES_COMDprodAAPP
C0544885,C0700271,PRODUCES,Nonsense mutation,"M Protein, multiple myeloma",comd,aapp,2,PRODUCES_COMDprodAAPP
C0544886,C0003250,PRODUCES,Somatic mutation,Monoclonal Antibodies,comd,aapp,1,PRODUCES_COMDprodAAPP
C0544886,C0004358,PRODUCES,Somatic mutation,Autoantibodies,comd,aapp,1,PRODUCES_COMDprodAAPP
C0544886,C0041361,PRODUCES,Somatic mutation,Tumor Antigens,comd,aapp,1,PRODUCES_COMDprodAAPP
C0544886,C0162768,PRODUCES,Somatic mutation,Fusion protein,comd,aapp,1,PRODUCES_COMDprodAAPP
C0544886,C0475463,PRODUCES,Somatic mutation,"Antibodies, Neutralizing",comd,aapp,1,PRODUCES_COMDprodAAPP
C0544886,C2936529,PRODUCES,Somatic mutation,Inflammasomes,comd,aapp,1,PRODUCES_COMDprodAAPP
C0596402,C0017626,PRODUCES,cytotoxicity,Glial Fibrillary Acidic Protein,comd,aapp,1,PRODUCES_COMDprodAAPP
C0596402,C0021740,PRODUCES,cytotoxicity,Recombinant Interferon-gamma,comd,aapp,28,PRODUCES_COMDprodAAPP
C0596402,C0042736,PRODUCES,cytotoxicity,Viral Proteins,comd,aapp,1,PRODUCES_COMDprodAAPP
C0596402,C0061878,PRODUCES,cytotoxicity,granzyme B,comd,aapp,1,PRODUCES_COMDprodAAPP
C0596402,C0079189,PRODUCES,cytotoxicity,cytokine,comd,aapp,2,PRODUCES_COMDprodAAPP
C0596402,C0080055,PRODUCES,cytotoxicity,Protein p53,comd,aapp,1,PRODUCES_COMDprodAAPP
C0596402,C1136102,PRODUCES,cytotoxicity,Capsid Proteins,comd,aapp,1,PRODUCES_COMDprodAAPP
C0599732,C0597357,PRODUCES,cell injury,receptor,comd,aapp,1,PRODUCES_COMDprodAAPP
C0599732,C3891560,PRODUCES,cell injury,Alarmins,comd,aapp,2,PRODUCES_COMDprodAAPP
C0919532,C0003241,PRODUCES,Genomic Instability,Antibodies,comd,aapp,1,PRODUCES_COMDprodAAPP
C0920672,C4048280,PRODUCES,virus pathogenesis,"T-Cell Surface Glycoprotein CD4, human",comd,aapp,1,PRODUCES_COMDprodAAPP
C1515001,C0162768,PRODUCES,Chromosomal structural abnormalities,Fusion protein,comd,aapp,2,PRODUCES_COMDprodAAPP
C1515263,C0079189,PRODUCES,Telomere Shortening,cytokine,comd,aapp,1,PRODUCES_COMDprodAAPP
C1860127,C0021756,PRODUCES,Impaired T cell function,Interleukin-2,comd,aapp,1,PRODUCES_COMDprodAAPP
C2985437,C0056889,PRODUCES,Null Allele,Cystic Fibrosis Transmembrane Conductance Regulator,comd,aapp,1,PRODUCES_COMDprodAAPP
C3178870,C0025248,PRODUCES,Endoplasmic Reticulum Stress,Membrane Glycoproteins,comd,aapp,1,PRODUCES_COMDprodAAPP
