cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004048,C0015733,PRODUCES,Inspiration function,Feces,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C0004048,C0444159,PRODUCES,Inspiration function,Sputum specimen,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C0004048,C1532372,PRODUCES,Inspiration function,Respiratory secretion,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C0005615,C0005889,PRODUCES,Birth,Body Fluids,orgf,bdsu,2,PRODUCES_ORGFprodBDSU
C0005615,C0006279,PRODUCES,Birth,Bronchoalveolar Lavage Fluid,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C0005615,C0009413,PRODUCES,Birth,Colostrum,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C0005615,C0042036,PRODUCES,Birth,Urine,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C0005615,C0229671,PRODUCES,Birth,Serum,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C0006147,C0009413,PRODUCES,Breast Feeding,Colostrum,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C0006159,C0009413,PRODUCES,Breeding,Colostrum,orgf,bdsu,2,PRODUCES_ORGFprodBDSU
C0008810,C0026727,PRODUCES,Circadian Rhythms,Mucous body substance,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C0009253,C0005889,PRODUCES,Coitus,Body Fluids,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C0009637,C0005767,PRODUCES,Conception,Blood,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C0009637,C0015733,PRODUCES,Conception,Feces,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C0009637,C0178913,PRODUCES,Conception,Blood specimen,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C0012238,C0026727,PRODUCES,Digestion,Mucous body substance,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C0012238,C1550101,PRODUCES,Digestion,Supernatant,orgf,bdsu,2,PRODUCES_ORGFprodBDSU
C0013123,C0015733,PRODUCES,Water consumption,Feces,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C0032961,C0032105,PRODUCES,Pregnancy,Plasma,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C0598016,C0015733,PRODUCES,hatching,Feces,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C1510470,C0015733,PRODUCES,Motility,Feces,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
C1516559,C0032105,PRODUCES,Circulatory Process,Plasma,orgf,bdsu,1,PRODUCES_ORGFprodBDSU
