cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001617,C0034085,STIMULATES,Adrenal Cortex Hormones,Pulmonary Surfactants,horm,bacs,1,STIMULATES_HORMstimBACS
C0002006,C0037473,STIMULATES,Aldosterone,Sodium,horm,bacs,3,STIMULATES_HORMstimBACS
C0002844,C0031516,STIMULATES,Androgens,Pheromone,horm,bacs,1,STIMULATES_HORMstimBACS
C0010124,C0035696,STIMULATES,Corticosterone,"RNA, Messenger",horm,bacs,1,STIMULATES_HORMstimBACS
C0012472,C0023546,STIMULATES,Dinoprostone,Leukotriene B4,horm,bacs,1,STIMULATES_HORMstimBACS
C0012472,C0086860,STIMULATES,Dinoprostone,promoter,horm,bacs,2,STIMULATES_HORMstimBACS
C0014563,C0017725,STIMULATES,Epinephrine,Glucose,horm,bacs,1,STIMULATES_HORMstimBACS
C0014939,C0028128,STIMULATES,Estrogens,Nitric Oxide,horm,bacs,1,STIMULATES_HORMstimBACS
C0014939,C0034085,STIMULATES,Estrogens,Pulmonary Surfactants,horm,bacs,1,STIMULATES_HORMstimBACS
C0014939,C0086860,STIMULATES,Estrogens,promoter,horm,bacs,2,STIMULATES_HORMstimBACS
C0017710,C0006675,STIMULATES,Glucocorticoids,Calcium,horm,bacs,1,STIMULATES_HORMstimBACS
C0017710,C0007745,STIMULATES,Glucocorticoids,Ceramides,horm,bacs,1,STIMULATES_HORMstimBACS
C0017710,C0037473,STIMULATES,Glucocorticoids,Sodium,horm,bacs,1,STIMULATES_HORMstimBACS
C0020268,C0007412,STIMULATES,Hydrocortisone,Catecholamines,horm,bacs,4,STIMULATES_HORMstimBACS
C0020268,C0035696,STIMULATES,Hydrocortisone,"RNA, Messenger",horm,bacs,1,STIMULATES_HORMstimBACS
C0020268,C0037473,STIMULATES,Hydrocortisone,Sodium,horm,bacs,1,STIMULATES_HORMstimBACS
C0025219,C0024643,STIMULATES,Melatonin,Malondialdehyde,horm,bacs,1,STIMULATES_HORMstimBACS
C0025219,C0072879,STIMULATES,Melatonin,Quinolinic Acid,horm,bacs,1,STIMULATES_HORMstimBACS
C0025815,C0030054,STIMULATES,Methylprednisolone,Oxygen,horm,bacs,1,STIMULATES_HORMstimBACS
C0032952,C0034987,STIMULATES,Prednisone,"Regulatory Sequences, Nucleic Acid",horm,bacs,1,STIMULATES_HORMstimBACS
C0033554,C0019588,STIMULATES,Prostaglandins,Histamine,horm,bacs,1,STIMULATES_HORMstimBACS
C0033554,C0028128,STIMULATES,Prostaglandins,Nitric Oxide,horm,bacs,1,STIMULATES_HORMstimBACS
C0033554,C0036751,STIMULATES,Prostaglandins,Serotonin,horm,bacs,1,STIMULATES_HORMstimBACS
C0040135,C0034085,STIMULATES,Thyroid Hormones,Pulmonary Surfactants,horm,bacs,1,STIMULATES_HORMstimBACS
C0772289,C0001407,STIMULATES,"corticotropin-releasing factor, human",Adenine,horm,bacs,1,STIMULATES_HORMstimBACS
