cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0002092,STIMULATES,Immunologic Adjuvants,Allergens,imft,imft,1,STIMULATES_IMFTstimIMFT
C0001551,C0003320,STIMULATES,Immunologic Adjuvants,Antigens,imft,imft,3,STIMULATES_IMFTstimIMFT
C0001551,C0021403,STIMULATES,Immunologic Adjuvants,Influenza virus vaccine,imft,imft,1,STIMULATES_IMFTstimIMFT
C0001551,C0022144,STIMULATES,Immunologic Adjuvants,Isoantibodies,imft,imft,1,STIMULATES_IMFTstimIMFT
C0001551,C0042210,STIMULATES,Immunologic Adjuvants,Vaccines,imft,imft,23,STIMULATES_IMFTstimIMFT
C0001551,C0042211,STIMULATES,Immunologic Adjuvants,"Vaccines, Attenuated",imft,imft,1,STIMULATES_IMFTstimIMFT
C0001551,C0042212,STIMULATES,Immunologic Adjuvants,"Vaccines, Inactivated",imft,imft,2,STIMULATES_IMFTstimIMFT
C0001551,C0376613,STIMULATES,Immunologic Adjuvants,"Vaccines, DNA",imft,imft,1,STIMULATES_IMFTstimIMFT
C0001551,C0887892,STIMULATES,Immunologic Adjuvants,"Vaccines, Subunit",imft,imft,1,STIMULATES_IMFTstimIMFT
C0001551,C1519887,STIMULATES,Immunologic Adjuvants,Vaccine Antigen,imft,imft,1,STIMULATES_IMFTstimIMFT
C0001551,C2825347,STIMULATES,Immunologic Adjuvants,"Immunoglobulin A, Human",imft,imft,1,STIMULATES_IMFTstimIMFT
C0002131,C0022144,STIMULATES,Alloantigens,Isoantibodies,imft,imft,2,STIMULATES_IMFTstimIMFT
C0003316,C0003320,STIMULATES,Epitopes,Antigens,imft,imft,3,STIMULATES_IMFTstimIMFT
C0003316,C0042210,STIMULATES,Epitopes,Vaccines,imft,imft,13,STIMULATES_IMFTstimIMFT
C0003316,C0042212,STIMULATES,Epitopes,"Vaccines, Inactivated",imft,imft,1,STIMULATES_IMFTstimIMFT
C0003316,C0042742,STIMULATES,Epitopes,Viral Vaccines,imft,imft,1,STIMULATES_IMFTstimIMFT
C0003316,C0079600,STIMULATES,Epitopes,Immunodominant Epitopes,imft,imft,2,STIMULATES_IMFTstimIMFT
C0003316,C0282581,STIMULATES,Epitopes,"Epitopes, B-Lymphocyte",imft,imft,1,STIMULATES_IMFTstimIMFT
C0003316,C0282681,STIMULATES,Epitopes,Enhancing Antibodies,imft,imft,2,STIMULATES_IMFTstimIMFT
C0003316,C0376613,STIMULATES,Epitopes,"Vaccines, DNA",imft,imft,1,STIMULATES_IMFTstimIMFT
C0003316,C0599934,STIMULATES,Epitopes,"Vaccines, Peptide",imft,imft,1,STIMULATES_IMFTstimIMFT
C0003316,C1291777,STIMULATES,Epitopes,Protein antigen,imft,imft,1,STIMULATES_IMFTstimIMFT
C0003316,C2986386,STIMULATES,Epitopes,Virus-neutralizing Antibody,imft,imft,9,STIMULATES_IMFTstimIMFT
C0003320,C0003316,STIMULATES,Antigens,Epitopes,imft,imft,2,STIMULATES_IMFTstimIMFT
C0003320,C0004359,STIMULATES,Antigens,Autoantigens,imft,imft,1,STIMULATES_IMFTstimIMFT
C0003320,C0042210,STIMULATES,Antigens,Vaccines,imft,imft,8,STIMULATES_IMFTstimIMFT
C0003320,C0042211,STIMULATES,Antigens,"Vaccines, Attenuated",imft,imft,1,STIMULATES_IMFTstimIMFT
C0003320,C0074480,STIMULATES,Antigens,sialosyl-Tn antigen,imft,imft,1,STIMULATES_IMFTstimIMFT
C0003320,C0103647,STIMULATES,Antigens,Antineutrophil Cytoplasmic Antibodies,imft,imft,1,STIMULATES_IMFTstimIMFT
C0003320,C0376613,STIMULATES,Antigens,"Vaccines, DNA",imft,imft,3,STIMULATES_IMFTstimIMFT
C0003320,C0456981,STIMULATES,Antigens,Specific antigen,imft,imft,1,STIMULATES_IMFTstimIMFT
C0003320,C1519887,STIMULATES,Antigens,Vaccine Antigen,imft,imft,1,STIMULATES_IMFTstimIMFT
C0003320,C2825347,STIMULATES,Antigens,"Immunoglobulin A, Human",imft,imft,9,STIMULATES_IMFTstimIMFT
C0003320,C2986386,STIMULATES,Antigens,Virus-neutralizing Antibody,imft,imft,2,STIMULATES_IMFTstimIMFT
C0003331,C0003320,STIMULATES,"Antigens, Helminth",Antigens,imft,imft,1,STIMULATES_IMFTstimIMFT
