cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0007004,STIMULATES,Immunologic Adjuvants,Carbohydrates,imft,orch,1,STIMULATES_IMFTstimORCH
C0001551,C0023779,STIMULATES,Immunologic Adjuvants,Lipids,imft,orch,1,STIMULATES_IMFTstimORCH
C0001551,C0520481,STIMULATES,Immunologic Adjuvants,Saponin,imft,orch,1,STIMULATES_IMFTstimORCH
C0001551,C2926735,STIMULATES,Immunologic Adjuvants,Duration,imft,orch,1,STIMULATES_IMFTstimORCH
C0003316,C0376637,STIMULATES,Epitopes,Indinavir,imft,orch,1,STIMULATES_IMFTstimORCH
C0003320,C0001002,STIMULATES,Antigens,Acetone,imft,orch,1,STIMULATES_IMFTstimORCH
C0003320,C0007004,STIMULATES,Antigens,Carbohydrates,imft,orch,1,STIMULATES_IMFTstimORCH
C0003320,C0023810,STIMULATES,Antigens,Lipopolysaccharides,imft,orch,1,STIMULATES_IMFTstimORCH
C0003320,C0031412,STIMULATES,Antigens,Phenobarbital,imft,orch,1,STIMULATES_IMFTstimORCH
C0003320,C0075019,STIMULATES,Antigens,spiromustine,imft,orch,1,STIMULATES_IMFTstimORCH
C0003320,C0207800,STIMULATES,Antigens,monorden,imft,orch,1,STIMULATES_IMFTstimORCH
C0003320,C0309049,STIMULATES,Antigens,favor,imft,orch,1,STIMULATES_IMFTstimORCH
C0003320,C2728259,STIMULATES,Antigens,Program,imft,orch,1,STIMULATES_IMFTstimORCH
C0003321,C0127400,STIMULATES,"Antigens, Bacterial",Mediator brand of benfluorex hydrochloride,imft,orch,1,STIMULATES_IMFTstimORCH
C0021081,C0038317,STIMULATES,Immunosuppressive Agents,Steroids,imft,orch,1,STIMULATES_IMFTstimORCH
C0023767,C4050026,STIMULATES,Lipid A,Matrix,imft,orch,1,STIMULATES_IMFTstimORCH
C0042210,C0020336,STIMULATES,Vaccines,Hydroxychloroquine,imft,orch,1,STIMULATES_IMFTstimORCH
C0042210,C0162969,STIMULATES,Vaccines,Chitosan,imft,orch,1,STIMULATES_IMFTstimORCH
C0042210,C0206008,STIMULATES,Vaccines,2-Mercaptoethanesulfonic Acid,imft,orch,1,STIMULATES_IMFTstimORCH
C0042210,C0520481,STIMULATES,Vaccines,Saponin,imft,orch,1,STIMULATES_IMFTstimORCH
C0042210,C2926735,STIMULATES,Vaccines,Duration,imft,orch,4,STIMULATES_IMFTstimORCH
C0042212,C2926735,STIMULATES,"Vaccines, Inactivated",Duration,imft,orch,1,STIMULATES_IMFTstimORCH
C0042742,C2926735,STIMULATES,Viral Vaccines,Duration,imft,orch,1,STIMULATES_IMFTstimORCH
C0085355,C0023810,STIMULATES,Human Platelet Antigens,Lipopolysaccharides,imft,orch,6,STIMULATES_IMFTstimORCH
C0376613,C2930490,STIMULATES,"Vaccines, DNA",vadimezan,imft,orch,2,STIMULATES_IMFTstimORCH
C1441105,C0016377,STIMULATES,Prostate specific,Flurbiprofen,imft,orch,1,STIMULATES_IMFTstimORCH
C1699926,C0074992,STIMULATES,fingolimod,sphingosine 1-phosphate,imft,orch,1,STIMULATES_IMFTstimORCH
C1883036,C0022239,STIMULATES,Single-Chain Antibodies,Isopropyl Thiogalactoside,imft,orch,1,STIMULATES_IMFTstimORCH
C1883036,C3492131,STIMULATES,Single-Chain Antibodies,dimethylindole red,imft,orch,1,STIMULATES_IMFTstimORCH
