cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001367,C0040078,STIMULATES,Acyclovir,Thymidine Kinase,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0001506,C0071795,STIMULATES,Adenylyl Imidodiphosphate,2-5A-dependent ribonuclease,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0004475,C0020687,STIMULATES,Azacitidine,Hypoxanthine Phosphoribosyltransferase,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0006556,C0017278,STIMULATES,"DNA, Complementary","Gene Products, env",nnon,aapp,1,STIMULATES_NNONstimAAPP
C0006556,C0055633,STIMULATES,"DNA, Complementary",Chromogranin A,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0006556,C1334043,STIMULATES,"DNA, Complementary",Homologous Gene,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0012132,C1417836,STIMULATES,Zalcitabine,NR4A2 gene,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0012132,C1423842,STIMULATES,Zalcitabine,NELFCD gene,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0012476,C1823437,STIMULATES,Dinucleoside Phosphates,TMEM173 gene,nnon,aapp,2,STIMULATES_NNONstimAAPP
C0012931,C0015980,STIMULATES,Recombinant DNA,Interferon-beta,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0016360,C0001899,STIMULATES,Fluorouracil,Alanine Transaminase,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0016360,C0529196,STIMULATES,Fluorouracil,ADAM17 Protein,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0016360,C1567665,STIMULATES,Fluorouracil,"ITK protein, human",nnon,aapp,1,STIMULATES_NNONstimAAPP
C0016360,C2678549,STIMULATES,Fluorouracil,P4HTM gene,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0018330,C0021747,STIMULATES,Guanosine,Interferons,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0018330,C0055633,STIMULATES,Guanosine,Chromogranin A,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0018330,C0305052,STIMULATES,Guanosine,Gamma globulin serum,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0020811,C0054757,STIMULATES,Idoxuridine,carboxypeptidase H,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0021528,C0597357,STIMULATES,Inosine,receptor,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0022230,C0021755,STIMULATES,Inosine Pranobex,Interleukin-1,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0022230,C0021756,STIMULATES,Inosine Pranobex,Interleukin-2,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0022230,C0079189,STIMULATES,Inosine Pranobex,cytokine,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0032414,C0002199,STIMULATES,Poly I-C,Interferon-alpha,nnon,aapp,4,STIMULATES_NNONstimAAPP
C0032414,C0003241,STIMULATES,Poly I-C,Antibodies,nnon,aapp,1,STIMULATES_NNONstimAAPP
C0032414,C0010590,STIMULATES,Poly I-C,Cycloserine,nnon,aapp,4,STIMULATES_NNONstimAAPP
C0032414,C0015980,STIMULATES,Poly I-C,Interferon-beta,nnon,aapp,10,STIMULATES_NNONstimAAPP
C0032414,C0021743,STIMULATES,Poly I-C,Interferon Type I,nnon,aapp,4,STIMULATES_NNONstimAAPP
