cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004793,C0079189,STIMULATES,Base Sequence,cytokine,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0004793,C0305052,STIMULATES,Base Sequence,Gamma globulin serum,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0009221,C0582263,STIMULATES,Codon (nucleotide sequence),Structural protein,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0009221,C1414605,STIMULATES,Codon (nucleotide sequence),FGF23 gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0009802,C0475463,STIMULATES,Conserved Sequence,"Antibodies, Neutralizing",nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0012872,C1332838,STIMULATES,"Markers, DNA",Candidate Disease Gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0079160,C0016925,STIMULATES,Consensus Sequence,"Fusion Proteins, gag-pol",nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0079160,C0162768,STIMULATES,Consensus Sequence,Fusion protein,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0079160,C1530281,STIMULATES,Consensus Sequence,"IRF7 protein, human",nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0080089,C1416832,STIMULATES,Reading Frames (Nucleotide Sequence),LGALS4 gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0080089,C1539216,STIMULATES,Reading Frames (Nucleotide Sequence),CYTL1 gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0080089,C1969058,STIMULATES,Reading Frames (Nucleotide Sequence),FBLN7 gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0086908,C1310463,STIMULATES,Repetitive Region,"IFIH1 protein, human",nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0086908,C1310468,STIMULATES,Repetitive Region,"DDX58 protein, human",nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C0003241,STIMULATES,DNA Sequence,Antibodies,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C0009498,STIMULATES,DNA Sequence,Complement System Proteins,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C0010590,STIMULATES,DNA Sequence,Cycloserine,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C0021747,STIMULATES,DNA Sequence,Interferons,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C0022959,STIMULATES,DNA Sequence,LacZ Genes,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C0024075,STIMULATES,DNA Sequence,Luciferases,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C0030946,STIMULATES,DNA Sequence,Endopeptidases,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C0054757,STIMULATES,DNA Sequence,carboxypeptidase H,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C0055633,STIMULATES,DNA Sequence,Chromogranin A,nusq,aapp,2,STIMULATES_NUSQstimAAPP
C0162326,C0079429,STIMULATES,DNA Sequence,"Genes, vif",nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C0282641,STIMULATES,DNA Sequence,Transgenes,nusq,aapp,3,STIMULATES_NUSQstimAAPP
C0162326,C0305052,STIMULATES,DNA Sequence,Gamma globulin serum,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C0475463,STIMULATES,DNA Sequence,"Antibodies, Neutralizing",nusq,aapp,2,STIMULATES_NUSQstimAAPP
C0162326,C0597094,STIMULATES,DNA Sequence,nuclease,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C0700271,STIMULATES,DNA Sequence,"M Protein, multiple myeloma",nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C0812234,STIMULATES,DNA Sequence,RHOA gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1310468,STIMULATES,DNA Sequence,"DDX58 protein, human",nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1334085,STIMULATES,DNA Sequence,IFNG gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1334139,STIMULATES,DNA Sequence,IRF3 gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1335884,STIMULATES,DNA Sequence,SWI1,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1413299,STIMULATES,DNA Sequence,CDSN gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1414691,STIMULATES,DNA Sequence,FPR2 gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1415375,STIMULATES,DNA Sequence,GYPC gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1415592,STIMULATES,DNA Sequence,MR1 gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1416475,STIMULATES,DNA Sequence,IRF7 gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1417530,STIMULATES,DNA Sequence,MYD88 gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1417679,STIMULATES,DNA Sequence,NES gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1419227,STIMULATES,DNA Sequence,RAC1 gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1421429,STIMULATES,DNA Sequence,VTRNA1-1 gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1424867,STIMULATES,DNA Sequence,ERI3 gene,nusq,aapp,2,STIMULATES_NUSQstimAAPP
C0162326,C1564139,STIMULATES,DNA Sequence,Mutant Proteins,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1706005,STIMULATES,DNA Sequence,CD40LG wt Allele,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1826724,STIMULATES,DNA Sequence,PRRT2 gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C1883559,STIMULATES,DNA Sequence,Wild Type,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C2936529,STIMULATES,DNA Sequence,Inflammasomes,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C2945724,STIMULATES,DNA Sequence,f-protein,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C3541878,STIMULATES,DNA Sequence,USP9X wt Allele,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C3887683,STIMULATES,DNA Sequence,"T-Cell Surface Glycoprotein CD5, human",nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162326,C4049611,STIMULATES,DNA Sequence,CD48 wt Allele,nusq,aapp,2,STIMULATES_NUSQstimAAPP
C0162327,C0282641,STIMULATES,RNA Sequence,Transgenes,nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162327,C1310468,STIMULATES,RNA Sequence,"DDX58 protein, human",nusq,aapp,1,STIMULATES_NUSQstimAAPP
C0162327,C1427021,STIMULATES,RNA Sequence,EGFL7 gene,nusq,aapp,1,STIMULATES_NUSQstimAAPP
