cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001046,C0001041,STIMULATES,Acetylcholinesterase Inhibitors,Acetylcholine,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0001637,C0007412,STIMULATES,Adrenergic Agents,Catecholamines,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0001637,C0034085,STIMULATES,Adrenergic Agents,Pulmonary Surfactants,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0001644,C0034085,STIMULATES,Adrenergic beta-Agonists,Pulmonary Surfactants,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0001648,C0017861,STIMULATES,Adrenergic Agonists,Glycerin,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0003015,C0023823,STIMULATES,Angiotensin-Converting Enzyme Inhibitors,Low-Density Lipoproteins,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0003289,C0036751,STIMULATES,Antidepressive Agents,Serotonin,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0003290,C0036751,STIMULATES,Tricyclic Antidepressive Agents,Serotonin,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0003292,C0037473,STIMULATES,Antidiarrheals,Sodium,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0003374,C0032615,STIMULATES,Antimalarials,Polyunsaturated Fatty Acids,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0003451,C0013030,STIMULATES,Antiviral Agents,Dopamine,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0003620,C0036751,STIMULATES,Appetite Depressants,Serotonin,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0033607,C0001443,STIMULATES,Protease Inhibitors,Adenosine,phsu,bacs,2,STIMULATES_PHSUstimBACS
C0039052,C0001455,STIMULATES,Sympathomimetics,Cyclic AMP,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0042397,C0037473,STIMULATES,Vasoconstrictor Agents,Sodium,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0042402,C0033567,STIMULATES,Vasodilator Agents,Epoprostenol,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0078516,C0037473,STIMULATES,World Health Organization oral rehydration solution,Sodium,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0304509,C0001455,STIMULATES,Inotropic agent,Cyclic AMP,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0443116,C0016072,STIMULATES,Platelets Product,Ficusin,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0456388,C0030054,STIMULATES,Blood product,Oxygen,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0596400,C0012854,STIMULATES,cytosine analog,DNA,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0598695,C0001443,STIMULATES,NMDA receptor antagonist,Adenosine,phsu,bacs,2,STIMULATES_PHSUstimBACS
C0719214,C0007012,STIMULATES,century,Carbon Dioxide,phsu,bacs,1,STIMULATES_PHSUstimBACS
C0746574,C0035693,STIMULATES,methylate,"RNA, Double-Stranded",phsu,bacs,1,STIMULATES_PHSUstimBACS
C0939237,C0005437,STIMULATES,lopinavir / Ritonavir,Bilirubin,phsu,bacs,1,STIMULATES_PHSUstimBACS
C1136254,C0030054,STIMULATES,Microbicides,Oxygen,phsu,bacs,1,STIMULATES_PHSUstimBACS
C1318700,C0018338,STIMULATES,Phosphodiesterase 5 inhibitor,Cyclic GMP,phsu,bacs,1,STIMULATES_PHSUstimBACS
C1330330,C0032821,STIMULATES,Hand Sanitizers,Potassium,phsu,bacs,1,STIMULATES_PHSUstimBACS
C1874451,C0010294,STIMULATES,Basis,Creatinine,phsu,bacs,1,STIMULATES_PHSUstimBACS
C1874451,C0028128,STIMULATES,Basis,Nitric Oxide,phsu,bacs,1,STIMULATES_PHSUstimBACS
C1874451,C0039561,STIMULATES,Basis,Terpenes,phsu,bacs,1,STIMULATES_PHSUstimBACS
C2917414,C0012854,STIMULATES,Recombinant Human Deoxyribonuclease 1 [EPC],DNA,phsu,bacs,1,STIMULATES_PHSUstimBACS
C2954564,C0813622,STIMULATES,Suppressor,Hyaluronan,phsu,bacs,1,STIMULATES_PHSUstimBACS
C2987634,C0035693,STIMULATES,Agonist,"RNA, Double-Stranded",phsu,bacs,1,STIMULATES_PHSUstimBACS
C2987634,C0056912,STIMULATES,Agonist,cytidylyl-3'-5'-guanosine,phsu,bacs,1,STIMULATES_PHSUstimBACS
C3205287,C1099354,STIMULATES,Terminator,"RNA, Small Interfering",phsu,bacs,1,STIMULATES_PHSUstimBACS
C3539125,C0017725,STIMULATES,other medicated shampoos in ATC,Glucose,phsu,bacs,1,STIMULATES_PHSUstimBACS
