cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0243076,C0003467,TREATS,antagonists,Anxiety,chvf,mobd,1,TREATS_CHVFtrtsMOBD
C0243076,C0036341,TREATS,antagonists,Schizophrenia,chvf,mobd,1,TREATS_CHVFtrtsMOBD
C0243077,C0004936,TREATS,inhibitors,Mental disorders,chvf,mobd,1,TREATS_CHVFtrtsMOBD
C0243077,C0338656,TREATS,inhibitors,Impaired cognition,chvf,mobd,1,TREATS_CHVFtrtsMOBD
C0450442,C0001889,TREATS,Agent,Akinetic Mutism,chvf,mobd,1,TREATS_CHVFtrtsMOBD
C0450442,C0011206,TREATS,Agent,Delirium,chvf,mobd,2,TREATS_CHVFtrtsMOBD
C0450442,C0024809,TREATS,Agent,Marijuana Abuse,chvf,mobd,1,TREATS_CHVFtrtsMOBD
C0450442,C0028043,TREATS,Agent,Nicotine Dependence,chvf,mobd,1,TREATS_CHVFtrtsMOBD
C0450442,C0036341,TREATS,Agent,Schizophrenia,chvf,mobd,1,TREATS_CHVFtrtsMOBD
C0450442,C0858952,TREATS,Agent,silence,chvf,mobd,1,TREATS_CHVFtrtsMOBD
C0598132,C0024809,TREATS,functional group,Marijuana Abuse,chvf,mobd,1,TREATS_CHVFtrtsMOBD
C1513403,C1269683,TREATS,Molecular Target,Major Depressive Disorder,chvf,mobd,1,TREATS_CHVFtrtsMOBD
C1550600,C0233601,TREATS,Ingredient,Spraying behavior,chvf,mobd,1,TREATS_CHVFtrtsMOBD
C1880311,C0013146,TREATS,Food Component,Drug abuse,chvf,mobd,1,TREATS_CHVFtrtsMOBD
