cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0015259,C0009462,TREATS,Exercise,Community,dora,grup,1,TREATS_DORAtrtsGRUP
C0015259,C0009932,TREATS,Exercise,Control Groups,dora,grup,1,TREATS_DORAtrtsGRUP
C0015259,C0086418,TREATS,Exercise,Homo sapiens,dora,grup,3,TREATS_DORAtrtsGRUP
C0034754,C0086418,TREATS,Reading (activity),Homo sapiens,dora,grup,1,TREATS_DORAtrtsGRUP
C0034872,C0009462,TREATS,recreational activity,Community,dora,grup,2,TREATS_DORAtrtsGRUP
C0034872,C0242821,TREATS,recreational activity,Human body,dora,grup,1,TREATS_DORAtrtsGRUP
C0035253,C0009462,TREATS,Rest,Community,dora,grup,2,TREATS_DORAtrtsGRUP
C0040802,C0009462,TREATS,travel,Community,dora,grup,3,TREATS_DORAtrtsGRUP
C0150593,C0009462,TREATS,game,Community,dora,grup,2,TREATS_DORAtrtsGRUP
C0221189,C0009462,TREATS,Jumping,Community,dora,grup,1,TREATS_DORAtrtsGRUP
C0221189,C0086418,TREATS,Jumping,Homo sapiens,dora,grup,1,TREATS_DORAtrtsGRUP
C0336949,C0086418,TREATS,Bowling (activity),Homo sapiens,dora,grup,1,TREATS_DORAtrtsGRUP
C0680199,C0009462,TREATS,vacation,Community,dora,grup,1,TREATS_DORAtrtsGRUP
C0683587,C0009462,TREATS,tourism,Community,dora,grup,3,TREATS_DORAtrtsGRUP
C0683915,C0009462,TREATS,sporting event,Community,dora,grup,1,TREATS_DORAtrtsGRUP
C0868963,C0009462,TREATS,Gardening,Community,dora,grup,1,TREATS_DORAtrtsGRUP
C1456706,C0009932,TREATS,Fitness,Control Groups,dora,grup,1,TREATS_DORAtrtsGRUP
C1456706,C0086418,TREATS,Fitness,Homo sapiens,dora,grup,5,TREATS_DORAtrtsGRUP
C1998602,C0009462,TREATS,Meal (occasion for eating),Community,dora,grup,1,TREATS_DORAtrtsGRUP
C4019053,C0086418,TREATS,Arising,Homo sapiens,dora,grup,1,TREATS_DORAtrtsGRUP
C4255216,C0009462,TREATS,Hunting,Community,dora,grup,4,TREATS_DORAtrtsGRUP
C4279936,C0086418,TREATS,Exercise Training,Homo sapiens,dora,grup,1,TREATS_DORAtrtsGRUP
C4279937,C0086418,TREATS,Acute Exercise,Homo sapiens,dora,grup,1,TREATS_DORAtrtsGRUP
