cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003818,C3843924,TREATS,Arsenic,Private well,elii,fndg,1,TREATS_ELIItrtsFNDG
C0007955,C0728899,TREATS,Charcoal,Intoxication,elii,fndg,1,TREATS_ELIItrtsFNDG
C0007955,C3845930,TREATS,Charcoal,Copious,elii,fndg,1,TREATS_ELIItrtsFNDG
C0018026,C0150312,TREATS,Gold,Present,elii,fndg,1,TREATS_ELIItrtsFNDG
C0018026,C0332575,TREATS,Gold,Redness,elii,fndg,1,TREATS_ELIItrtsFNDG
C0018026,C1444656,TREATS,Gold,Indicated,elii,fndg,1,TREATS_ELIItrtsFNDG
C0018026,C4086268,TREATS,Gold,Exacerbation,elii,fndg,1,TREATS_ELIItrtsFNDG
C0018880,C3272283,TREATS,Helium,American College of Cardiology/American Heart Association Lesion Complexity Score C,elii,fndg,1,TREATS_ELIItrtsFNDG
C0022023,C0150312,TREATS,Ions,Present,elii,fndg,1,TREATS_ELIItrtsFNDG
C0023870,C0009488,TREATS,Lithium,Comorbidity,elii,fndg,1,TREATS_ELIItrtsFNDG
C0023870,C0038661,TREATS,Lithium,Suicide,elii,fndg,1,TREATS_ELIItrtsFNDG
C0023870,C1760428,TREATS,Lithium,Suicidal behavior,elii,fndg,1,TREATS_ELIItrtsFNDG
C0567415,C0332575,TREATS,Atom (substance),Redness,elii,fndg,2,TREATS_ELIItrtsFNDG
C0596235,C0150312,TREATS,Calcium ion,Present,elii,fndg,4,TREATS_ELIItrtsFNDG
C0596235,C0184512,TREATS,Calcium ion,Stabilized (qualifier value),elii,fndg,1,TREATS_ELIItrtsFNDG
C0596235,C4055506,TREATS,Calcium ion,Accumulation,elii,fndg,1,TREATS_ELIItrtsFNDG
C0597277,C0150312,TREATS,Potassium Ion,Present,elii,fndg,2,TREATS_ELIItrtsFNDG
C2346927,C0150312,TREATS,Magnesium Cation,Present,elii,fndg,5,TREATS_ELIItrtsFNDG
C2347816,C3843066,TREATS,cobaltous cation,2 to 3 days,elii,fndg,2,TREATS_ELIItrtsFNDG
C2347816,C4288557,TREATS,cobaltous cation,One Activity Hour,elii,fndg,1,TREATS_ELIItrtsFNDG
