cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002371,C0018557,TREATS,Aluminum Hydroxide,Hamsters,inch,mamm,1,TREATS_INCHtrtsMAMM
C0002371,C0025919,TREATS,Aluminum Hydroxide,"Mice, Inbred BALB C",inch,mamm,1,TREATS_INCHtrtsMAMM
C0002371,C0026809,TREATS,Aluminum Hydroxide,Mus,inch,mamm,4,TREATS_INCHtrtsMAMM
C0002371,C0324889,TREATS,Aluminum Hydroxide,Old World rabbit,inch,mamm,2,TREATS_INCHtrtsMAMM
C0002607,C0019944,TREATS,Ammonia,Equus caballus,inch,mamm,3,TREATS_INCHtrtsMAMM
C0002607,C0026809,TREATS,Ammonia,Mus,inch,mamm,1,TREATS_INCHtrtsMAMM
C0002607,C0035950,TREATS,Ammonia,Ruminants,inch,mamm,1,TREATS_INCHtrtsMAMM
C0005367,C0019944,TREATS,Bicarbonates,Equus caballus,inch,mamm,1,TREATS_INCHtrtsMAMM
C0006711,C0035804,TREATS,calcium phosphate,Rodent,inch,mamm,1,TREATS_INCHtrtsMAMM
C0008838,C0025919,TREATS,Cisplatin,"Mice, Inbred BALB C",inch,mamm,1,TREATS_INCHtrtsMAMM
C0008838,C0026809,TREATS,Cisplatin,Mus,inch,mamm,9,TREATS_INCHtrtsMAMM
C0008838,C0085243,TREATS,Cisplatin,"Mice, Inbred NOD",inch,mamm,1,TREATS_INCHtrtsMAMM
C0013832,C0012984,TREATS,Electrolytes,Canis familiaris,inch,mamm,1,TREATS_INCHtrtsMAMM
C0013832,C0018557,TREATS,Electrolytes,Hamsters,inch,mamm,1,TREATS_INCHtrtsMAMM
C0013832,C0034693,TREATS,Electrolytes,Rattus norvegicus,inch,mamm,1,TREATS_INCHtrtsMAMM
C0013832,C0324889,TREATS,Electrolytes,Old World rabbit,inch,mamm,1,TREATS_INCHtrtsMAMM
C0016327,C0026809,TREATS,Fluorides,Mus,inch,mamm,2,TREATS_INCHtrtsMAMM
C0020281,C0034693,TREATS,Hydrogen Peroxide,Rattus norvegicus,inch,mamm,1,TREATS_INCHtrtsMAMM
