cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001771,C0004589,TREATS,Agar,Bacillus anthracis,irda,bact,1,TREATS_IRDAtrtsBACT
C0001771,C0004611,TREATS,Agar,Bacteria,irda,bact,1,TREATS_IRDAtrtsBACT
C0001771,C0038172,TREATS,Agar,Staphylococcus aureus,irda,bact,1,TREATS_IRDAtrtsBACT
C0001771,C0042628,TREATS,Agar,Vibrio,irda,bact,2,TREATS_IRDAtrtsBACT
C0001771,C0317578,TREATS,Agar,Haemophilus somnus,irda,bact,1,TREATS_IRDAtrtsBACT
C0006353,C0004611,TREATS,Buffers,Bacteria,irda,bact,3,TREATS_IRDAtrtsBACT
C0006353,C0014834,TREATS,Buffers,Escherichia coli,irda,bact,1,TREATS_IRDAtrtsBACT
C0016576,C0085442,TREATS,formic acid,Mycobacterium avium subsp. paratuberculosis,irda,bact,1,TREATS_IRDAtrtsBACT
C0017440,C0081786,TREATS,Gentian Violet,Microbial Biofilms,irda,bact,1,TREATS_IRDAtrtsBACT
C0061856,C0004611,TREATS,Gram's stain,Bacteria,irda,bact,1,TREATS_IRDAtrtsBACT
C0167437,C0014834,TREATS,chlorophenol red galactopyranoside,Escherichia coli,irda,bact,1,TREATS_IRDAtrtsBACT
C0598447,C0004611,TREATS,fluorophore,Bacteria,irda,bact,1,TREATS_IRDAtrtsBACT
