cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000618,C0004364,TREATS,mercaptopurine,Autoimmune Diseases,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0001486,TREATS,Acyclovir,Adenovirus Infections,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0002874,TREATS,Acyclovir,Aplastic Anemia,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0006285,TREATS,Acyclovir,Bronchopneumonia,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0001367,C0008049,TREATS,Acyclovir,Chickenpox,nnon,dsyn,10,TREATS_NNONtrtsDSYN
C0001367,C0010823,TREATS,Acyclovir,Cytomegalovirus Infections,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0014038,TREATS,Acyclovir,Encephalitis,nnon,dsyn,3,TREATS_NNONtrtsDSYN
C0001367,C0014868,TREATS,Acyclovir,Esophagitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0015403,TREATS,Acyclovir,Eye Infections,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0019342,TREATS,Acyclovir,Genital Herpes,nnon,dsyn,6,TREATS_NNONtrtsDSYN
C0001367,C0019348,TREATS,Acyclovir,Herpes Simplex Infections,nnon,dsyn,31,TREATS_NNONtrtsDSYN
C0001367,C0019360,TREATS,Acyclovir,Herpes zoster disease,nnon,dsyn,4,TREATS_NNONtrtsDSYN
C0001367,C0019364,TREATS,Acyclovir,Herpes Zoster Ophthalmicus,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0001367,C0019372,TREATS,Acyclovir,Herpesviridae Infections,nnon,dsyn,17,TREATS_NNONtrtsDSYN
C0001367,C0021345,TREATS,Acyclovir,Infectious Mononucleosis,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0001367,C0022568,TREATS,Acyclovir,Keratitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0025289,TREATS,Acyclovir,Meningitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0025297,TREATS,Acyclovir,Viral meningitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0025309,TREATS,Acyclovir,Meningoencephalitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0026393,TREATS,Acyclovir,Molluscum Contagiosum,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0032285,TREATS,Acyclovir,Pneumonia,nnon,dsyn,6,TREATS_NNONtrtsDSYN
C0001367,C0035078,TREATS,Acyclovir,Kidney Failure,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0035222,TREATS,Acyclovir,"Respiratory Distress Syndrome, Adult",nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0042769,TREATS,Acyclovir,Virus Diseases,nnon,dsyn,3,TREATS_NNONtrtsDSYN
C0001367,C0149678,TREATS,Acyclovir,Epstein-Barr Virus Infections,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0220979,TREATS,Acyclovir,Benign multirecurrent endothelioleukocytal meningitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0243010,TREATS,Acyclovir,Viral Encephalitis,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0001367,C0276222,TREATS,Acyclovir,Primary herpes simplex,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0276226,TREATS,Acyclovir,Herpes encephalitis,nnon,dsyn,10,TREATS_NNONtrtsDSYN
C0001367,C0276248,TREATS,Acyclovir,Disseminated herpes zoster,nnon,dsyn,3,TREATS_NNONtrtsDSYN
C0001367,C0277556,TREATS,Acyclovir,Recurrent disease,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0339971,TREATS,Acyclovir,Varicella pneumonia,nnon,dsyn,5,TREATS_NNONtrtsDSYN
C0001367,C0339975,TREATS,Acyclovir,Herpes simplex pneumonia,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0001367,C0729552,TREATS,Acyclovir,Genital infection,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0740380,TREATS,Acyclovir,varicella zoster,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0001367,C0748159,TREATS,Acyclovir,pulmonary involvement,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0851887,TREATS,Acyclovir,Adenoviral infections,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C0854706,TREATS,Acyclovir,neonatal infection,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C1262170,TREATS,Acyclovir,herpes dermatitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C1274323,TREATS,Acyclovir,Recurrent genital herpes simplex,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C1318020,TREATS,Acyclovir,Stromal keratitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C1535917,TREATS,Acyclovir,Nipah Virus Infection,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0001367,C1565489,TREATS,Acyclovir,Renal Insufficiency,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0001367,C1739133,TREATS,Acyclovir,Mucocutaneous Herpes Simplex Infections,nnon,dsyn,3,TREATS_NNONtrtsDSYN
C0004483,C0042769,TREATS,Azauridine,Virus Diseases,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0006233,C0033770,TREATS,Bromodeoxyuridine,Prune Belly Syndrome,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0006233,C0746316,TREATS,Bromodeoxyuridine,lymph node infected,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0010711,C0152964,TREATS,Cytarabine,streptococcal bacteremia,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0010711,C0206061,TREATS,Cytarabine,"Pneumonia, Interstitial",nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0010711,C0276226,TREATS,Cytarabine,Herpes encephalitis,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0010711,C0730328,TREATS,Cytarabine,Central Serous Chorioretinopathy,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0010711,C1290884,TREATS,Cytarabine,Inflammatory disorder,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0012133,C0019693,TREATS,Didanosine,HIV Infections,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0012133,C0030305,TREATS,Didanosine,Pancreatitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0016278,C0001314,TREATS,Flucytosine,Acute Disease,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0016278,C0004030,TREATS,Flucytosine,Aspergillosis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0016278,C0006840,TREATS,Flucytosine,Candidiasis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0016278,C0008582,TREATS,Flucytosine,Chromoblastomycosis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0016278,C0010414,TREATS,Flucytosine,Infection by Cryptococcus neoformans,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0016278,C0025289,TREATS,Flucytosine,Meningitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0016278,C0085436,TREATS,Flucytosine,"Meningitis, Cryptococcal",nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0016278,C0343882,TREATS,Flucytosine,Renal tract candidiasis,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0016278,C0553576,TREATS,Flucytosine,Systemic mycosis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0016278,C1719672,TREATS,Flucytosine,Severe Sepsis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0016360,C0149521,TREATS,Fluorouracil,"Pancreatitis, Chronic",nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0016360,C0206061,TREATS,Fluorouracil,"Pneumonia, Interstitial",nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0001486,TREATS,Ganciclovir,Adenovirus Infections,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0017066,C0009319,TREATS,Ganciclovir,Colitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0010340,TREATS,Ganciclovir,Critical Illness,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0010823,TREATS,Ganciclovir,Cytomegalovirus Infections,nnon,dsyn,26,TREATS_NNONtrtsDSYN
C0017066,C0014038,TREATS,Ganciclovir,Encephalitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0014868,TREATS,Ganciclovir,Esophagitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0015403,TREATS,Ganciclovir,Eye Infections,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0017178,TREATS,Ganciclovir,Gastrointestinal Diseases,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0017066,C0018965,TREATS,Ganciclovir,Hematuria,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0017066,C0019158,TREATS,Ganciclovir,Hepatitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0019189,TREATS,Ganciclovir,"Hepatitis, Chronic",nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0019348,TREATS,Ganciclovir,Herpes Simplex Infections,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0017066,C0019372,TREATS,Ganciclovir,Herpesviridae Infections,nnon,dsyn,4,TREATS_NNONtrtsDSYN
C0017066,C0021345,TREATS,Ganciclovir,Infectious Mononucleosis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0022568,TREATS,Ganciclovir,Keratitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0023530,TREATS,Ganciclovir,Leukopenia,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0032285,TREATS,Ganciclovir,Pneumonia,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0017066,C0034069,TREATS,Ganciclovir,Pulmonary Fibrosis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0035222,TREATS,Ganciclovir,"Respiratory Distress Syndrome, Adult",nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0042749,TREATS,Ganciclovir,Viremia,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0017066,C0042769,TREATS,Ganciclovir,Virus Diseases,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0149678,TREATS,Ganciclovir,Epstein-Barr Virus Infections,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0158945,TREATS,Ganciclovir,Congenital cytomegalovirus infection,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0206178,TREATS,Ganciclovir,Cytomegalovirus Retinitis,nnon,dsyn,6,TREATS_NNONtrtsDSYN
C0017066,C0238013,TREATS,Ganciclovir,Invasive aspergillosis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0238097,TREATS,Ganciclovir,Cytomegalovirus encephalitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0242354,TREATS,Ganciclovir,Congenital Disorders,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0243026,TREATS,Ganciclovir,Sepsis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0267797,TREATS,Ganciclovir,Acute hepatitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0275518,TREATS,Ganciclovir,Acute infectious disease,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0275522,TREATS,Ganciclovir,Asymptomatic Infections,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0276253,TREATS,Ganciclovir,Cytomegaloviral pneumonia,nnon,dsyn,8,TREATS_NNONtrtsDSYN
C0017066,C0554114,TREATS,Ganciclovir,Epstein-Barr virus hepatitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0678236,TREATS,Ganciclovir,Rare Diseases,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0730328,TREATS,Ganciclovir,Central Serous Chorioretinopathy,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0851887,TREATS,Ganciclovir,Adenoviral infections,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0854530,TREATS,Ganciclovir,Infection by human herpesvirus 6,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C0877635,TREATS,Ganciclovir,Cytomegalovirus viremia,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C1112157,TREATS,Ganciclovir,intrauterine infection,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C1535939,TREATS,Ganciclovir,Pneumocystis jiroveci pneumonia,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C1565489,TREATS,Ganciclovir,Renal Insufficiency,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C1955629,TREATS,Ganciclovir,Human Herpesvirus 6 encephalitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0017066,C3826786,TREATS,Ganciclovir,Adenovirus diseases,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0018330,C0019104,TREATS,Guanosine,"Hemorrhagic Fevers, Viral",nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0018330,C0019348,TREATS,Guanosine,Herpes Simplex Infections,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0018330,C0019372,TREATS,Guanosine,Herpesviridae Infections,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0018330,C0021400,TREATS,Guanosine,Influenza,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0018330,C0035235,TREATS,Guanosine,Respiratory Syncytial Virus Infections,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0018330,C0042749,TREATS,Guanosine,Viremia,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0018330,C0042769,TREATS,Guanosine,Virus Diseases,nnon,dsyn,3,TREATS_NNONtrtsDSYN
C0018330,C0524910,TREATS,Guanosine,"Hepatitis C, Chronic",nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0018330,C1175175,TREATS,Guanosine,Severe Acute Respiratory Syndrome,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0018330,C3694279,TREATS,Guanosine,Middle East Respiratory Syndrome,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0018330,C4288963,TREATS,Guanosine,Hepatitis C Virus Infection,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0020811,C0015403,TREATS,Idoxuridine,Eye Infections,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0020811,C0019342,TREATS,Idoxuridine,Genital Herpes,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0020811,C0019345,TREATS,Idoxuridine,Herpes Labialis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0020811,C0019348,TREATS,Idoxuridine,Herpes Simplex Infections,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0020811,C0019357,TREATS,Idoxuridine,"Keratitis, Herpetic",nnon,dsyn,4,TREATS_NNONtrtsDSYN
C0020811,C0019360,TREATS,Idoxuridine,Herpes zoster disease,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0020811,C0022568,TREATS,Idoxuridine,Keratitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0020811,C0042769,TREATS,Idoxuridine,Virus Diseases,nnon,dsyn,3,TREATS_NNONtrtsDSYN
C0020811,C0276226,TREATS,Idoxuridine,Herpes encephalitis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0020811,C0679225,TREATS,Idoxuridine,multiple pathologies,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0021528,C0014518,TREATS,Inosine,Toxic Epidermal Necrolysis,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0021528,C0031190,TREATS,Inosine,Persistent Fetal Circulation Syndrome,nnon,dsyn,2,TREATS_NNONtrtsDSYN
C0021528,C0034072,TREATS,Inosine,Cor pulmonale,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0021528,C0035204,TREATS,Inosine,Respiration Disorders,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0021528,C0035222,TREATS,Inosine,"Respiratory Distress Syndrome, Adult",nnon,dsyn,7,TREATS_NNONtrtsDSYN
C0021528,C1145670,TREATS,Inosine,Respiratory Failure,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0021528,C1175175,TREATS,Inosine,Severe Acute Respiratory Syndrome,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0021528,C2973725,TREATS,Inosine,Pulmonary arterial hypertension,nnon,dsyn,1,TREATS_NNONtrtsDSYN
C0022230,C0019348,TREATS,Inosine Pranobex,Herpes Simplex Infections,nnon,dsyn,1,TREATS_NNONtrtsDSYN
