cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002978,C0026032,USES,angiogram,Microspheres,diap,medd,1,USES_DIAPusesMEDD
C0002978,C0745442,USES,angiogram,Intravenous Catheters,diap,medd,1,USES_DIAPusesMEDD
C0004292,C0441067,USES,"Audiometry, Pure-Tone",Earphones,diap,medd,1,USES_DIAPusesMEDD
C0004339,C0183559,USES,Auscultation,Stethoscopes,diap,medd,5,USES_DIAPusesMEDD
C0004339,C0183560,USES,Auscultation,Auscultoscope,diap,medd,1,USES_DIAPusesMEDD
C0004398,C0175730,USES,Autopsy,biomedical tube device,diap,medd,4,USES_DIAPusesMEDD
C0004398,C0179199,USES,Autopsy,"Balance, device",diap,medd,1,USES_DIAPusesMEDD
C0004398,C0183804,USES,Autopsy,Examination Tables,diap,medd,1,USES_DIAPusesMEDD
C0004398,C0348000,USES,Autopsy,Instrument - device,diap,medd,1,USES_DIAPusesMEDD
C0004398,C0392220,USES,Autopsy,scalpel,diap,medd,1,USES_DIAPusesMEDD
C0005558,C0016533,USES,Biopsy,Forceps,diap,medd,4,USES_DIAPusesMEDD
C0005558,C0041158,USES,Biopsy,Trocar,diap,medd,1,USES_DIAPusesMEDD
C0005558,C0178987,USES,Biopsy,Artificial Airways,diap,medd,5,USES_DIAPusesMEDD
C0005558,C0180936,USES,Biopsy,Biopsy forceps,diap,medd,1,USES_DIAPusesMEDD
C0005558,C0182158,USES,Biopsy,Pads,diap,medd,1,USES_DIAPusesMEDD
C0005558,C0182555,USES,Biopsy,Punch,diap,medd,1,USES_DIAPusesMEDD
C0005558,C0184073,USES,Biopsy,Trephine,diap,medd,3,USES_DIAPusesMEDD
C0005558,C0392220,USES,Biopsy,scalpel,diap,medd,1,USES_DIAPusesMEDD
C0005558,C0441189,USES,Biopsy,Direct needle,diap,medd,1,USES_DIAPusesMEDD
C0005558,C0493160,USES,Biopsy,"GRINDER, TISSUE",diap,medd,1,USES_DIAPusesMEDD
C0005558,C0918040,USES,Biopsy,Gelfoam,diap,medd,1,USES_DIAPusesMEDD
C0005558,C1979875,USES,Biopsy,Core needle,diap,medd,1,USES_DIAPusesMEDD
C0005834,C0003835,USES,Collection of blood specimen for laboratory procedure,Arterial Lines,diap,medd,1,USES_DIAPusesMEDD
C0005834,C0085590,USES,Collection of blood specimen for laboratory procedure,catheter device,diap,medd,1,USES_DIAPusesMEDD
C0005834,C0179064,USES,Collection of blood specimen for laboratory procedure,Anesthesia machine,diap,medd,1,USES_DIAPusesMEDD
C0005834,C0182301,USES,Collection of blood specimen for laboratory procedure,Pipette (physical object),diap,medd,1,USES_DIAPusesMEDD
C0005834,C0392220,USES,Collection of blood specimen for laboratory procedure,scalpel,diap,medd,1,USES_DIAPusesMEDD
C0005834,C0581447,USES,Collection of blood specimen for laboratory procedure,Arterial catheter,diap,medd,1,USES_DIAPusesMEDD
C0005834,C1883522,USES,Collection of blood specimen for laboratory procedure,Vacutainer,diap,medd,1,USES_DIAPusesMEDD
C0005954,C0184073,USES,Bone marrow biopsy,Trephine,diap,medd,1,USES_DIAPusesMEDD
C0006290,C0042497,USES,Bronchoscopy,Mechanical Ventilator,diap,medd,1,USES_DIAPusesMEDD
C0006290,C0178987,USES,Bronchoscopy,Artificial Airways,diap,medd,1,USES_DIAPusesMEDD
C0006290,C0179433,USES,Bronchoscopy,Flexible bronchoscope,diap,medd,1,USES_DIAPusesMEDD
C0006290,C0392251,USES,Bronchoscopy,Carbon Dioxide Lasers,diap,medd,1,USES_DIAPusesMEDD
C0006290,C0392276,USES,Bronchoscopy,Neodymium-Doped Yttrium Aluminum Garnet Lasers,diap,medd,1,USES_DIAPusesMEDD
C0006290,C3876437,USES,Bronchoscopy,Flexible fiberoptic bronchoscope,diap,medd,1,USES_DIAPusesMEDD
C0007438,C0179790,USES,Swan-Ganz Catheterization,"Swan-Ganz catheter, device",diap,medd,1,USES_DIAPusesMEDD
C0008310,C0180565,USES,Endoscopic Retrograde Cholangiopancreatography,Duodenoscopes,diap,medd,1,USES_DIAPusesMEDD
C0010702,C0014243,USES,Cystoscopy,Endoscopes,diap,medd,1,USES_DIAPusesMEDD
C0010702,C1721049,USES,Cystoscopy,Capsule Endoscopes,diap,medd,1,USES_DIAPusesMEDD
C0011906,C0180694,USES,Differential Diagnosis,Bovie,diap,medd,1,USES_DIAPusesMEDD
C0011923,C0179533,USES,Diagnostic Imaging,"Camera, device",diap,medd,1,USES_DIAPusesMEDD
C0011933,C0014243,USES,diagnostic use,Endoscopes,diap,medd,1,USES_DIAPusesMEDD
C0013516,C0182400,USES,Echocardiography,Probes,diap,medd,1,USES_DIAPusesMEDD
C0013526,C0183115,USES,Echoencephalography,Scanning Systems,diap,medd,1,USES_DIAPusesMEDD
C0013819,C0013812,USES,Electroencephalography,electrode,diap,medd,1,USES_DIAPusesMEDD
C0014245,C0024861,USES,Endoscopy (procedure),Masks,diap,medd,1,USES_DIAPusesMEDD
C0014245,C0178987,USES,Endoscopy (procedure),Artificial Airways,diap,medd,2,USES_DIAPusesMEDD
C0014245,C1289883,USES,Endoscopy (procedure),Flexible fiberoptic endoscope,diap,medd,1,USES_DIAPusesMEDD
C0017195,C0178987,USES,Endoscopy of stomach,Artificial Airways,diap,medd,5,USES_DIAPusesMEDD
C0018793,C0183559,USES,Heart Auscultation,Stethoscopes,diap,medd,1,USES_DIAPusesMEDD
C0021044,C0013194,USES,Immunohistochemistry,Drug Packaging,diap,medd,1,USES_DIAPusesMEDD
C0021044,C0181839,USES,Immunohistochemistry,Microscopes,diap,medd,1,USES_DIAPusesMEDD
C0021044,C0182400,USES,Immunohistochemistry,Probes,diap,medd,3,USES_DIAPusesMEDD
C0021044,C0491970,USES,Immunohistochemistry,Light microscope,diap,medd,1,USES_DIAPusesMEDD
C0023072,C0180453,USES,Laryngoscopy,Laryngoscopes,diap,medd,1,USES_DIAPusesMEDD
C0024119,C3879089,USES,Pulmonary function tests,Whole-body plethysmograph,diap,medd,1,USES_DIAPusesMEDD
C0024129,C0021102,USES,Lung Volume Measurements,Implants,diap,medd,1,USES_DIAPusesMEDD
C0024129,C0182319,USES,Lung Volume Measurements,Plethysmograph,diap,medd,1,USES_DIAPusesMEDD
C0024485,C0013194,USES,Magnetic Resonance Imaging,Drug Packaging,diap,medd,1,USES_DIAPusesMEDD
C0024485,C0183115,USES,Magnetic Resonance Imaging,Scanning Systems,diap,medd,2,USES_DIAPusesMEDD
C0024485,C0441089,USES,Magnetic Resonance Imaging,Cryoprobe,diap,medd,1,USES_DIAPusesMEDD
C0024485,C1520064,USES,Magnetic Resonance Imaging,Vortex Mixer,diap,medd,1,USES_DIAPusesMEDD
C0024485,C2826325,USES,Magnetic Resonance Imaging,Fiducial Markers,diap,medd,1,USES_DIAPusesMEDD
C0024487,C0183115,USES,Magnetic Resonance Spectroscopy,Scanning Systems,diap,medd,1,USES_DIAPusesMEDD
C0024487,C0348000,USES,Magnetic Resonance Spectroscopy,Instrument - device,diap,medd,1,USES_DIAPusesMEDD
C0027081,C0005978,USES,Myography,Bone Wires,diap,medd,1,USES_DIAPusesMEDD
C0032221,C0180112,USES,Plethysmography,Controllers,diap,medd,1,USES_DIAPusesMEDD
C0032221,C0441107,USES,Plethysmography,Cuffs device,diap,medd,1,USES_DIAPusesMEDD
C0032743,C0182400,USES,Positron-Emission Tomography,Probes,diap,medd,1,USES_DIAPusesMEDD
C0034606,C0005971,USES,Radionuclide Imaging,Bone plates,diap,medd,2,USES_DIAPusesMEDD
C0034606,C0013194,USES,Radionuclide Imaging,Drug Packaging,diap,medd,1,USES_DIAPusesMEDD
C0034606,C0024861,USES,Radionuclide Imaging,Masks,diap,medd,2,USES_DIAPusesMEDD
C0034606,C0179038,USES,Radionuclide Imaging,"Analyzer, device",diap,medd,3,USES_DIAPusesMEDD
C0034606,C0179533,USES,Radionuclide Imaging,"Camera, device",diap,medd,14,USES_DIAPusesMEDD
C0034606,C0180321,USES,Radionuclide Imaging,Densitometer,diap,medd,8,USES_DIAPusesMEDD
C0034606,C0183115,USES,Radionuclide Imaging,Scanning Systems,diap,medd,15,USES_DIAPusesMEDD
C0034606,C0183396,USES,Radionuclide Imaging,Mass Spectrometers (device),diap,medd,1,USES_DIAPusesMEDD
C0034606,C0810609,USES,Radionuclide Imaging,Cone Beam CT Scanners,diap,medd,1,USES_DIAPusesMEDD
C0034606,C1626420,USES,Radionuclide Imaging,Confocal microscope,diap,medd,1,USES_DIAPusesMEDD
C0034606,C1705244,USES,Radionuclide Imaging,Collimator Device Component,diap,medd,2,USES_DIAPusesMEDD
C0034606,C1706912,USES,Radionuclide Imaging,BARRIER,diap,medd,1,USES_DIAPusesMEDD
C0037302,C0175720,USES,Skinfold Thickness,Caliper,diap,medd,1,USES_DIAPusesMEDD
C0037981,C0993596,USES,Spirometry,Metered Dose Inhaler,diap,medd,1,USES_DIAPusesMEDD
C0039810,C0013194,USES,thermography,Drug Packaging,diap,medd,1,USES_DIAPusesMEDD
C0040395,C0013194,USES,tomography,Drug Packaging,diap,medd,1,USES_DIAPusesMEDD
C0040395,C0183115,USES,tomography,Scanning Systems,diap,medd,1,USES_DIAPusesMEDD
C0040395,C2700202,USES,tomography,Focused Ion Beam-Scanning Electron Microscope,diap,medd,1,USES_DIAPusesMEDD
C0040398,C0178987,USES,"Tomography, Emission-Computed",Artificial Airways,diap,medd,1,USES_DIAPusesMEDD
C0040399,C0180142,USES,"Tomography, Emission-Computed, Single-Photon",Gamma counter,diap,medd,1,USES_DIAPusesMEDD
C0040405,C0183115,USES,X-Ray Computed Tomography,Scanning Systems,diap,medd,3,USES_DIAPusesMEDD
C0040405,C0936234,USES,X-Ray Computed Tomography,Computed Tomography Scanning Systems,diap,medd,2,USES_DIAPusesMEDD
C0040405,C1705244,USES,X-Ray Computed Tomography,Collimator Device Component,diap,medd,1,USES_DIAPusesMEDD
C0040420,C0348000,USES,Tonometry,Instrument - device,diap,medd,1,USES_DIAPusesMEDD
C0040706,C0179533,USES,Transillumination,"Camera, device",diap,medd,1,USES_DIAPusesMEDD
C0041618,C0040661,USES,Ultrasonography,Transducers,diap,medd,1,USES_DIAPusesMEDD
C0041618,C0178987,USES,Ultrasonography,Artificial Airways,diap,medd,2,USES_DIAPusesMEDD
C0041618,C0182400,USES,Ultrasonography,Probes,diap,medd,1,USES_DIAPusesMEDD
C0041618,C0183115,USES,Ultrasonography,Scanning Systems,diap,medd,1,USES_DIAPusesMEDD
C0041618,C0728475,USES,Ultrasonography,ultra,diap,medd,3,USES_DIAPusesMEDD
C0041618,C1258018,USES,Ultrasonography,Microbubbles,diap,medd,1,USES_DIAPusesMEDD
C0042815,C0024861,USES,Visual Analog Pain Scale,Masks,diap,medd,1,USES_DIAPusesMEDD
C0085532,C0005978,USES,Coronary angiography,Bone Wires,diap,medd,1,USES_DIAPusesMEDD
C0085853,C0179038,USES,Tympanometry,"Analyzer, device",diap,medd,1,USES_DIAPusesMEDD
C0086143,C0179108,USES,Diagnostic tests,Applicator - device,diap,medd,1,USES_DIAPusesMEDD
C0086143,C0879240,USES,Diagnostic tests,Nasal Swabs,diap,medd,1,USES_DIAPusesMEDD
C0150866,C0182555,USES,Biopsy of skin procedure,Punch,diap,medd,5,USES_DIAPusesMEDD
C0162734,C0182537,USES,Echo-Planar Imaging,pump (device),diap,medd,1,USES_DIAPusesMEDD
C0184921,C0016533,USES,Excision biopsy,Forceps,diap,medd,1,USES_DIAPusesMEDD
C0184979,C0178987,USES,Endoscopy and catheterization,Artificial Airways,diap,medd,1,USES_DIAPusesMEDD
C0185283,C0180202,USES,Muscle biopsy,Cryostat,diap,medd,1,USES_DIAPusesMEDD
